"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","EO","10","10","25980","25940"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","SEO/HEO","20","20","34690","37300"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","15","15","21630","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","95","90","26000","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","90","85","52870","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO/HEO","250","240","33700","30820"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","G6/G7","65","60","66380","64780"
"In post","2023","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","111030","101830"
"In post","2023","Analysis","Competition and Markets Authority","Economics","SEO/HEO","25","25","34800","34110"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","63700","58190"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","10","10","44130","45190"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","G6/G7","95","90","52160","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Operational Research","SEO/HEO","90","90","34030","30960"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","AA/AO","30","30","23600","23340"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","EO","15","15","26110","26310"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","G6/G7","435","415","54970","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Science and Engineering","SEO/HEO","355","350","35700","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","35","35","28150","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","G6/G7","20","20","65560","62220"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","SEO/HEO","90","90","36660","34690"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","G6/G7","10","10","62310","59600"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","SEO/HEO","10","10","42340","41220"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","G6/G7","40","40","58670","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","SEO/HEO","25","25","39400","39330"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","G6/G7","15","15","57580","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","G6/G7","35","35","58330","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Economics","SEO/HEO","35","35","41550","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","G6/G7","35","35","57260","55200"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Operational Research","SEO/HEO","50","50","41290","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","G6/G7","45","40","57220","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Social Research","SEO/HEO","85","80","42150","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","EO","10","10","30410","30560"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","G6/G7","70","65","56060","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Statistics","SEO/HEO","160","150","40540","43250"
"In post","2023","Analysis","Department for International Trade","Economics","EO","15","15","29100","29280"
"In post","2023","Analysis","Department for International Trade","Economics","G6/G7","75","70","58610","55990"
"In post","2023","Analysis","Department for International Trade","Economics","SCS level","10","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Economics","SEO/HEO","35","35","35340","35010"
"In post","2023","Analysis","Department for International Trade","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","G6/G7","15","15","59620","56510"
"In post","2023","Analysis","Department for International Trade","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","SEO/HEO","15","15","36940","35010"
"In post","2023","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","G6/G7","25","25","59000","55500"
"In post","2023","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","SEO/HEO","25","25","40090","41550"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","G6/G7","35","35","57770","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","SEO/HEO","15","15","35400","34570"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","G6/G7","25","25","58710","56570"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","SEO/HEO","10","10","36050","34310"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","EO","15","15","29280","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","G6/G7","65","65","58470","54980"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","SEO/HEO","65","65","36250","34310"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","G6/G7","100","95","59440","56340"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Economics","SEO/HEO","55","50","34630","35400"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","G6/G7","20","20","59180","56980"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Other","SEO/HEO","10","10","41650","43530"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","G6/G7","30","25","59450","56340"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Social Research","SEO/HEO","20","20","41860","43320"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","EO","15","15","30530","31070"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","G6/G7","25","25","59580","56240"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Statistics","SEO/HEO","35","35","40720","43320"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","G6/G7","15","15","62020","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Economics","SEO/HEO","20","20","39170","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","SEO/HEO","15","10","35320","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","SEO/HEO","20","15","35910","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","G6/G7","10","10","60410","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","SEO/HEO","15","10","38150","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","EO","15","10","30150","28120"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Other","SEO/HEO","25","25","38190","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","EO","10","10","29880","28120"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","G6/G7","70","65","60620","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Policy","SEO/HEO","105","100","38830","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","SEO/HEO","10","10","36880","35700"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","G6/G7","20","15","59970","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","SEO/HEO","30","25","40490","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","EO","20","15","28440","28210"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","G6/G7","80","75","60690","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","SEO/HEO","110","105","37950","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","G6/G7","15","15","57620","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Economics","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","G6/G7","15","15","56590","54670"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","SEO/HEO","10","10","36670","34190"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Other","SEO/HEO","10","10","37570","38460"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","G6/G7","15","10","58630","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","G6/G7","35","30","57540","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","SEO/HEO","25","25","36170","38120"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","AA/AO","15","15","22290","22500"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","EO","10","10","27530","27320"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Operational Research","SEO/HEO","25","25","36360","35410"
"In post","2023","Analysis","Education and Skills Funding Agency","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Statistics","SEO/HEO","20","20","36650","37590"
"In post","2023","Analysis","Estyn","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Economics","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
