"Status","Year","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Merseyside","Sefton","Female","2740","2475","30420","27720"
"In post","2023","Merseyside","Sefton","Male","1980","1920","32820","28120"
"In post","2023","Merseyside","Sefton","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Merseyside","Wirral","Female","1550","1320","27790","28080"
"In post","2023","Merseyside","Wirral","Male","755","715","28850","28080"
"In post","2023","North Eastern Scotland","Aberdeen City and Aberdeenshire","Female","960","870","35050","31120"
"In post","2023","North Eastern Scotland","Aberdeen City and Aberdeenshire","Male","950","915","41990","36900"
"In post","2023","North Yorkshire","North Yorkshire CC","Female","970","900","32730","28120"
"In post","2023","North Yorkshire","North Yorkshire CC","Male","1050","1020","32740","28950"
"In post","2023","North Yorkshire","York","Female","1540","1430","35180","31770"
"In post","2023","North Yorkshire","York","Male","1250","1220","36610","33020"
"In post","2023","Northern Ireland","Antrim and Newtownabbey","Female","60","55","31540","25750"
"In post","2023","Northern Ireland","Antrim and Newtownabbey","Male","155","150","25670","22130"
"In post","2023","Northern Ireland","Ards and North Down","Female","60","55","31670","25880"
"In post","2023","Northern Ireland","Ards and North Down","Male","165","160","26120","22130"
"In post","2023","Northern Ireland","Armagh City, Banbridge and Craigavon","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Armagh City, Banbridge and Craigavon","Male","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Belfast","Female","1680","1530","31720","28130"
"In post","2023","Northern Ireland","Belfast","Male","1640","1590","32410","28130"
"In post","2023","Northern Ireland","Causeway Coast and Glens","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Causeway Coast and Glens","Male","65","65","23320","22130"
"In post","2023","Northern Ireland","Derry City and Strabane","Female","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland","Derry City and Strabane","Male","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Fermanagh and Omagh","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Fermanagh and Omagh","Male","20","20","[c]","[c]"
"In post","2023","Northern Ireland","Lisburn and Castlereagh","Female","270","260","29150","25880"
"In post","2023","Northern Ireland","Lisburn and Castlereagh","Male","280","275","30160","26100"
"In post","2023","Northern Ireland","Mid Ulster","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Mid Ulster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland","Mid and East Antrim","Female","15","15","[c]","[c]"
"In post","2023","Northern Ireland","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland","Newry, Mourne and Down","Female","10","10","[c]","[c]"
"In post","2023","Northern Ireland","Newry, Mourne and Down","Male","65","65","23580","22130"
"In post","2023","Northumberland, and Tyne and Wear","Northumberland","Female","290","255","31070","28120"
"In post","2023","Northumberland, and Tyne and Wear","Northumberland","Male","185","175","32960","28120"
"In post","2023","Northumberland, and Tyne and Wear","Sunderland","Female","2780","2280","26640","22520"
"In post","2023","Northumberland, and Tyne and Wear","Sunderland","Male","1210","1135","29040","28120"
"In post","2023","Northumberland, and Tyne and Wear","Tyneside","Female","10545","9340","31330","28120"
"In post","2023","Northumberland, and Tyne and Wear","Tyneside","Male","8630","8330","34340","28130"
"In post","2023","Outer London - East and North East","Barking & Dagenham and Havering","Female","395","350","32810","32520"
"In post","2023","Outer London - East and North East","Barking & Dagenham and Havering","Male","240","230","33890","32520"
"In post","2023","Outer London - East and North East","Bexley and Greenwich","Female","900","835","33050","32520"
"In post","2023","Outer London - East and North East","Bexley and Greenwich","Male","845","825","35670","35030"
"In post","2023","Outer London - East and North East","Enfield","Female","210","185","32890","32520"
"In post","2023","Outer London - East and North East","Enfield","Male","110","105","34910","32520"
"In post","2023","Outer London - East and North East","Redbridge and Waltham Forest","Female","1040","905","30630","30410"
"In post","2023","Outer London - East and North East","Redbridge and Waltham Forest","Male","510","490","31560","32520"
"In post","2023","Outer London - South","Bromley","Female","445","405","33220","32520"
"In post","2023","Outer London - South","Bromley","Male","185","180","34230","32520"
"In post","2023","Outer London - South","Croydon","Female","6180","5775","39280","35260"
"In post","2023","Outer London - South","Croydon","Male","4860","4755","42960","39110"
"In post","2023","Outer London - South","Merton, Kingston upon Thames and Sutton","Female","405","370","34540","32520"
"In post","2023","Outer London - South","Merton, Kingston upon Thames and Sutton","Male","265","260","37020","32520"
"In post","2023","Outer London - West and North West","Barnet","Female","1035","965","40430","33330"
"In post","2023","Outer London - West and North West","Barnet","Male","650","630","43760","38930"
"In post","2023","Outer London - West and North West","Brent","Female","365","325","32650","32520"
"In post","2023","Outer London - West and North West","Brent","Male","190","185","34580","32520"
"In post","2023","Outer London - West and North West","Ealing","Female","285","260","34510","32520"
"In post","2023","Outer London - West and North West","Ealing","Male","175","165","33980","32520"
"In post","2023","Outer London - West and North West","Harrow and Hillingdon","Female","1730","1550","32840","30200"
"In post","2023","Outer London - West and North West","Harrow and Hillingdon","Male","1875","1755","32950","30200"
"In post","2023","Outer London - West and North West","Hounslow and Richmond upon Thames","Female","1555","1445","34090","32520"
"In post","2023","Outer London - West and North West","Hounslow and Richmond upon Thames","Male","1370","1330","35790","34110"
"In post","2023","Overseas","Overseas","Female","1485","1475","53300","53750"
"In post","2023","Overseas","Overseas","Male","2030","2025","53550","53630"
"In post","2023","Shropshire and Staffordshire","Shropshire","Female","540","500","30590","28120"
"In post","2023","Shropshire and Staffordshire","Shropshire","Male","715","685","32690","30740"
"In post","2023","Shropshire and Staffordshire","Staffordshire CC","Female","2410","2240","32790","29050"
"In post","2023","Shropshire and Staffordshire","Staffordshire CC","Male","2055","1980","34460","32060"
"In post","2023","Shropshire and Staffordshire","Stoke-on-Trent","Female","820","740","28030","25750"
"In post","2023","Shropshire and Staffordshire","Stoke-on-Trent","Male","405","385","29280","25880"
"In post","2023","Shropshire and Staffordshire","Telford and Wrekin","Female","1265","1145","35020","29730"
"In post","2023","Shropshire and Staffordshire","Telford and Wrekin","Male","1160","1125","39550","35070"
"In post","2023","South Yorkshire","Barnsley, Doncaster and Rotherham","Female","1900","1650","28540","28120"
"In post","2023","South Yorkshire","Barnsley, Doncaster and Rotherham","Male","1155","1100","31640","30440"
"In post","2023","South Yorkshire","Sheffield","Female","4570","4100","34170","30330"
"In post","2023","South Yorkshire","Sheffield","Male","3695","3595","36170","32160"
"In post","2023","Southern Scotland","Dumfries and Galloway","Female","280","255","30710","28490"
"In post","2023","Southern Scotland","Dumfries and Galloway","Male","300","285","33230","31290"
"In post","2023","Southern Scotland","East Ayrshire and North Ayrshire mainland","Female","570","500","28460","28120"
"In post","2023","Southern Scotland","East Ayrshire and North Ayrshire mainland","Male","485","470","29820","28120"
"In post","2023","Southern Scotland","Scottish Borders","Female","300","270","31670","28120"
"In post","2023","Southern Scotland","Scottish Borders","Male","270","260","33370","28420"
"In post","2023","Southern Scotland","South Ayrshire","Female","155","140","31020","28120"
"In post","2023","Southern Scotland","South Ayrshire","Male","100","90","30010","28120"
"In post","2023","Southern Scotland","South Lanarkshire","Female","2310","2035","31700","28120"
"In post","2023","Southern Scotland","South Lanarkshire","Male","1450","1380","33790","28130"
"In post","2023","Surrey, East and West Sussex","Brighton and Hove","Female","445","395","33820","28200"
"In post","2023","Surrey, East and West Sussex","Brighton and Hove","Male","235","225","35290","28120"
"In post","2023","Surrey, East and West Sussex","East Surrey","Female","530","495","35420","34110"
"In post","2023","Surrey, East and West Sussex","East Surrey","Male","510","490","36260","35810"
"In post","2023","Surrey, East and West Sussex","East Sussex CC","Female","1195","1030","28560","28120"
"In post","2023","Surrey, East and West Sussex","East Sussex CC","Male","805","765","30540","28120"
"In post","2023","Surrey, East and West Sussex","West Surrey","Female","1370","1265","34760","31280"
"In post","2023","Surrey, East and West Sussex","West Surrey","Male","940","910","36530","32520"
"In post","2023","Surrey, East and West Sussex","West Sussex (North East)","Female","660","585","31770","28120"
"In post","2023","Surrey, East and West Sussex","West Sussex (North East)","Male","640","590","32790","28660"
"In post","2023","Surrey, East and West Sussex","West Sussex (South West)","Female","795","705","32680","28130"
"In post","2023","Surrey, East and West Sussex","West Sussex (South West)","Male","655","615","36270","33700"
"In post","2023","Tees Valley and Durham","Darlington","Female","1025","965","37640","32710"
"In post","2023","Tees Valley and Durham","Darlington","Male","715","710","39760","37590"
"In post","2023","Tees Valley and Durham","Durham","Female","3405","3020","28610","26820"
"In post","2023","Tees Valley and Durham","Durham","Male","2555","2385","30780","28880"
"In post","2023","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Female","760","690","30000","28120"
"In post","2023","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Male","590","560","31420","29890"
"In post","2023","Tees Valley and Durham","South Teesside","Female","1045","900","28060","28120"
"In post","2023","Tees Valley and Durham","South Teesside","Male","525","510","27280","26650"
"In post","2023","Unknown","Unknown","Female","665","635","35910","32640"
"In post","2023","Unknown","Unknown","Male","2050","2025","40910","38710"
"In post","2023","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","740","685","30690","28120"
