"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Operational Research","SEO/HEO","Unknown","80","80","37910","38090"
"In post","2023","Analysis","Other","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","EO","Heterosexual / straight","55","55","29140","29660"
"In post","2023","Analysis","Other","EO","LGBO","10","5","[c]","[c]"
"In post","2023","Analysis","Other","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Other","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Other","G6/G7","Heterosexual / straight","165","155","75670","67430"
"In post","2023","Analysis","Other","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2023","Analysis","Other","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","SEO/HEO","Heterosexual / straight","165","165","39040","37690"
"In post","2023","Analysis","Other","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Other","SEO/HEO","Undeclared","30","30","38840","37680"
"In post","2023","Analysis","Other","SEO/HEO","Unknown","55","55","37820","36770"
"In post","2023","Analysis","Planning","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G6/G7","Heterosexual / straight","80","75","61750","58370"
"In post","2023","Analysis","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","SEO/HEO","Heterosexual / straight","85","85","38870","38470"
"In post","2023","Analysis","Policy","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Heterosexual / straight","40","35","26000","25970"
"In post","2023","Analysis","Science and Engineering","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","EO","Unknown","65","60","26030","25970"
"In post","2023","Analysis","Science and Engineering","G6/G7","Heterosexual / straight","340","325","55150","49400"
"In post","2023","Analysis","Science and Engineering","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G6/G7","Undeclared","15","10","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G6/G7","Unknown","175","170","54790","49400"
"In post","2023","Analysis","Science and Engineering","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","Heterosexual / straight","350","340","35700","37310"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","LGBO","40","40","35120","34290"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO/HEO","Unknown","220","215","34350","33420"
"In post","2023","Analysis","Social Research","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","G6/G7","Heterosexual / straight","345","325","58930","57860"
"In post","2023","Analysis","Social Research","G6/G7","LGBO","30","30","60710","60570"
"In post","2023","Analysis","Social Research","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Social Research","G6/G7","Unknown","50","45","57830","55720"
"In post","2023","Analysis","Social Research","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SEO/HEO","Heterosexual / straight","645","620","38010","39190"
"In post","2023","Analysis","Social Research","SEO/HEO","LGBO","100","95","36510","34700"
"In post","2023","Analysis","Social Research","SEO/HEO","Undeclared","70","65","38740","39300"
"In post","2023","Analysis","Social Research","SEO/HEO","Unknown","130","130","38310","39190"
"In post","2023","Analysis","Statistics","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Statistics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Heterosexual / straight","145","140","29040","28850"
"In post","2023","Analysis","Statistics","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Unknown","35","35","28980","29260"
"In post","2023","Analysis","Statistics","G6/G7","Heterosexual / straight","620","590","59790","58900"
"In post","2023","Analysis","Statistics","G6/G7","LGBO","65","65","59840","58220"
"In post","2023","Analysis","Statistics","G6/G7","Undeclared","60","55","59570","58620"
"In post","2023","Analysis","Statistics","G6/G7","Unknown","90","85","57160","55740"
"In post","2023","Analysis","Statistics","SCS level","Heterosexual / straight","60","55","85110","80510"
"In post","2023","Analysis","Statistics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Statistics","SEO/HEO","Heterosexual / straight","1045","1005","38720","39170"
"In post","2023","Analysis","Statistics","SEO/HEO","LGBO","135","130","37940","38470"
"In post","2023","Analysis","Statistics","SEO/HEO","Undeclared","105","105","37730","37300"
"In post","2023","Analysis","Statistics","SEO/HEO","Unknown","275","270","36780","37760"
"In post","2023","Analysis","Tax","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Heterosexual / straight","40","40","63410","61200"
"In post","2023","Analysis","Unknown","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","Heterosexual / straight","45","45","37910","38070"
"In post","2023","Analysis","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Commercial","AA/AO","Heterosexual / straight","180","170","23380","22500"
"In post","2023","Commercial","Commercial","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Commercial","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2023","Commercial","Commercial","AA/AO","Unknown","105","100","24360","22920"
"In post","2023","Commercial","Commercial","EO","Heterosexual / straight","420","405","27450","27140"
"In post","2023","Commercial","Commercial","EO","LGBO","35","35","27490","27140"
"In post","2023","Commercial","Commercial","EO","Undeclared","45","40","27850","27400"
"In post","2023","Commercial","Commercial","EO","Unknown","115","110","27980","27140"
"In post","2023","Commercial","Commercial","G6/G7","Heterosexual / straight","1360","1335","64280","65500"
"In post","2023","Commercial","Commercial","G6/G7","LGBO","70","70","63230","61480"
"In post","2023","Commercial","Commercial","G6/G7","Undeclared","150","150","62260","59070"
"In post","2023","Commercial","Commercial","G6/G7","Unknown","410","405","64430","65500"
"In post","2023","Commercial","Commercial","SCS level","Heterosexual / straight","205","205","114670","109590"
"In post","2023","Commercial","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Commercial","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Commercial","SCS level","Unknown","45","45","118970","115300"
"In post","2023","Commercial","Commercial","SEO/HEO","Heterosexual / straight","2105","2040","38320","38120"
"In post","2023","Commercial","Commercial","SEO/HEO","LGBO","105","100","37430","37590"
"In post","2023","Commercial","Commercial","SEO/HEO","Undeclared","225","220","39020","40620"
"In post","2023","Commercial","Commercial","SEO/HEO","Unknown","460","455","36990","37060"
"In post","2023","Commercial","Commercial","Unknown","Heterosexual / straight","130","125","43310","42620"
"In post","2023","Commercial","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
