"Status","Year","Age","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Work and Pensions","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Northumberland, and Tyne and Wear","Tyneside","10","10","24030","21690"
"In post","2023","16-19","Department for Work and Pensions","Outer London - West and North West","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","South Yorkshire","Sheffield","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Wales and The Valleys","Central Valleys","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Outer London - West and North West","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","30","30","23900","23660"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Devon","Plymouth","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Derbyshire and Nottinghamshire","Nottingham","15","15","23130","22520"
"In post","2023","16-19","HM Revenue and Customs","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","East Wales","Cardiff and Vale of Glamorgan","20","20","22790","22520"
"In post","2023","16-19","HM Revenue and Customs","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Greater Manchester","Greater Manchester South West","10","10","23850","22520"
"In post","2023","16-19","HM Revenue and Customs","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Merseyside","Liverpool","20","20","22820","22520"
"In post","2023","16-19","HM Revenue and Customs","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Northumberland, and Tyne and Wear","Sunderland","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Northumberland, and Tyne and Wear","Tyneside","15","15","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","Outer London - South","Croydon","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Southern Scotland","South Lanarkshire","10","10","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","Tees Valley and Durham","Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","West Central Scotland","Glasgow City","15","10","22920","22520"
"In post","2023","16-19","HM Revenue and Customs","West Midlands","Birmingham","10","10","23410","22520"
"In post","2023","16-19","HM Revenue and Customs","West Yorkshire","Bradford","20","15","22520","22520"
"In post","2023","16-19","HM Revenue and Customs","West Yorkshire","Leeds","20","15","23950","22520"
"In post","2023","16-19","HM Treasury","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2023","16-19","HM Treasury","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","East Anglia","Peterborough","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Essex","Thurrock","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Kent","East Kent","40","40","23280","22400"
"In post","2023","16-19","Home Office","Merseyside","Liverpool","20","15","23250","22400"
"In post","2023","16-19","Home Office","Merseyside","Sefton","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Outer London - South","Croydon","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","Outer London - West and North West","Harrow and Hillingdon","15","15","26990","26400"
"In post","2023","16-19","Home Office","South Yorkshire","Sheffield","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Tees Valley and Durham","Durham","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Devon","Plymouth","10","10","21940","19670"
"In post","2023","16-19","Ministry of Defence","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","East Wales","Flintshire and Wrexham","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","100","100","19350","18780"
"In post","2023","16-19","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","30","30","21830","23340"
"In post","2023","16-19","Ministry of Defence","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Hampshire and Isle of Wight","South Hampshire","15","15","19720","18780"
"In post","2023","16-19","Ministry of Defence","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Shropshire and Staffordshire","Staffordshire CC","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Southern Scotland","East Ayrshire and North Ayrshire mainland","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Ministry of Defence","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Derbyshire and Nottinghamshire","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Derbyshire and Nottinghamshire","Nottingham","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Derbyshire and Nottinghamshire","South and West Derbyshire","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Devon","Devon CC","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Dorset and Somerset","Dorset","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Anglia","Suffolk CC","10","10","24080","23230"
"In post","2023","16-19","Ministry of Justice","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Wales","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Wales","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Essex","Heart of Essex","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Greater Manchester","Greater Manchester North West","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Hampshire and Isle of Wight","Central Hampshire","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Hampshire and Isle of Wight","Isle of Wight","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Inner London - West","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Kent","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Lancashire","Chorley and West Lancashire","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Lancashire","Mid Lancashire","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","Leicester","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","15","15","24650","23230"
"In post","2023","16-19","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
