"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AO","Female","175","145","22790","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AO","Male","125","120","23480","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Female","170","155","27950","28120"
