"Status","Year","Function_of_post","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for International Trade","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","85","85","48360","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","125","125","50270","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","Female","140","135","52020","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","Male","180","180","50500","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Outside London","Male","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","Female","115","105","49080","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","Male","110","110","51570","43810"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","Female","185","170","43680","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","Male","205","200","41860","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","Female","40","35","55980","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","Male","45","45","48980","54660"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Female","40","35","45870","50830"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Male","45","45","46530","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","Female","30","30","28070","26960"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Estyn","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","London","Female","60","55","71290","73350"
"In post","2023","Analysis","Government Actuary's Department","London","Male","110","105","73000","67430"
"In post","2023","Analysis","Government Actuary's Department","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","Female","175","165","52800","45960"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","Male","235","230","53390","45960"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","Female","150","140","45330","42140"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","Male","215","210","44020","41780"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","Female","65","65","43890","38660"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","Male","100","100","46560","43080"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Outside London","Male","35","35","46320","40840"
"In post","2023","Analysis","Home Office","London","Female","240","230","45300","43350"
"In post","2023","Analysis","Home Office","London","Male","235","230","48250","44170"
"In post","2023","Analysis","Home Office","Outside London","Female","45","40","39060","39170"
"In post","2023","Analysis","Home Office","Outside London","Male","60","60","40990","39000"
"In post","2023","Analysis","Intellectual Property Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","London","Female","50","45","34520","28220"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","London","Female","60","60","46370","45640"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","London","Male","80","80","47270","46070"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Outside London","Female","80","75","39070","34640"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Outside London","Male","100","100","39260","36990"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","London","Female","265","255","49750","43990"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","London","Male","255","250","48260","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Outside London","Female","85","85","38730","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Outside London","Male","85","85","40390","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","London","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","London","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","Female","70","60","40990","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","Male","70","70","41630","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","London","Female","35","35","48220","40000"
"In post","2023","Analysis","Office of Gas and Electricity Markets","London","Male","75","75","50350","47620"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Outside London","Male","35","35","46190","42810"
"In post","2023","Analysis","Office of Rail and Road","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Outside London","Male","35","35","31070","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","London","Female","100","95","46580","41510"
"In post","2023","Analysis","UK Statistics Authority","London","Male","75","75","47620","42370"
"In post","2023","Analysis","UK Statistics Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Outside London","Female","995","930","38360","37760"
"In post","2023","Analysis","UK Statistics Authority","Outside London","Male","750","735","39420","37760"
"In post","2023","Analysis","UK Statistics Authority","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Outside London","Female","50","45","32160","30320"
"In post","2023","Commercial","Animal and Plant Health Agency","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","London","Female","60","60","52860","56430"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","London","Male","45","45","55030","56430"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Outside London","Female","70","65","47490","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Outside London","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Civil Service Fast Stream","London","Female","35","35","30360","30130"
"In post","2023","Commercial","Central Civil Service Fast Stream","London","Male","35","35","30540","30130"
"In post","2023","Commercial","Central Civil Service Fast Stream","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Central Civil Service Fast Stream","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Outside London","Female","185","175","36390","32730"
"In post","2023","Commercial","Crown Commercial Service","Outside London","Male","140","140","38420","39860"
"In post","2023","Commercial","Crown Prosecution Service","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Outside London","Female","485","450","40280","42620"
"In post","2023","Commercial","Defence Equipment and Support","Outside London","Male","435","425","43870","42620"
"In post","2023","Commercial","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Outside London","Female","45","45","33550","30650"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Outside London","Male","40","40","31210","30650"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Outside London","Female","140","135","41980","39090"
"In post","2023","Commercial","Department for Education (excl. agencies)","Outside London","Male","115","115","43440","39090"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","75","70","36270","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","50","50","36740","37300"
"In post","2023","Commercial","Department for International Trade","London","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","London","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","London","Female","55","50","51540","43750"
"In post","2023","Commercial","Department for Transport (excl. agencies)","London","Male","65","65","55770","55740"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","London","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","Female","45","40","40680","38120"
