"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","London","60","60","31240","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","Outside London","25","25","31420","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","London","165","165","30840","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","Outside London","95","95","30560","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","London","10","10","29690","29480"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","Outside London","25","25","29690","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","London","85","85","30260","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","Outside London","15","15","30330","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","London","80","80","31050","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","Outside London","35","35","31350","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","London","620","620","30680","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","Outside London","180","180","30660","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","Outside London","20","15","45610","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","Outside London","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","55","50","34350","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","Outside London","10","10","36270","30330"
