"Status","Year","Organisation","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","15","10","40000","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","35","30","21550","21520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","270","250","25790","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","25","25","60810","59520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","510","465","35690","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","AA/AO","775","725","22630","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","645","615","27010","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","G6/G7","100","100","54430","51580"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO/HEO","570","550","34240","32710"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","SEO/HEO","15","15","37100","38730"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","SEO/HEO","20","20","34390","31750"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","AA/AO","165","155","24530","25340"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","150","140","28610","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","G6/G7","55","55","56060","54840"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO/HEO","205","200","36090","34420"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","EO","25","25","25920","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","G6/G7","100","100","54940","55230"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","SEO/HEO","190","180","39800","37980"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","G6/G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","SEO/HEO","15","15","37860","39040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","G6/G7","15","15","56010","54820"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","SEO/HEO","30","30","34660","35040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","EO","15","15","26890","27230"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","G6/G7","75","70","55230","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","SCS level","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","SEO/HEO","25","25","33930","34000"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","EO","15","15","27720","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","G6/G7","70","65","58790","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","SCS level","25","25","111750","106940"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","SEO/HEO","50","45","37320","38050"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","G6/G7","65","65","60730","58310"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","SEO/HEO","70","65","39410","39700"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","G6/G7","15","15","58300","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","EO","40","40","27570","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","G6/G7","615","600","58300","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","SCS level","45","45","102170","98000"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","SEO/HEO","330","330","38230","38460"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","G6/G7","10","10","59730","57040"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","SEO/HEO","10","10","35530","35440"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","EO","15","15","27720","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","G6/G7","30","30","61940","60690"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","SCS level","20","15","122870","118450"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","SEO/HEO","50","45","38150","37000"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","AA/AO","130","115","21810","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","EO","140","130","26620","26300"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","G6/G7","260","255","58550","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","SCS level","40","35","88870","78510"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","SEO/HEO","315","305","37300","38120"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","AA/AO","10","10","23860","25280"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","EO","15","10","28350","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","G6/G7","15","15","58310","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","SEO/HEO","15","15","36720","36680"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","G6/G7","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","SCS level","55","50","86860","81600"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","EO","10","10","27150","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","G6/G7","195","190","58630","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","SCS level","15","15","89220","83210"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","SEO/HEO","160","160","38990","39580"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","G6/G7","40","40","59410","58170"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","SCS level","10","10","103880","91700"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","SEO/HEO","30","30","35930","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","G6/G7","15","15","58550","57650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","AA/AO","35","35","23120","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","EO","25","25","27340","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","G6/G7","55","50","63100","64090"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","SCS level","25","25","92410","82890"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","SEO/HEO","255","240","35460","34320"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","AA/AO","235","220","22820","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","EO","480","460","27070","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","G6/G7","860","845","59590","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SCS level","195","190","93800","82730"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SEO/HEO","715","705","37610","36680"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","SEO/HEO","90","90","30450","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","SEO/HEO","10","10","33660","34250"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","SEO/HEO","155","155","30760","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","SEO/HEO","90","90","31290","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","SEO/HEO","260","260","30730","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","SEO/HEO","40","40","29690","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","SEO/HEO","100","100","30250","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","SEO/HEO","115","110","31120","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","SEO/HEO","800","800","30670","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","10","10","50860","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","15","15","25940","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","SEO/HEO","30","30","33780","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","G6/G7","[c]","[c]","[c]","[c]"
