"Status","Year","Function_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Outside London","Heterosexual / straight","165","155","42590","40650"
"In post","2023","Analysis","Bristol, City of","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","Bromley","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bromley","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Calderdale and Kirklees","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Outside London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","London","Heterosexual / straight","140","130","73330","68110"
"In post","2023","Analysis","Camden and City of London","London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","London","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Camden and City of London","London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Central Bedfordshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Bedfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","Outside London","Heterosexual / straight","390","375","45930","49260"
"In post","2023","Analysis","Central Hampshire","Outside London","LGBO","30","30","39160","39890"
"In post","2023","Analysis","Central Hampshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","Outside London","Unknown","125","120","44650","49260"
"In post","2023","Analysis","Central Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Valleys","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire East","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire East","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire East","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Outside London","Heterosexual / straight","40","40","51500","49780"
"In post","2023","Analysis","City of Edinburgh","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Conwy and Denbighshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Conwy and Denbighshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Coventry","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Coventry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Coventry","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Coventry","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Croydon","London","Heterosexual / straight","125","115","49580","45560"
"In post","2023","Analysis","Croydon","London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Croydon","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Croydon","London","Unknown","35","35","38180","36120"
"In post","2023","Analysis","Darlington","Outside London","Heterosexual / straight","115","110","37650","34750"
"In post","2023","Analysis","Darlington","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Darlington","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Darlington","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Derby","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derby","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derby","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Devon CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Dorset","Outside London","Heterosexual / straight","60","55","37010","31190"
"In post","2023","Analysis","Dorset","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Dorset","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Dorset","Outside London","Unknown","70","65","33640","30350"
"In post","2023","Analysis","Dudley","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dudley","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Durham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Durham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","East Derbyshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Derbyshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lancashire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lothian and Midlothian","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lothian and Midlothian","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Sussex CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","East Sussex CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Essex Thames Gateway","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Essex Thames Gateway","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Falkirk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Falkirk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Fermanagh and Omagh","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Fermanagh and Omagh","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Outside London","Heterosexual / straight","60","60","42310","37000"
"In post","2023","Analysis","Glasgow City","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Glasgow City","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gloucestershire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Outside London","Heterosexual / straight","160","155","44800","41780"
"In post","2023","Analysis","Greater Manchester South West","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","Outside London","Unknown","40","40","39560","41780"
"In post","2023","Analysis","Gwent Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwent Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwynedd","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwynedd","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","London","Heterosexual / straight","135","130","50510","45560"
"In post","2023","Analysis","Hackney and Newham","London","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","London","Unknown","45","45","43230","39790"
"In post","2023","Analysis","Haringey and Islington","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Haringey and Islington","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Harrow and Hillingdon","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Harrow and Hillingdon","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Heart of Essex","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Heart of Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, County of","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, County of","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hertfordshire CC","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Hertfordshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hertfordshire CC","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hertfordshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Isle of Anglesey","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Isle of Anglesey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Isle of Anglesey","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kent Thames Gateway","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kent Thames Gateway","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kingston upon Hull, City of","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kingston upon Hull, City of","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kingston upon Hull, City of","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lambeth","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lambeth","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leeds","Outside London","Heterosexual / straight","170","160","43010","41610"
"In post","2023","Analysis","Leeds","Outside London","LGBO","30","30","39460","37680"
"In post","2023","Analysis","Leeds","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Leeds","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Leicester","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leicester","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leicestershire CC and Rutland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leicestershire CC and Rutland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lewisham and Southwark","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lewisham and Southwark","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lewisham and Southwark","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lincolnshire CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Lincolnshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lincolnshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Liverpool","Outside London","Heterosexual / straight","105","100","46090","42510"
"In post","2023","Analysis","Liverpool","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Liverpool","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Liverpool","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Luton","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Luton","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Luton","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Manchester","Outside London","Heterosexual / straight","130","125","38530","35000"
"In post","2023","Analysis","Manchester","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Manchester","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Manchester","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Medway","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medway","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Merton, Kingston upon Thames and Sutton","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Merton, Kingston upon Thames and Sutton","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Kent","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Kent","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Lancashire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Mid Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Lancashire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid and East Antrim","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid and East Antrim","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Milton Keynes","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Milton Keynes","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Milton Keynes","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Monmouthshire and Newport","Outside London","Heterosexual / straight","725","695","38780","37760"
"In post","2023","Analysis","Monmouthshire and Newport","Outside London","LGBO","90","90","38120","37690"
"In post","2023","Analysis","Monmouthshire and Newport","Outside London","Undeclared","50","50","38960","37760"
"In post","2023","Analysis","Monmouthshire and Newport","Outside London","Unknown","230","225","39910","37760"
"In post","2023","Analysis","Newry, Mourne and Down","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Newry, Mourne and Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Hampshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Hampshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Hampshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Northamptonshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Northamptonshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Nottinghamshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Yorkshire CC","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Yorkshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Yorkshire CC","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Yorkshire CC","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","North and North East Lincolnshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North and North East Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North and West Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North and West Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northumberland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northumberland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northumberland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Norwich and East Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Norwich and East Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Nottingham","Outside London","Heterosexual / straight","45","45","41310","39410"
"In post","2023","Analysis","Nottingham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Nottingham","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Nottingham","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Oxfordshire CC","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Oxfordshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Oxfordshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Peterborough","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Peterborough","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Plymouth","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Plymouth","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Plymouth","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Portsmouth","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Portsmouth","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Portsmouth","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Portsmouth","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Powys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Powys","Outside London","LGBO","[c]","[c]","[c]","[c]"
