"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA/AO","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","AA/AO","15","15","23460","24710"
"In post","2023","16-19","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA/AO","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","20","20","19220","18280"
"In post","2023","16-19","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","15","10","20880","21200"
"In post","2023","16-19","UK Statistics Authority","EO","15","15","24840","24840"
"In post","2023","16-19","Valuation Office Agency","AA/AO","15","15","22820","22520"
"In post","2023","16-19","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","AA/AO","10","10","22670","22150"
"In post","2023","20-29","Accountant in Bankruptcy","AA/AO","10","10","22920","22180"
"In post","2023","20-29","Accountant in Bankruptcy","EO","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","EO","40","40","25610","25160"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","SEO/HEO","20","20","34230","32110"
"In post","2023","20-29","Animal and Plant Health Agency","AA/AO","245","245","23270","22150"
"In post","2023","20-29","Animal and Plant Health Agency","EO","200","200","27550","25920"
"In post","2023","20-29","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","SEO/HEO","110","110","33860","33830"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","EO","15","15","26970","27230"
"In post","2023","20-29","Building Digital UK","G6/G7","20","20","54520","53030"
"In post","2023","20-29","Building Digital UK","SEO/HEO","40","40","35270","35040"
"In post","2023","20-29","Cabinet Office (excl. agencies)","AA/AO","130","125","22750","21720"
"In post","2023","20-29","Cabinet Office (excl. agencies)","EO","275","270","27020","28050"
"In post","2023","20-29","Cabinet Office (excl. agencies)","G6/G7","290","290","56740","56430"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SEO/HEO","550","550","37070","35650"
"In post","2023","20-29","Central Civil Service Fast Stream","SEO/HEO","1470","1465","30650","30130"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","15","15","21520","22150"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","55","55","25950","25920"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","45","45","31110","30350"
"In post","2023","20-29","Charity Commission","AA/AO","10","10","21500","21100"
"In post","2023","20-29","Charity Commission","EO","30","30","25330","25300"
"In post","2023","20-29","Charity Commission","SEO/HEO","35","35","32080","30170"
"In post","2023","20-29","Companies House","AA/AO","80","75","22130","21380"
"In post","2023","20-29","Companies House","EO","40","40","29320","29470"
"In post","2023","20-29","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","SEO/HEO","35","35","38330","37680"
"In post","2023","20-29","Competition and Markets Authority","AA/AO","20","20","23200","23200"
"In post","2023","20-29","Competition and Markets Authority","EO","25","25","27840","27550"
"In post","2023","20-29","Competition and Markets Authority","G6/G7","45","45","56870","55130"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","85","85","35860","34110"
"In post","2023","20-29","Criminal Injuries Compensation Authority","AA/AO","25","25","21780","21780"
"In post","2023","20-29","Criminal Injuries Compensation Authority","EO","15","15","25830","25830"
"In post","2023","20-29","Criminal Injuries Compensation Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","EO","30","30","25970","26410"
"In post","2023","20-29","Crown Commercial Service","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","SEO/HEO","75","75","34350","32250"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","AA/AO","255","245","23540","23700"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","EO","145","140","29700","28700"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","G6/G7","105","105","52600","52360"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","SEO/HEO","65","65","35110","34730"
"In post","2023","20-29","Crown Prosecution Service","AA/AO","550","545","22960","22870"
"In post","2023","20-29","Crown Prosecution Service","EO","415","410","27540","27150"
"In post","2023","20-29","Crown Prosecution Service","G6/G7","95","95","51590","49050"
"In post","2023","20-29","Crown Prosecution Service","SEO/HEO","185","180","35870","38760"
"In post","2023","20-29","Defence Electronics and Components Agency","AA/AO","25","25","19260","19840"
"In post","2023","20-29","Defence Electronics and Components Agency","EO","20","20","26940","27250"
"In post","2023","20-29","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Defence Equipment and Support","AA/AO","660","660","23220","21950"
"In post","2023","20-29","Defence Equipment and Support","EO","220","220","26570","26020"
"In post","2023","20-29","Defence Equipment and Support","G6/G7","15","15","51360","52500"
"In post","2023","20-29","Defence Equipment and Support","SEO/HEO","915","910","34420","32500"
"In post","2023","20-29","Defence Science and Technology Laboratory","AA/AO","95","95","20540","19430"
"In post","2023","20-29","Defence Science and Technology Laboratory","EO","130","130","24780","24630"
"In post","2023","20-29","Defence Science and Technology Laboratory","G6/G7","45","45","48040","49260"
"In post","2023","20-29","Defence Science and Technology Laboratory","SEO/HEO","900","900","32730","30650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","25","25","24430","25900"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","170","170","27670","28510"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","625","625","56710","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","1220","1220","38340","39460"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","85","85","27700","27230"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","165","165","54590","53030"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","345","345","36930","35620"
"In post","2023","20-29","Department for Education (excl. agencies)","AA/AO","15","15","23050","22020"
"In post","2023","20-29","Department for Education (excl. agencies)","EO","270","265","27240","25900"
"In post","2023","20-29","Department for Education (excl. agencies)","G6/G7","255","255","54400","55020"
"In post","2023","20-29","Department for Education (excl. agencies)","SEO/HEO","845","840","36320","37590"
"In post","2023","20-29","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","15","15","21240","22150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","175","175","26940","26150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","195","195","53400","54330"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","890","885","35080","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","EO","145","145","28810","29280"
"In post","2023","20-29","Department for International Trade","G6/G7","255","255","56630","55370"
"In post","2023","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","SEO/HEO","750","750","37960","36030"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","10","10","24740","24320"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","95","95","28200","28850"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","240","240","55050","54630"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","500","500","36320","34310"
"In post","2023","20-29","Department for Transport (excl. agencies)","AA/AO","20","20","27190","26510"
"In post","2023","20-29","Department for Transport (excl. agencies)","EO","135","135","30370","30920"
"In post","2023","20-29","Department for Transport (excl. agencies)","G6/G7","240","240","56480","55740"
"In post","2023","20-29","Department for Transport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport (excl. agencies)","SEO/HEO","580","575","38310","35910"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","AA/AO","3070","2975","22080","21690"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","EO","4260","4175","29010","28120"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","G6/G7","165","165","55290","55150"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","SEO/HEO","1160","1155","36870","34970"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","AA/AO","15","15","23410","24750"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","EO","170","170","27860","28770"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","G6/G7","270","270","55300","54690"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","SEO/HEO","550","550","36950","34450"
"In post","2023","20-29","Disclosure Scotland","AA/AO","50","50","23700","23340"
"In post","2023","20-29","Disclosure Scotland","EO","5","5","[c]","[c]"
"In post","2023","20-29","Disclosure Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Disclosure Scotland","SEO/HEO","10","10","39980","38400"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","AA/AO","620","580","21490","22500"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","EO","90","90","27090","26960"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","SEO/HEO","65","60","37200","34850"
"In post","2023","20-29","Driver and Vehicle Standards Agency","AA/AO","135","135","24080","22500"
"In post","2023","20-29","Driver and Vehicle Standards Agency","EO","100","100","27470","26960"
"In post","2023","20-29","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Driver and Vehicle Standards Agency","SEO/HEO","60","60","34720","31660"
"In post","2023","20-29","Education Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Education Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Education and Skills Funding Agency","EO","25","25","26930","25900"
"In post","2023","20-29","Education and Skills Funding Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Education and Skills Funding Agency","SEO/HEO","75","75","34490","34030"
"In post","2023","20-29","Estyn","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","FCDO Services","AA/AO","20","20","26180","26100"
"In post","2023","20-29","FCDO Services","EO","75","75","30090","29400"
"In post","2023","20-29","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","FCDO Services","SEO/HEO","35","35","37970","37250"
"In post","2023","20-29","FCDO Services","Unknown","30","30","25140","23800"
"In post","2023","20-29","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","EO","30","30","27410","26910"
"In post","2023","20-29","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","SEO/HEO","120","120","35550","33820"
"In post","2023","20-29","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Scotland","EO","20","20","29330","29450"
"In post","2023","20-29","Food Standards Scotland","SEO/HEO","15","15","36070","34730"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","135","135","26260","25700"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","EO","190","190","30160","30030"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","200","200","54950","54960"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","885","885","37600","36620"
"In post","2023","20-29","Forestry and Land Scotland","AA/AO","90","90","26120","26220"
"In post","2023","20-29","Forestry and Land Scotland","EO","35","35","31780","31180"
"In post","2023","20-29","Forestry and Land Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Government Actuary's Department","EO","20","20","30140","30090"
"In post","2023","20-29","Government Actuary's Department","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Government Actuary's Department","SEO/HEO","30","30","39110","37690"
"In post","2023","20-29","Government Commercial Organisation","G6/G7","85","85","63240","65500"
"In post","2023","20-29","Government Commercial Organisation","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Government Internal Audit Agency","EO","5","5","[c]","[c]"
"In post","2023","20-29","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Government Internal Audit Agency","SEO/HEO","25","25","35180","35500"
"In post","2023","20-29","Government Legal Department","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Government Legal Department","EO","185","180","29340","27760"
"In post","2023","20-29","Government Legal Department","G6/G7","95","95","52070","52020"
"In post","2023","20-29","Government Legal Department","SEO/HEO","105","105","39320","42890"
"In post","2023","20-29","Government Property Agency","EO","10","10","25180","24820"
"In post","2023","20-29","Government Property Agency","G6/G7","15","15","50530","51020"
"In post","2023","20-29","Government Property Agency","SEO/HEO","35","35","35670","34000"
"In post","2023","20-29","HM Courts and Tribunals Service","AA/AO","1310","1255","22290","21780"
"In post","2023","20-29","HM Courts and Tribunals Service","EO","425","420","27260","25830"
"In post","2023","20-29","HM Courts and Tribunals Service","G6/G7","25","25","55810","55720"
"In post","2023","20-29","HM Courts and Tribunals Service","SEO/HEO","325","325","35460","35410"
"In post","2023","20-29","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","AA/AO","425","415","23400","23390"
"In post","2023","20-29","HM Land Registry","EO","445","435","28500","28080"
"In post","2023","20-29","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","SEO/HEO","165","165","37340","34850"
"In post","2023","20-29","HM Prison and Probation Service","AA/AO","7645","7540","29110","28880"
"In post","2023","20-29","HM Prison and Probation Service","EO","900","890","32550","32790"
"In post","2023","20-29","HM Prison and Probation Service","G6/G7","25","25","64160","62800"
"In post","2023","20-29","HM Prison and Probation Service","SEO/HEO","580","575","35120","33200"
"In post","2023","20-29","HM Prison and Probation Service","Unknown","4450","4345","25660","24570"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","AA/AO","4115","3970","22720","22520"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","EO","3090","3060","28460","27890"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","G6/G7","470","470","59980","57970"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","SEO/HEO","3095","3080","37300","35000"
"In post","2023","20-29","HM Treasury (excl. agencies)","AA/AO","25","25","22820","23210"
"In post","2023","20-29","HM Treasury (excl. agencies)","EO","115","115","26580","27820"
"In post","2023","20-29","HM Treasury (excl. agencies)","G6/G7","260","260","54710","54090"
"In post","2023","20-29","HM Treasury (excl. agencies)","SEO/HEO","455","450","33940","33630"
"In post","2023","20-29","Health and Safety Executive","AA/AO","60","60","22120","21540"
"In post","2023","20-29","Health and Safety Executive","EO","135","135","27500","27320"
"In post","2023","20-29","Health and Safety Executive","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Health and Safety Executive","SEO/HEO","155","155","34600","32800"
"In post","2023","20-29","Home Office","AA/AO","2410","2335","22930","22400"
"In post","2023","20-29","Home Office","EO","3310","3280","26920","25880"
"In post","2023","20-29","Home Office","G6/G7","330","330","59720","59290"
"In post","2023","20-29","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","SEO/HEO","1735","1730","37130","36180"
"In post","2023","20-29","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","EO","5","5","[c]","[c]"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","SEO/HEO","25","25","36030","37710"
"In post","2023","20-29","Intellectual Property Office","AA/AO","40","40","23100","23100"
"In post","2023","20-29","Intellectual Property Office","EO","125","120","26930","25040"
"In post","2023","20-29","Intellectual Property Office","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Intellectual Property Office","SEO/HEO","95","95","40010","42530"
"In post","2023","20-29","Legal Aid Agency","AA/AO","85","80","21780","21780"
"In post","2023","20-29","Legal Aid Agency","EO","35","30","26570","25830"
"In post","2023","20-29","Legal Aid Agency","SEO/HEO","10","10","34100","31270"
"In post","2023","20-29","Maritime and Coastguard Agency","AA/AO","65","65","22700","22500"
"In post","2023","20-29","Maritime and Coastguard Agency","EO","40","40","27150","26960"
"In post","2023","20-29","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Maritime and Coastguard Agency","SEO/HEO","55","55","34380","31660"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","EO","65","65","27940","27840"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","G6/G7","15","15","57780","54090"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","105","105","36870","33940"
"In post","2023","20-29","Met Office","AA/AO","105","105","20020","20660"
"In post","2023","20-29","Met Office","EO","85","85","25530","26650"
"In post","2023","20-29","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Met Office","SEO/HEO","180","180","33260","31290"
