"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Office","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","G6/G7","Heterosexual / straight","60","60","57820","55800"
"In post","2023","Building Digital UK","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","AA/AO","Heterosexual / straight","60","55","25280","25280"
"In post","2023","Cabinet Office (excl. agencies)","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","EO","Heterosexual / straight","225","220","28820","28370"
"In post","2023","Cabinet Office (excl. agencies)","London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","EO","Undeclared","30","30","28740","28370"
"In post","2023","Cabinet Office (excl. agencies)","London","EO","Unknown","75","75","28870","28370"
"In post","2023","Cabinet Office (excl. agencies)","London","G6/G7","Heterosexual / straight","1090","1065","60650","58070"
"In post","2023","Cabinet Office (excl. agencies)","London","G6/G7","LGBO","140","140","59480","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","G6/G7","Undeclared","150","145","59920","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","G6/G7","Unknown","300","295","60250","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","SCS level","Heterosexual / straight","240","235","95570","84240"
"In post","2023","Cabinet Office (excl. agencies)","London","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","SCS level","Undeclared","30","30","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","SCS level","Unknown","95","95","98630","89670"
"In post","2023","Cabinet Office (excl. agencies)","London","SEO/HEO","Heterosexual / straight","695","685","39190","40270"
