"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Counter Fraud","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AO","Heterosexual / straight","40","40","26410","26550"
"In post","2023","Digital, Data and Technology","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","EO","Heterosexual / straight","275","270","30910","30560"
"In post","2023","Digital, Data and Technology","London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","EO","Undeclared","35","35","31470","30890"
"In post","2023","Digital, Data and Technology","London","EO","Unknown","95","95","30790","29890"
"In post","2023","Digital, Data and Technology","London","G6","Heterosexual / straight","395","390","72530","72080"
"In post","2023","Digital, Data and Technology","London","G6","LGBO","30","30","71430","71190"
"In post","2023","Digital, Data and Technology","London","G6","Undeclared","55","55","72510","72550"
"In post","2023","Digital, Data and Technology","London","G6","Unknown","115","110","73320","72300"
"In post","2023","Digital, Data and Technology","London","G7","Heterosexual / straight","1130","1110","59760","59290"
"In post","2023","Digital, Data and Technology","London","G7","LGBO","130","130","58430","56430"
"In post","2023","Digital, Data and Technology","London","G7","Undeclared","165","160","60070","59290"
"In post","2023","Digital, Data and Technology","London","G7","Unknown","315","310","59750","59290"
"In post","2023","Digital, Data and Technology","London","HEO","Heterosexual / straight","575","565","37100","36330"
"In post","2023","Digital, Data and Technology","London","HEO","LGBO","65","65","36610","35900"
"In post","2023","Digital, Data and Technology","London","HEO","Undeclared","65","65","37240","37400"
"In post","2023","Digital, Data and Technology","London","HEO","Unknown","350","345","35880","36000"
"In post","2023","Digital, Data and Technology","London","SCS level","Heterosexual / straight","120","120","101850","97210"
"In post","2023","Digital, Data and Technology","London","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","SEO","Heterosexual / straight","780","770","44690","43760"
"In post","2023","Digital, Data and Technology","London","SEO","LGBO","60","60","43700","43070"
"In post","2023","Digital, Data and Technology","London","SEO","Undeclared","125","125","44670","43790"
"In post","2023","Digital, Data and Technology","London","SEO","Unknown","300","295","44690","43650"
"In post","2023","Digital, Data and Technology","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AO","Heterosexual / straight","335","325","22910","22220"
"In post","2023","Digital, Data and Technology","Outside London","AO","LGBO","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AO","Undeclared","40","40","22720","22290"
"In post","2023","Digital, Data and Technology","Outside London","AO","Unknown","95","90","23210","22520"
"In post","2023","Digital, Data and Technology","Outside London","EO","Heterosexual / straight","1900","1800","28250","28120"
"In post","2023","Digital, Data and Technology","Outside London","EO","LGBO","130","125","27760","27650"
"In post","2023","Digital, Data and Technology","Outside London","EO","Undeclared","275","265","28570","28120"
"In post","2023","Digital, Data and Technology","Outside London","EO","Unknown","620","590","28350","28120"
"In post","2023","Digital, Data and Technology","Outside London","G6","Heterosexual / straight","820","810","68500","66860"
"In post","2023","Digital, Data and Technology","Outside London","G6","LGBO","30","30","68260","66860"
