"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","SEO/HEO","345","330","38340","38470"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","85","80","57550","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","65","60","36390","34190"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","AA/AO","15","15","22290","22500"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","EO","10","10","27530","27320"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","25","25","36360","35410"
"In post","2023","Analysis","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","SEO/HEO","20","20","36750","37590"
"In post","2023","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","SEO/HEO","35","35","37110","37910"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","25","20","62410","61400"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","15","15","35490","34670"
"In post","2023","Analysis","Government Actuary's Department","EO","15","15","30090","30090"
"In post","2023","Analysis","Government Actuary's Department","G6/G7","115","105","88770","81840"
"In post","2023","Analysis","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","SEO/HEO","50","50","42050","39220"
"In post","2023","Analysis","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","G6/G7","15","15","61420","61060"
"In post","2023","Analysis","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","SEO/HEO","40","40","38510","37680"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","G6/G7","10","10","61960","57880"
"In post","2023","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","SEO/HEO","15","15","38310","38410"
"In post","2023","Analysis","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","SEO/HEO","10","10","41120","41170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","EO","40","40","30110","28130"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","275","260","64240","65230"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","SCS level","15","15","85580","83590"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","440","425","40600","41780"
"In post","2023","Analysis","HM Treasury (excl. agencies)","AA/AO","10","10","23210","23210"
"In post","2023","Analysis","HM Treasury (excl. agencies)","EO","20","20","25050","24790"
"In post","2023","Analysis","HM Treasury (excl. agencies)","G6/G7","75","70","57910","54440"
"In post","2023","Analysis","HM Treasury (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","SEO/HEO","70","70","35420","34480"
"In post","2023","Analysis","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","G6/G7","20","20","60460","60110"
"In post","2023","Analysis","Health and Safety Executive","SEO/HEO","35","35","37930","37180"
"In post","2023","Analysis","Home Office","AA/AO","30","30","23580","23500"
"In post","2023","Analysis","Home Office","EO","50","50","29640","29890"
"In post","2023","Analysis","Home Office","G6/G7","170","165","62990","61540"
"In post","2023","Analysis","Home Office","SCS level","10","10","83830","81390"
"In post","2023","Analysis","Home Office","SEO/HEO","315","310","39510","39000"
"In post","2023","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","EO","10","10","26260","25040"
"In post","2023","Analysis","Intellectual Property Office","G6/G7","15","15","62290","61660"
"In post","2023","Analysis","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","SEO/HEO","25","25","38410","41240"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","EO","35","35","28050","27840"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","G6/G7","15","15","62880","67600"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","20","20","38810","41330"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","AA/AO","10","10","23920","23560"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","EO","50","50","29300","29140"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","G6/G7","55","55","61090","61180"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","200","195","40450","40190"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","EO","50","45","29400","29660"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","G6/G7","245","235","60770","61280"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","SCS level","10","10","83360","82510"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","385","380","38690","37680"
"In post","2023","Analysis","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","G6/G7","15","15","56700","51130"
"In post","2023","Analysis","National Savings and Investments","SEO/HEO","15","15","44420","45780"
"In post","2023","Analysis","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","G6/G7","25","20","60700","56660"
"In post","2023","Analysis","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","SEO/HEO","10","10","37630","37060"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","EO","25","25","27410","27140"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","30","30","64650","61480"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","110","105","37320","36330"
"In post","2023","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","EO","25","25","26830","26130"
"In post","2023","Analysis","Office of Gas and Electricity Markets","G6/G7","80","80","60610","60000"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","SEO/HEO","55","55","36050","35200"
"In post","2023","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","G6/G7","30","30","62670","59930"
"In post","2023","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","SEO/HEO","20","20","38620","39430"
"In post","2023","Analysis","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","SEO/HEO","10","10","41080","39590"
"In post","2023","Analysis","Rural Payments Agency","EO","15","15","26060","25920"
"In post","2023","Analysis","Rural Payments Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","SEO/HEO","20","20","32960","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","SEO/HEO","25","25","40970","41060"
"In post","2023","Analysis","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","AA/AO","55","50","21330","21200"
"In post","2023","Analysis","UK Statistics Authority","EO","165","150","25630","24840"
"In post","2023","Analysis","UK Statistics Authority","G6/G7","415","400","54810","52490"
"In post","2023","Analysis","UK Statistics Authority","SCS level","40","40","88320","74140"
"In post","2023","Analysis","UK Statistics Authority","SEO/HEO","1250","1205","35510","34560"
"In post","2023","Analysis","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","G6/G7","20","20","61850","58970"
"In post","2023","Analysis","Valuation Office Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","SEO/HEO","30","30","38480","38570"
"In post","2023","Analysis","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","G6/G7","15","15","88350","82210"
"In post","2023","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","SEO/HEO","25","25","46340","47150"
"In post","2023","Analysis","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","AA/AO","15","15","22830","22150"
"In post","2023","Commercial","Animal and Plant Health Agency","EO","10","10","26960","26380"
"In post","2023","Commercial","Animal and Plant Health Agency","G6/G7","15","15","58410","59340"
"In post","2023","Commercial","Animal and Plant Health Agency","SEO/HEO","35","35","35980","37300"
"In post","2023","Commercial","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","SEO/HEO","20","20","34510","35040"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","EO","20","20","26750","27580"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","G6/G7","115","110","58020","56430"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","SCS level","10","10","101130","79540"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","SEO/HEO","65","65","38130","38460"
"In post","2023","Commercial","Central Civil Service Fast Stream","SEO/HEO","90","90","30450","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","10","10","50860","49400"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","EO","25","25","26620","26410"
"In post","2023","Commercial","Crown Commercial Service","G6/G7","20","15","55180","53070"
"In post","2023","Commercial","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","SEO/HEO","290","280","36760","39860"
"In post","2023","Commercial","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","G6/G7","10","10","59640","59600"
"In post","2023","Commercial","Crown Prosecution Service","SEO/HEO","20","20","37530","38940"
"In post","2023","Commercial","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","EO","15","15","28440","27250"
"In post","2023","Commercial","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","SEO/HEO","15","15","36760","34680"
"In post","2023","Commercial","Defence Equipment and Support","AA/AO","120","115","23790","22640"
"In post","2023","Commercial","Defence Equipment and Support","EO","45","45","26440","26000"
"In post","2023","Commercial","Defence Equipment and Support","G6/G7","215","205","59680","55500"
"In post","2023","Commercial","Defence Equipment and Support","SCS level","15","15","97530","96450"
"In post","2023","Commercial","Defence Equipment and Support","SEO/HEO","525","500","38380","38760"
"In post","2023","Commercial","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Science and Technology Laboratory","EO","25","25","24460","24630"
"In post","2023","Commercial","Defence Science and Technology Laboratory","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Defence Science and Technology Laboratory","SEO/HEO","55","55","34880","33780"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","15","15","40160","41360"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","15","15","61580","55530"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","EO","20","20","26440","25900"
"In post","2023","Commercial","Department for Education (excl. agencies)","G6/G7","85","85","57590","55360"
"In post","2023","Commercial","Department for Education (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","SEO/HEO","155","150","36990","37590"
"In post","2023","Commercial","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","135","130","36010","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","SEO/HEO","35","35","38160","35790"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","20","20","40170","40390"
"In post","2023","Commercial","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","G6/G7","60","60","62990","62930"
"In post","2023","Commercial","Department for Transport (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","SEO/HEO","75","75","38040","36410"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","SEO/HEO","25","25","35000","34170"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","G6/G7","25","20","56470","54690"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","SEO/HEO","60","55","37790","38120"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","AA/AO","40","35","21500","22500"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","EO","40","35","27230","26960"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","G6/G7","20","20","57150","53840"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","SEO/HEO","80","75","36420","33850"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","SEO/HEO","30","30","37630","39820"
"In post","2023","Commercial","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","FCDO Services","EO","15","15","28920","28540"
"In post","2023","Commercial","FCDO Services","G6/G7","30","30","64140","58870"
"In post","2023","Commercial","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
