"Status","Year","Age","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Outside London","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Outside London","Female","55","50","21020","22500"
"In post","2023","16-19","Department for Transport","Outside London","Male","35","30","21790","22500"
"In post","2023","16-19","Department for Work and Pensions","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Outside London","Female","40","40","23090","21690"
"In post","2023","16-19","Department for Work and Pensions","Outside London","Male","35","35","22760","21690"
"In post","2023","16-19","Department of Health and Social Care","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Outside London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Outside London","Male","25","25","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Outside London","Male","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","London","Male","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Outside London","Female","85","85","22700","22520"
"In post","2023","16-19","HM Revenue and Customs","Outside London","Male","100","95","23270","22520"
"In post","2023","16-19","HM Treasury","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Home Office","London","Male","15","15","[c]","[c]"
"In post","2023","16-19","Home Office","Outside London","Female","60","55","23020","22400"
"In post","2023","16-19","Home Office","Outside London","Male","45","45","23060","22400"
"In post","2023","16-19","Home Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Outside London","Female","50","50","20580","20270"
"In post","2023","16-19","Ministry of Defence","Outside London","Male","155","155","20080","19430"
"In post","2023","16-19","Ministry of Defence","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","London","Female","15","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","London","Male","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Outside London","Female","185","180","24990","23230"
"In post","2023","16-19","Ministry of Justice","Outside London","Male","140","135","26040","24070"
"In post","2023","16-19","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Outside London","Female","40","40","23170","22920"
"In post","2023","16-19","Scottish Government","Outside London","Male","40","35","23090","23130"
"In post","2023","16-19","The National Archives","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Outside London","Female","15","15","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Outside London","Male","15","15","[c]","[c]"
"In post","2023","16-19","Welsh Government","Outside London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","Outside London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","London","Female","500","495","33370","28200"
"In post","2023","20-29","Attorney General's Departments","London","Male","260","260","34440","30160"
"In post","2023","20-29","Attorney General's Departments","Outside London","Female","705","695","28900","26900"
"In post","2023","20-29","Attorney General's Departments","Outside London","Male","255","255","28020","25600"
"In post","2023","20-29","Cabinet Office","London","Female","1175","1175","35630","32790"
"In post","2023","20-29","Cabinet Office","London","Male","830","830","37050","32960"
"In post","2023","20-29","Cabinet Office","Outside London","Female","530","525","31950","30130"
"In post","2023","20-29","Cabinet Office","Outside London","Male","385","385","32230","30130"
"In post","2023","20-29","Cabinet Office","Unknown","Female","30","30","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Unknown","Male","35","35","33200","28210"
"In post","2023","20-29","Chancellor's other departments","London","Female","25","25","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","London","Male","40","40","40020","37690"
"In post","2023","20-29","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","London","Female","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","Outside London","Female","45","45","27670","25300"
"In post","2023","20-29","Charity Commission","Outside London","Male","20","20","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","London","Female","80","80","38270","34110"
"In post","2023","20-29","Competition and Markets Authority","London","Male","75","70","39090","34110"
"In post","2023","20-29","Competition and Markets Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","London","Female","885","885","43790","41360"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","London","Male","855","850","44980","41360"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Female","725","715","30590","30930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Male","640","640","30820","30930"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Female","10","10","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","London","Female","315","315","40680","35620"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","London","Male","245","245","41910","39040"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","Outside London","Female","55","55","36370","32560"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","Outside London","Male","50","50","34810","33070"
"In post","2023","20-29","Department for Education","London","Female","365","365","42840","41440"
"In post","2023","20-29","Department for Education","London","Male","165","165","42630","41440"
"In post","2023","20-29","Department for Education","Outside London","Female","650","645","34310","30330"
"In post","2023","20-29","Department for Education","Outside London","Male","395","395","34710","31200"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","London","Female","430","430","38990","34710"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","London","Male","355","350","38290","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Outside London","Female","970","955","28420","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Outside London","Male","645","640","27970","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","London","Female","540","540","41600","41550"
"In post","2023","20-29","Department for International Trade","London","Male","475","470","41770","41550"
"In post","2023","20-29","Department for International Trade","Outside London","Female","55","55","33190","31440"
"In post","2023","20-29","Department for International Trade","Outside London","Male","60","60","33920","31440"
"In post","2023","20-29","Department for International Trade","Overseas","Female","15","15","[c]","[c]"
"In post","2023","20-29","Department for International Trade","Overseas","Male","15","15","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","London","Female","345","345","41670","40390"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","London","Male","300","300","42050","40390"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","Outside London","Female","140","140","33220","31290"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","Outside London","Male","145","145","35130","31290"
"In post","2023","20-29","Department for Transport","London","Female","395","395","42230","43320"
"In post","2023","20-29","Department for Transport","London","Male","400","400","43620","43320"
"In post","2023","20-29","Department for Transport","Outside London","Female","730","690","25580","22500"
"In post","2023","20-29","Department for Transport","Outside London","Male","730","720","27450","26780"
"In post","2023","20-29","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","London","Female","830","810","34570","32520"
"In post","2023","20-29","Department for Work and Pensions","London","Male","485","485","35800","32520"
"In post","2023","20-29","Department for Work and Pensions","Outside London","Female","4260","4115","27050","28120"
"In post","2023","20-29","Department for Work and Pensions","Outside London","Male","3390","3365","26950","28120"
"In post","2023","20-29","Department for Work and Pensions","Unknown","Female","20","20","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions","Unknown","Male","25","25","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","London","Female","970","960","38710","34190"
"In post","2023","20-29","Department of Health and Social Care","London","Male","460","455","39560","34190"
"In post","2023","20-29","Department of Health and Social Care","Outside London","Female","460","450","31080","29590"
"In post","2023","20-29","Department of Health and Social Care","Outside London","Male","315","315","31050","29590"
"In post","2023","20-29","Estyn","Outside London","Female","5","5","[c]","[c]"
"In post","2023","20-29","Estyn","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","London","Female","15","15","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","London","Male","20","20","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","Outside London","Female","90","85","33860","31260"
"In post","2023","20-29","Food Standards Agency","Outside London","Male","35","35","33300","31260"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","London","Female","550","550","40070","38540"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","London","Male","450","445","39330","37000"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Outside London","Female","165","160","29840","26900"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Outside London","Male","185","185","29560","28540"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Overseas","Female","145","145","36790","33540"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Overseas","Male","90","90","37580","34220"
"In post","2023","20-29","HM Land Registry","London","Female","30","30","35090","31680"
"In post","2023","20-29","HM Land Registry","London","Male","30","25","[c]","[c]"
"In post","2023","20-29","HM Land Registry","Outside London","Female","580","560","27240","28080"
"In post","2023","20-29","HM Land Registry","Outside London","Male","400","395","27770","28080"
"In post","2023","20-29","HM Revenue and Customs","London","Female","755","745","39560","39110"
"In post","2023","20-29","HM Revenue and Customs","London","Male","755","755","40140","39110"
"In post","2023","20-29","HM Revenue and Customs","Outside London","Female","4880","4740","28530","27890"
"In post","2023","20-29","HM Revenue and Customs","Outside London","Male","5075","5020","28790","27890"
"In post","2023","20-29","HM Treasury","London","Female","405","400","39460","33820"
"In post","2023","20-29","HM Treasury","London","Male","440","440","39550","33830"
"In post","2023","20-29","HM Treasury","Outside London","Female","50","50","31550","29970"
"In post","2023","20-29","HM Treasury","Outside London","Male","40","40","34080","30510"
"In post","2023","20-29","HM Treasury","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Treasury","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","London","Female","1410","1405","36750","36000"
"In post","2023","20-29","Home Office","London","Male","1075","1070","36780","36000"
"In post","2023","20-29","Home Office","Outside London","Female","2790","2720","25870","25750"
"In post","2023","20-29","Home Office","Outside London","Male","2485","2455","25880","25750"
"In post","2023","20-29","Home Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","Unknown","Female","10","10","[c]","[c]"
"In post","2023","20-29","Home Office","Unknown","Male","15","15","[c]","[c]"
"In post","2023","20-29","Ministry of Defence","London","Female","395","395","40530","38040"
"In post","2023","20-29","Ministry of Defence","London","Male","440","440","39200","38020"
"In post","2023","20-29","Ministry of Defence","Outside London","Female","2720","2680","29930","28370"
"In post","2023","20-29","Ministry of Defence","Outside London","Male","3905","3900","30150","28600"
"In post","2023","20-29","Ministry of Defence","Overseas","Female","25","25","[c]","[c]"
"In post","2023","20-29","Ministry of Defence","Overseas","Male","25","25","[c]","[c]"
"In post","2023","20-29","Ministry of Defence","Unknown","Female","65","65","33020","34010"
"In post","2023","20-29","Ministry of Defence","Unknown","Male","315","315","32280","32950"
"In post","2023","20-29","Ministry of Justice","London","Female","2120","2095","34420","33800"
"In post","2023","20-29","Ministry of Justice","London","Male","1005","995","35080","34110"
"In post","2023","20-29","Ministry of Justice","Outside London","Female","9340","9090","26960","25830"
"In post","2023","20-29","Ministry of Justice","Outside London","Male","5205","5170","28510","28880"
"In post","2023","20-29","Ministry of Justice","Unknown","Female","20","20","[c]","[c]"
"In post","2023","20-29","Ministry of Justice","Unknown","Male","10","10","[c]","[c]"
"In post","2023","20-29","National Crime Agency","London","Female","160","160","39600","39630"
"In post","2023","20-29","National Crime Agency","London","Male","115","115","39510","39630"
"In post","2023","20-29","National Crime Agency","Outside London","Female","315","315","34610","34670"
"In post","2023","20-29","National Crime Agency","Outside London","Male","160","160","34130","34670"
"In post","2023","20-29","National Crime Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","National Crime Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","London","Male","15","15","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","Outside London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","Outside London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","London","Female","30","30","[c]","[c]"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","London","Male","15","15","[c]","[c]"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Outside London","Female","90","90","28540","26870"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Outside London","Male","40","40","29360","27140"
"In post","2023","20-29","Office of Gas and Electricity Markets","London","Female","105","105","35380","33400"
"In post","2023","20-29","Office of Gas and Electricity Markets","London","Male","115","115","33180","30170"
"In post","2023","20-29","Office of Gas and Electricity Markets","Outside London","Female","80","80","30020","27000"
"In post","2023","20-29","Office of Gas and Electricity Markets","Outside London","Male","80","80","28800","26000"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Outside London","Female","40","40","31730","31310"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Outside London","Male","15","15","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","London","Male","10","10","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","Outside London","Female","5","5","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","Outside London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","Outside London","Female","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","Outside London","Male","5","5","[c]","[c]"
"In post","2023","20-29","Scottish Government","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government","Outside London","Female","2795","2740","30800","29100"
"In post","2023","20-29","Scottish Government","Outside London","Male","1815","1805","30550","29100"
"In post","2023","20-29","Scottish Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","The National Archives","London","Female","60","60","28800","27290"
"In post","2023","20-29","The National Archives","London","Male","30","30","[c]","[c]"
"In post","2023","20-29","UK Export Finance","London","Female","70","70","40200","37150"
"In post","2023","20-29","UK Export Finance","London","Male","55","55","40650","37150"
"In post","2023","20-29","UK Statistics Authority","London","Female","70","70","37440","34560"
"In post","2023","20-29","UK Statistics Authority","London","Male","60","60","39870","34560"
"In post","2023","20-29","UK Statistics Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Statistics Authority","Outside London","Female","630","615","32420","31560"
"In post","2023","20-29","UK Statistics Authority","Outside London","Male","520","505","31370","31060"
"In post","2023","20-29","UK Statistics Authority","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","UK Supreme Court","London","Female","10","10","[c]","[c]"
"In post","2023","20-29","UK Supreme Court","London","Male","10","10","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","London","Female","10","10","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","London","Male","10","10","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","Outside London","Female","15","15","[c]","[c]"
"In post","2023","20-29","Water Services Regulation Authority","Outside London","Male","15","15","[c]","[c]"
"In post","2023","20-29","Welsh Government","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Government","Outside London","Female","310","300","29890","27400"
"In post","2023","20-29","Welsh Government","Outside London","Male","240","240","29460","26900"
"In post","2023","20-29","Welsh Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Welsh Government","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Attorney General's Departments","London","Female","800","760","50470","52790"
"In post","2023","30-39","Attorney General's Departments","London","Male","380","375","49250","52020"
"In post","2023","30-39","Attorney General's Departments","Outside London","Female","755","695","40080","38940"
"In post","2023","30-39","Attorney General's Departments","Outside London","Male","335","335","42990","49050"
"In post","2023","30-39","Cabinet Office","London","Female","780","760","54480","56430"
"In post","2023","30-39","Cabinet Office","London","Male","680","680","54740","56430"
"In post","2023","30-39","Cabinet Office","Outside London","Female","610","590","41670","38460"
"In post","2023","30-39","Cabinet Office","Outside London","Male","510","505","44770","39860"
"In post","2023","30-39","Cabinet Office","Unknown","Female","20","20","[c]","[c]"
"In post","2023","30-39","Cabinet Office","Unknown","Male","25","25","[c]","[c]"
"In post","2023","30-39","Chancellor's other departments","London","Female","45","40","60410","58470"
"In post","2023","30-39","Chancellor's other departments","London","Male","50","50","66040","58970"
"In post","2023","30-39","Chancellor's other departments","Outside London","Female","10","10","[c]","[c]"
"In post","2023","30-39","Chancellor's other departments","Outside London","Male","15","15","[c]","[c]"
"In post","2023","30-39","Charity Commission","London","Female","15","15","[c]","[c]"
"In post","2023","30-39","Charity Commission","London","Male","10","10","[c]","[c]"
"In post","2023","30-39","Charity Commission","Outside London","Female","45","45","32630","30170"
"In post","2023","30-39","Charity Commission","Outside London","Male","45","45","31780","30170"
"In post","2023","30-39","Competition and Markets Authority","London","Female","145","135","59410","57540"
"In post","2023","30-39","Competition and Markets Authority","London","Male","125","125","63380","61790"
"In post","2023","30-39","Competition and Markets Authority","Outside London","Female","25","20","[c]","[c]"
"In post","2023","30-39","Competition and Markets Authority","Outside London","Male","20","20","[c]","[c]"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","London","Female","865","825","53300","55120"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","London","Male","830","825","53480","55120"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","Outside London","Female","1100","1030","35900","33130"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","Outside London","Male","1060","1045","38800","37470"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","London","Female","360","350","52350","53030"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","London","Male","260","260","54140","53030"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","Outside London","Female","60","55","43240","44700"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport","Outside London","Male","55","55","45640","48010"
"In post","2023","30-39","Department for Education","London","Female","460","435","52990","55020"
"In post","2023","30-39","Department for Education","London","Male","235","235","53140","55020"
"In post","2023","30-39","Department for Education","Outside London","Female","995","945","41890","37710"
"In post","2023","30-39","Department for Education","Outside London","Male","690","680","41990","37710"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","London","Female","395","380","48750","54330"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","London","Male","290","285","49020","54330"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","Outside London","Female","1350","1250","34060","30350"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","Outside London","Male","975","970","34600","30820"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Department for International Trade","London","Female","385","375","52620","55370"
"In post","2023","30-39","Department for International Trade","London","Male","390","390","52780","55370"
"In post","2023","30-39","Department for International Trade","Outside London","Female","80","75","43270","39700"
"In post","2023","30-39","Department for International Trade","Outside London","Male","70","70","45040","42040"
"In post","2023","30-39","Department for International Trade","Overseas","Female","20","20","[c]","[c]"
"In post","2023","30-39","Department for International Trade","Overseas","Male","55","55","53340","53970"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities","London","Female","330","320","53700","54630"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities","London","Male","325","325","53290","54630"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities","Outside London","Female","265","250","41480","37940"
