"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Debt","EO","EO","70","[c]","28270","28120"
"Leaver CS","2023","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Debt","SEO/HEO","HEO","20","[c]","34070","34170"
"Leaver CS","2023","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Digital, Data & Technology","AA/AO","AA","25","[c]","20250","19080"
"Leaver CS","2023","Digital, Data & Technology","AA/AO","AO","115","[c]","22030","21690"
"Leaver CS","2023","Digital, Data & Technology","EO","EO","335","[c]","28100","27740"
"Leaver CS","2023","Digital, Data & Technology","G6/G7","G6","165","[c]","70210","68790"
"Leaver CS","2023","Digital, Data & Technology","G6/G7","G7","540","[c]","56690","56000"
"Leaver CS","2023","Digital, Data & Technology","SCS level","SCS level","45","[c]","98800","92080"
"Leaver CS","2023","Digital, Data & Technology","SEO/HEO","HEO","450","[c]","34230","34030"
"Leaver CS","2023","Digital, Data & Technology","SEO/HEO","SEO","515","[c]","41960","41410"
"Leaver CS","2023","Digital, Data & Technology","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Finance","AA/AO","AA","15","[c]","[c]","[c]"
"Leaver CS","2023","Finance","AA/AO","AO","140","[c]","22710","21890"
"Leaver CS","2023","Finance","EO","EO","150","[c]","27180","27250"
"Leaver CS","2023","Finance","G6/G7","G6","55","[c]","69700","69140"
"Leaver CS","2023","Finance","G6/G7","G7","125","[c]","56490","55800"
"Leaver CS","2023","Finance","SCS level","SCS level","25","[c]","99880","99930"
"Leaver CS","2023","Finance","SEO/HEO","HEO","180","[c]","34620","34170"
"Leaver CS","2023","Finance","SEO/HEO","SEO","175","[c]","43750","43270"
"Leaver CS","2023","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Grants Management","AA/AO","AO","130","[c]","21680","21300"
"Leaver CS","2023","Grants Management","EO","EO","50","[c]","25250","25920"
"Leaver CS","2023","Grants Management","SEO/HEO","HEO","15","[c]","31040","31050"
"Leaver CS","2023","Grants Management","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","AA/AO","AA","60","[c]","20940","20750"
"Leaver CS","2023","Human Resources","AA/AO","AO","340","[c]","22150","22220"
"Leaver CS","2023","Human Resources","EO","EO","365","[c]","28040","27570"
"Leaver CS","2023","Human Resources","G6/G7","G6","65","[c]","69890","67010"
"Leaver CS","2023","Human Resources","G6/G7","G7","140","[c]","55820","55040"
"Leaver CS","2023","Human Resources","SCS level","SCS level","40","[c]","94900","88380"
"Leaver CS","2023","Human Resources","SEO/HEO","HEO","320","[c]","36240","34300"
"Leaver CS","2023","Human Resources","SEO/HEO","SEO","160","[c]","42600","41800"
"Leaver CS","2023","Human Resources","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
