"Status","Year","Ethnicity","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Central Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Inner London - East","London","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Inner London - West","London","125","125","30670","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Inner London - West","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Inner London - East","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","West Central Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Inner London - East","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Merseyside","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Eastern Scotland","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Southern Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","West Central Scotland","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Bedfordshire and Hertfordshire","Outside London","30","30","46390","54100"
"In post","2023","Asian","Crown Prosecution Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Derbyshire and Nottinghamshire","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Essex","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Greater Manchester","Outside London","35","35","39310","38760"
"In post","2023","Asian","Crown Prosecution Service","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Inner London - East","London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Inner London - West","London","365","340","41810","33780"
"In post","2023","Asian","Crown Prosecution Service","Kent","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Lancashire","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","Outside London","60","55","36120","28850"
"In post","2023","Asian","Crown Prosecution Service","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Northumberland, and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Outer London - West and North West","London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Shropshire and Staffordshire","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Surrey, East and West Sussex","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","West Midlands","Outside London","130","120","36230","28850"
"In post","2023","Asian","Crown Prosecution Service","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","West Yorkshire","Outside London","45","40","43350","49050"
"In post","2023","Asian","Defence Electronics and Components Agency","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
