"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
