"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","HEO","65","60","38430","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","SEO","45","40","48180","48480"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","EO","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","AA/AO","AO","55","55","22150","22150"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","EO","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","EO","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","SEO/HEO","HEO","10","10","30670","30320"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","AA/AO","AO","45","40","22120","22150"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","EO","EO","20","20","26020","25920"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","10","10","30320","30320"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","15","15","37840","37300"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","EO","EO","15","15","27370","26230"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","EO","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AA/AO","AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","EO","15","15","26040","25920"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","HEO","10","10","31080","30320"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","SEO","15","15","40740","38630"
"In post","2023","Animal and Plant Health Agency","Devon CC","AA/AO","AO","110","105","22180","22150"
"In post","2023","Animal and Plant Health Agency","Devon CC","EO","EO","45","45","26270","25920"
"In post","2023","Animal and Plant Health Agency","Devon CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon CC","G6/G7","G7","10","10","51970","49400"
"In post","2023","Animal and Plant Health Agency","Devon CC","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon CC","SEO/HEO","HEO","20","20","30810","30320"
"In post","2023","Animal and Plant Health Agency","Devon CC","SEO/HEO","SEO","25","25","40560","38210"
"In post","2023","Animal and Plant Health Agency","Dorset","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","AA/AO","AO","125","120","22280","22150"
"In post","2023","Animal and Plant Health Agency","East Cumbria","EO","EO","35","30","26380","25920"
"In post","2023","Animal and Plant Health Agency","East Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","SEO/HEO","SEO","15","15","39510","38200"
"In post","2023","Animal and Plant Health Agency","East Kent","EO","EO","25","25","28360","29150"
"In post","2023","Animal and Plant Health Agency","East Kent","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Kent","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","EO","EO","15","15","26990","25920"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","SEO/HEO","HEO","10","10","31160","30320"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Essex Haven Gateway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","EO","EO","35","35","25990","25920"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","SEO/HEO","HEO","15","15","30190","30320"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","SEO/HEO","SEO","15","15","38110","37760"
"In post","2023","Animal and Plant Health Agency","Greater Manchester North West","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwent Valleys","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","AA/AO","AO","30","25","22150","22150"
"In post","2023","Animal and Plant Health Agency","Gwynedd","EO","EO","15","15","26560","26090"
"In post","2023","Animal and Plant Health Agency","Gwynedd","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","SEO/HEO","SEO","10","10","38870","37710"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","EO","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","EO","EO","15","15","27650","27950"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","EO","EO","25","25","32190","32720"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","SEO/HEO","HEO","10","10","35530","36040"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","AA/AO","AO","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","EO","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","EO","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
