"Status","Year","Function_of_post","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Heterosexual / straight","45","45","45320","42000"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Heterosexual / straight","55","55","53820","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","Heterosexual / straight","70","65","49250","48980"
"In post","2023","Analysis","Department for Education","Economics","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","Heterosexual / straight","70","65","47720","46600"
"In post","2023","Analysis","Department for Education","Operational Research","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","Heterosexual / straight","100","95","47470","44910"
"In post","2023","Analysis","Department for Education","Social Research","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Statistics","Heterosexual / straight","210","200","43820","43250"
"In post","2023","Analysis","Department for Education","Statistics","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","Statistics","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","Statistics","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Heterosexual / straight","170","160","35930","30820"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","240","230","35660","30820"
"In post","2023","Analysis","Department for International Trade","Economics","Heterosexual / straight","85","80","50550","55370"
"In post","2023","Analysis","Department for International Trade","Economics","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Economics","Unknown","35","35","51250","55370"
"In post","2023","Analysis","Department for International Trade","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Heterosexual / straight","40","40","47750","47650"
"In post","2023","Analysis","Department for International Trade","Statistics","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","Heterosexual / straight","45","45","50250","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Heterosexual / straight","30","30","52520","54870"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Heterosexual / straight","130","125","47600","44180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","Heterosexual / straight","95","95","52410","55740"
"In post","2023","Analysis","Department for Transport","Economics","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","Unknown","50","45","46630","49880"
"In post","2023","Analysis","Department for Transport","Operational Research","Heterosexual / straight","55","50","37660","35400"
"In post","2023","Analysis","Department for Transport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","Heterosexual / straight","40","35","52610","55190"
"In post","2023","Analysis","Department for Transport","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","Heterosexual / straight","50","50","44630","43530"
"In post","2023","Analysis","Department for Transport","Statistics","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","Heterosexual / straight","40","35","49090","43760"
"In post","2023","Analysis","Department for Work and Pensions","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Other","Heterosexual / straight","35","35","40120","34170"
"In post","2023","Analysis","Department for Work and Pensions","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Other","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Policy","Heterosexual / straight","145","140","48200","41350"
"In post","2023","Analysis","Department for Work and Pensions","Policy","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Policy","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Policy","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Science and Engineering","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Social Research","Heterosexual / straight","35","30","48480","43760"
"In post","2023","Analysis","Department for Work and Pensions","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Social Research","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Social Research","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Statistics","Heterosexual / straight","170","155","46810","41510"
