"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","AA/AO","AA","Undeclared","250","230","21400","21380"
"In post","2023","Undeclared","AA/AO","AA","Unknown","40","35","22830","22520"
"In post","2023","Undeclared","AA/AO","AO","Heterosexual / straight","695","635","24470","22500"
"In post","2023","Undeclared","AA/AO","AO","LGBO","80","75","25790","22520"
"In post","2023","Undeclared","AA/AO","AO","Undeclared","2350","2140","24550","22500"
"In post","2023","Undeclared","AA/AO","AO","Unknown","760","635","23180","21690"
"In post","2023","Undeclared","EO","EO","Heterosexual / straight","935","865","29890","28130"
"In post","2023","Undeclared","EO","EO","LGBO","80","75","29990","28120"
"In post","2023","Undeclared","EO","EO","Undeclared","3125","2880","29230","28120"
"In post","2023","Undeclared","EO","EO","Unknown","1015","885","30180","28120"
"In post","2023","Undeclared","G6/G7","G6","Heterosexual / straight","110","105","70200","70000"
"In post","2023","Undeclared","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Undeclared","G6/G7","G6","Undeclared","570","545","71700","71200"
"In post","2023","Undeclared","G6/G7","G6","Unknown","165","160","73100","70520"
"In post","2023","Undeclared","G6/G7","G7","Heterosexual / straight","270","265","57130","56200"
"In post","2023","Undeclared","G6/G7","G7","LGBO","20","20","[c]","[c]"
"In post","2023","Undeclared","G6/G7","G7","Undeclared","1460","1420","57670","57010"
"In post","2023","Undeclared","G6/G7","G7","Unknown","490","475","56290","56060"
"In post","2023","Undeclared","SCS level","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Undeclared","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","SCS level","SCS level","Undeclared","125","120","91780","83870"
"In post","2023","Undeclared","SCS level","SCS level","Unknown","45","45","97930","90640"
"In post","2023","Undeclared","SEO/HEO","HEO","Heterosexual / straight","450","435","35620","35000"
"In post","2023","Undeclared","SEO/HEO","HEO","LGBO","50","50","35210","34660"
"In post","2023","Undeclared","SEO/HEO","HEO","Undeclared","2305","2200","35560","34850"
"In post","2023","Undeclared","SEO/HEO","HEO","Unknown","515","485","35990","35000"
"In post","2023","Undeclared","SEO/HEO","SEO","Heterosexual / straight","320","310","43210","42590"
"In post","2023","Undeclared","SEO/HEO","SEO","LGBO","25","25","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","SEO","Undeclared","1915","1845","43740","42620"
"In post","2023","Undeclared","SEO/HEO","SEO","Unknown","345","330","43080","42140"
"In post","2023","Undeclared","Unknown","Unknown","Heterosexual / straight","145","130","32580","30750"
"In post","2023","Undeclared","Unknown","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Undeclared","Unknown","Unknown","Undeclared","460","430","36260","34180"
"In post","2023","Undeclared","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","AA/AO","AA","Heterosexual / straight","150","135","22560","22520"
"In post","2023","Unknown","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2023","Unknown","AA/AO","AA","Undeclared","65","60","21940","22520"
"In post","2023","Unknown","AA/AO","AA","Unknown","3810","3510","22630","22520"
"In post","2023","Unknown","AA/AO","AO","Heterosexual / straight","900","810","25060","22520"
"In post","2023","Unknown","AA/AO","AO","LGBO","50","50","25970","23390"
"In post","2023","Unknown","AA/AO","AO","Undeclared","285","250","25650","23070"
"In post","2023","Unknown","AA/AO","AO","Unknown","20395","19085","24620","22520"
"In post","2023","Unknown","EO","EO","Heterosexual / straight","750","700","29300","28120"
"In post","2023","Unknown","EO","EO","LGBO","50","45","29760","28190"
"In post","2023","Unknown","EO","EO","Undeclared","365","350","29250","28770"
"In post","2023","Unknown","EO","EO","Unknown","17255","16505","28990","28120"
"In post","2023","Unknown","G6/G7","G6","Heterosexual / straight","125","125","72340","71300"
"In post","2023","Unknown","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Unknown","G6/G7","G6","Undeclared","195","185","68510","67890"
"In post","2023","Unknown","G6/G7","G6","Unknown","1955","1880","70870","69610"
"In post","2023","Unknown","G6/G7","G7","Heterosexual / straight","360","345","56970","55810"
"In post","2023","Unknown","G6/G7","G7","LGBO","25","25","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","Undeclared","465","450","54920","54690"
"In post","2023","Unknown","G6/G7","G7","Unknown","5530","5385","57050","56240"
"In post","2023","Unknown","SCS level","SCS level","Heterosexual / straight","45","40","92110","88140"
"In post","2023","Unknown","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","Undeclared","50","50","94820","86450"
"In post","2023","Unknown","SCS level","SCS level","Unknown","700","680","95230","85600"
"In post","2023","Unknown","SEO/HEO","HEO","Heterosexual / straight","535","505","35540","34730"
"In post","2023","Unknown","SEO/HEO","HEO","LGBO","40","35","35860","34710"
"In post","2023","Unknown","SEO/HEO","HEO","Undeclared","400","385","34680","34190"
"In post","2023","Unknown","SEO/HEO","HEO","Unknown","9990","9725","35510","34850"
"In post","2023","Unknown","SEO/HEO","SEO","Heterosexual / straight","445","425","43820","42510"
"In post","2023","Unknown","SEO/HEO","SEO","LGBO","35","35","42530","41230"
"In post","2023","Unknown","SEO/HEO","SEO","Undeclared","410","390","42210","41950"
"In post","2023","Unknown","SEO/HEO","SEO","Unknown","6330","6165","43010","42510"
"In post","2023","Unknown","Unknown","Unknown","Heterosexual / straight","155","140","32270","30060"
"In post","2023","Unknown","Unknown","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Undeclared","45","40","35400","33050"
"In post","2023","Unknown","Unknown","Unknown","Unknown","5035","4730","32980","29050"
"In post","2023","White","AA/AO","AA","Heterosexual / straight","10145","9205","21930","22010"
"In post","2023","White","AA/AO","AA","LGBO","675","640","22500","23230"
"In post","2023","White","AA/AO","AA","Undeclared","1010","855","21180","19930"
"In post","2023","White","AA/AO","AA","Unknown","1020","855","22870","22920"
"In post","2023","White","AA/AO","AO","Heterosexual / straight","60810","54860","24610","22520"
"In post","2023","White","AA/AO","AO","LGBO","4330","4150","24930","22520"
"In post","2023","White","AA/AO","AO","Undeclared","5420","4740","24110","22500"
"In post","2023","White","AA/AO","AO","Unknown","7415","6195","24460","22520"
"In post","2023","White","EO","EO","Heterosexual / straight","67565","62355","28880","28120"
"In post","2023","White","EO","EO","LGBO","4730","4585","28740","28120"
"In post","2023","White","EO","EO","Undeclared","5995","5420","28980","28120"
"In post","2023","White","EO","EO","Unknown","6995","6125","29220","28120"
"In post","2023","White","G6/G7","G6","Heterosexual / straight","13110","12610","70790","69940"
"In post","2023","White","G6/G7","G6","LGBO","850","830","70220","68700"
"In post","2023","White","G6/G7","G6","Undeclared","865","820","71990","70500"
"In post","2023","White","G6/G7","G6","Unknown","970","920","71470","70440"
"In post","2023","White","G6/G7","G7","Heterosexual / straight","32550","31370","56590","55780"
"In post","2023","White","G6/G7","G7","LGBO","2455","2410","56310","55370"
"In post","2023","White","G6/G7","G7","Undeclared","2130","2050","56890","56000"
"In post","2023","White","G6/G7","G7","Unknown","2360","2215","57200","56450"
"In post","2023","White","SCS level","SCS level","Heterosexual / straight","4750","4595","92030","83530"
"In post","2023","White","SCS level","SCS level","LGBO","365","360","88310","80730"
"In post","2023","White","SCS level","SCS level","Undeclared","275","260","91190","84160"
"In post","2023","White","SCS level","SCS level","Unknown","325","315","94730","85200"
"In post","2023","White","SEO/HEO","HEO","Heterosexual / straight","47520","45420","35010","34400"
"In post","2023","White","SEO/HEO","HEO","LGBO","3860","3790","34670","34400"
"In post","2023","White","SEO/HEO","HEO","Undeclared","3605","3430","35190","34650"
"In post","2023","White","SEO/HEO","HEO","Unknown","4205","4015","34710","34700"
"In post","2023","White","SEO/HEO","SEO","Heterosexual / straight","37645","36230","43060","42140"
"In post","2023","White","SEO/HEO","SEO","LGBO","2550","2505","42410","41780"
"In post","2023","White","SEO/HEO","SEO","Undeclared","2870","2735","43400","42500"
"In post","2023","White","SEO/HEO","SEO","Unknown","2315","2200","43460","42510"
"In post","2023","White","Unknown","Unknown","Heterosexual / straight","14555","13615","32320","29050"
"In post","2023","White","Unknown","Unknown","LGBO","1175","1145","30140","26840"
"In post","2023","White","Unknown","Unknown","Undeclared","800","735","34110","32210"
"In post","2023","White","Unknown","Unknown","Unknown","130","125","34170","32500"
"Leaver CS","2023","Asian","AA/AO","AA","Heterosexual / straight","80","[c]","20670","20750"
"Leaver CS","2023","Asian","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AA","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AO","Heterosexual / straight","540","[c]","22700","21780"
"Leaver CS","2023","Asian","AA/AO","AO","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AO","Undeclared","40","[c]","23590","23660"
"Leaver CS","2023","Asian","AA/AO","AO","Unknown","240","[c]","23330","22360"
"Leaver CS","2023","Asian","EO","EO","Heterosexual / straight","625","[c]","28800","28200"
"Leaver CS","2023","Asian","EO","EO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","EO","EO","Undeclared","40","[c]","28980","28890"
"Leaver CS","2023","Asian","EO","EO","Unknown","95","[c]","28840","28120"
"Leaver CS","2023","Asian","G6/G7","G6","Heterosexual / straight","55","[c]","68330","66860"
"Leaver CS","2023","Asian","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G6","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G6","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G7","Heterosexual / straight","160","[c]","56370","55180"
"Leaver CS","2023","Asian","G6/G7","G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G7","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G7","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Heterosexual / straight","280","[c]","34500","34030"
"Leaver CS","2023","Asian","SEO/HEO","HEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Heterosexual / straight","225","[c]","43180","41890"
"Leaver CS","2023","Asian","SEO/HEO","SEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Heterosexual / straight","65","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Heterosexual / straight","45","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AO","Heterosexual / straight","305","[c]","23320","23560"
"Leaver CS","2023","Black","AA/AO","AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AO","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AO","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","EO","Heterosexual / straight","515","[c]","29500","29660"
"Leaver CS","2023","Black","EO","EO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","EO","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","EO","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G7","Heterosexual / straight","90","[c]","55690","55020"
"Leaver CS","2023","Black","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G7","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G7","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","HEO","Heterosexual / straight","220","[c]","34820","34580"
"Leaver CS","2023","Black","SEO/HEO","HEO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","HEO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","HEO","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","SEO","Heterosexual / straight","170","[c]","42440","41660"
"Leaver CS","2023","Black","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","SEO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","SEO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Heterosexual / straight","140","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AO","Heterosexual / straight","210","[c]","22560","21780"
"Leaver CS","2023","Mixed","AA/AO","AO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AO","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","EO","EO","Heterosexual / straight","175","[c]","28500","28120"
"Leaver CS","2023","Mixed","EO","EO","LGBO","25","[c]","[c]","[c]"
