"Status","Year","Age","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","30-39","London","Female","Undeclared","950","920","48820","52020"
"In post","2023","30-39","London","Female","Unknown","2560","2465","46490","43210"
"In post","2023","30-39","London","Male","Heterosexual / straight","7300","7250","48530","45700"
"In post","2023","30-39","London","Male","LGBO","920","915","50810","53450"
"In post","2023","30-39","London","Male","Undeclared","960","950","48710","46470"
"In post","2023","30-39","London","Male","Unknown","2405","2385","46380","43000"
"In post","2023","30-39","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","Female","Heterosexual / straight","33175","30335","33450","30810"
"In post","2023","30-39","Outside London","Female","LGBO","3080","2975","33340","31270"
"In post","2023","30-39","Outside London","Female","Undeclared","2435","2240","33620","31180"
"In post","2023","30-39","Outside London","Female","Unknown","9530","8625","30850","28120"
"In post","2023","30-39","Outside London","Male","Heterosexual / straight","26835","26585","34810","32160"
"In post","2023","30-39","Outside London","Male","LGBO","2590","2565","34430","31400"
"In post","2023","30-39","Outside London","Male","Undeclared","2595","2560","35130","33000"
"In post","2023","30-39","Outside London","Male","Unknown","9290","9170","32820","29060"
"In post","2023","30-39","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Overseas","Female","Heterosexual / straight","255","255","49100","51500"
"In post","2023","30-39","Overseas","Female","LGBO","30","30","[c]","[c]"
"In post","2023","30-39","Overseas","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","30-39","Overseas","Female","Unknown","165","165","51920","53050"
"In post","2023","30-39","Overseas","Male","Heterosexual / straight","350","350","50140","51400"
"In post","2023","30-39","Overseas","Male","LGBO","50","50","49720","53560"
"In post","2023","30-39","Overseas","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","30-39","Overseas","Male","Unknown","145","145","49270","51810"
"In post","2023","30-39","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Female","Heterosexual / straight","50","45","34620","28500"
"In post","2023","30-39","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","30-39","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","30-39","Unknown","Female","Unknown","65","65","40370","41300"
"In post","2023","30-39","Unknown","Male","Heterosexual / straight","65","65","32060","28120"
"In post","2023","30-39","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2023","30-39","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","30-39","Unknown","Male","Unknown","360","360","41270","40690"
"In post","2023","30-39","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","London","Female","Heterosexual / straight","8825","8140","49980","44720"
"In post","2023","40-49","London","Female","LGBO","385","370","54080","53500"
"In post","2023","40-49","London","Female","Undeclared","965","890","48830","43270"
"In post","2023","40-49","London","Female","Unknown","2210","2015","47350","41550"
"In post","2023","40-49","London","Male","Heterosexual / straight","6830","6760","52070","46470"
"In post","2023","40-49","London","Male","LGBO","630","625","56270","55720"
"In post","2023","40-49","London","Male","Undeclared","875","865","51990","48260"
"In post","2023","40-49","London","Male","Unknown","1740","1720","50260","44420"
"In post","2023","40-49","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Outside London","Female","Heterosexual / straight","38360","34715","35570","31280"
"In post","2023","40-49","Outside London","Female","LGBO","1780","1695","35910","32110"
"In post","2023","40-49","Outside London","Female","Undeclared","3770","3380","34390","30320"
"In post","2023","40-49","Outside London","Female","Unknown","9405","8270","32460","28120"
"In post","2023","40-49","Outside London","Male","Heterosexual / straight","28110","27755","38080","34170"
"In post","2023","40-49","Outside London","Male","LGBO","1675","1645","37060","32310"
"In post","2023","40-49","Outside London","Male","Undeclared","3670","3605","36830","33990"
"In post","2023","40-49","Outside London","Male","Unknown","7540","7395","35380","31510"
"In post","2023","40-49","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Overseas","Female","Heterosexual / straight","290","285","56940","57720"
"In post","2023","40-49","Overseas","Female","LGBO","5","5","[c]","[c]"
"In post","2023","40-49","Overseas","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","Overseas","Female","Unknown","130","130","61570","60800"
"In post","2023","40-49","Overseas","Male","Heterosexual / straight","400","400","56410","56100"
"In post","2023","40-49","Overseas","Male","LGBO","35","35","60390","58590"
"In post","2023","40-49","Overseas","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","40-49","Overseas","Male","Unknown","160","160","56450","56710"
"In post","2023","40-49","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Female","Heterosexual / straight","95","90","38050","32520"
"In post","2023","40-49","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Female","Unknown","65","65","40390","38510"
"In post","2023","40-49","Unknown","Male","Heterosexual / straight","70","70","40780","32380"
"In post","2023","40-49","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Male","Unknown","295","295","45930","41890"
"In post","2023","40-49","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","London","Female","Heterosexual / straight","8905","8455","45210","39150"
"In post","2023","50-59","London","Female","LGBO","270","255","51380","44310"
"In post","2023","50-59","London","Female","Undeclared","1360","1280","42490","36180"
"In post","2023","50-59","London","Female","Unknown","2135","1985","43020","34630"
"In post","2023","50-59","London","Male","Heterosexual / straight","7450","7360","49900","43760"
"In post","2023","50-59","London","Male","LGBO","520","515","51380","45960"
"In post","2023","50-59","London","Male","Undeclared","1260","1240","49160","44350"
"In post","2023","50-59","London","Male","Unknown","1915","1880","47510","40000"
"In post","2023","50-59","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Outside London","Female","Heterosexual / straight","46150","42155","33750","28120"
"In post","2023","50-59","Outside London","Female","LGBO","1275","1205","34360","29730"
"In post","2023","50-59","Outside London","Female","Undeclared","6125","5510","32590","28120"
"In post","2023","50-59","Outside London","Female","Unknown","10410","9175","31190","28120"
"In post","2023","50-59","Outside London","Male","Heterosexual / straight","35715","34825","37940","34150"
"In post","2023","50-59","Outside London","Male","LGBO","1605","1545","35610","31270"
"In post","2023","50-59","Outside London","Male","Undeclared","5680","5500","36480","32920"
"In post","2023","50-59","Outside London","Male","Unknown","9210","8830","35620","31660"
"In post","2023","50-59","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Overseas","Female","Heterosexual / straight","210","205","58150","55070"
"In post","2023","50-59","Overseas","Female","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Overseas","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Overseas","Female","Unknown","105","105","59920","59340"
"In post","2023","50-59","Overseas","Male","Heterosexual / straight","395","395","54910","50340"
"In post","2023","50-59","Overseas","Male","LGBO","20","20","[c]","[c]"
"In post","2023","50-59","Overseas","Male","Undeclared","30","30","[c]","[c]"
"In post","2023","50-59","Overseas","Male","Unknown","115","115","58640","58220"
"In post","2023","50-59","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Unknown","Female","Heterosexual / straight","95","90","34210","32490"
"In post","2023","50-59","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Unknown","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","50-59","Unknown","Female","Unknown","35","35","36570","34130"
"In post","2023","50-59","Unknown","Male","Heterosexual / straight","100","95","42870","40920"
"In post","2023","50-59","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Unknown","Male","Undeclared","25","20","[c]","[c]"
"In post","2023","50-59","Unknown","Male","Unknown","450","445","47100","43120"
"In post","2023","50-59","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","London","Female","Heterosexual / straight","2425","2130","39370","32520"
"In post","2023","60-64","London","Female","LGBO","60","50","43060","32710"
"In post","2023","60-64","London","Female","Undeclared","440","380","37400","32520"
"In post","2023","60-64","London","Female","Unknown","580","500","38760","32520"
"In post","2023","60-64","London","Male","Heterosexual / straight","2165","1975","46410","39790"
"In post","2023","60-64","London","Male","LGBO","125","120","47810","41890"
"In post","2023","60-64","London","Male","Undeclared","365","320","46050","39230"
"In post","2023","60-64","London","Male","Unknown","535","485","44900","37170"
"In post","2023","60-64","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","60-64","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Outside London","Female","Heterosexual / straight","13595","10795","29950","28120"
"In post","2023","60-64","Outside London","Female","LGBO","270","220","30950","28120"
"In post","2023","60-64","Outside London","Female","Undeclared","2115","1640","29630","27470"
"In post","2023","60-64","Outside London","Female","Unknown","3220","2470","28590","25620"
"In post","2023","60-64","Outside London","Male","Heterosexual / straight","11445","9865","34660","30320"
"In post","2023","60-64","Outside London","Male","LGBO","380","325","32910","28120"
"In post","2023","60-64","Outside London","Male","Undeclared","1865","1550","34250","30060"
"In post","2023","60-64","Outside London","Male","Unknown","3020","2495","33730","29560"
"In post","2023","60-64","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Overseas","Female","Heterosexual / straight","30","30","68360","66340"
"In post","2023","60-64","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Overseas","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","60-64","Overseas","Female","Unknown","5","5","[c]","[c]"
"In post","2023","60-64","Overseas","Male","Heterosexual / straight","85","85","60100","55070"
"In post","2023","60-64","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Overseas","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","60-64","Overseas","Male","Unknown","15","15","[c]","[c]"
"In post","2023","60-64","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","60-64","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Male","Heterosexual / straight","35","30","38960","39270"
"In post","2023","60-64","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Male","Unknown","145","145","45680","41200"
"In post","2023","60-64","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","London","Female","Heterosexual / straight","890","725","35080","30200"
"In post","2023","65+","London","Female","LGBO","25","20","[c]","[c]"
"In post","2023","65+","London","Female","Undeclared","185","140","34330","30200"
"In post","2023","65+","London","Female","Unknown","260","210","37670","32520"
"In post","2023","65+","London","Male","Heterosexual / straight","900","765","42220","34630"
"In post","2023","65+","London","Male","LGBO","35","30","39720","34530"
"In post","2023","65+","London","Male","Undeclared","180","150","44190","37890"
"In post","2023","65+","London","Male","Unknown","255","205","41330","34390"
"In post","2023","65+","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Outside London","Female","Heterosexual / straight","3580","2625","27800","25620"
"In post","2023","65+","Outside London","Female","LGBO","60","45","29830","28120"
"In post","2023","65+","Outside London","Female","Undeclared","645","450","28320","25980"
"In post","2023","65+","Outside London","Female","Unknown","980","685","27680","25060"
"In post","2023","65+","Outside London","Male","Heterosexual / straight","3945","3130","33290","28120"
"In post","2023","65+","Outside London","Male","LGBO","100","80","29240","28120"
"In post","2023","65+","Outside London","Male","Undeclared","640","500","33760","28460"
"In post","2023","65+","Outside London","Male","Unknown","1100","810","32880","28130"
"In post","2023","65+","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","65+","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Male","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Male","Unknown","30","25","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","London","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Unknown","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Female","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Female","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Male","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Female","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Female","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Male","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Male","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","London","Female","Heterosexual / straight","1080","[c]","33250","31890"
"Leaver CS","2023","20-29","London","Female","LGBO","170","[c]","33980","32520"
"Leaver CS","2023","20-29","London","Female","Undeclared","150","[c]","32650","31060"
"Leaver CS","2023","20-29","London","Female","Unknown","600","[c]","31840","29660"
"Leaver CS","2023","20-29","London","Male","Heterosexual / straight","710","[c]","34420","32520"
"Leaver CS","2023","20-29","London","Male","LGBO","120","[c]","37900","35280"
"Leaver CS","2023","20-29","London","Male","Undeclared","105","[c]","35190","33570"
"Leaver CS","2023","20-29","London","Male","Unknown","490","[c]","32720","30410"
"Leaver CS","2023","20-29","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outside London","Female","Heterosexual / straight","2130","[c]","25980","24390"
"Leaver CS","2023","20-29","Outside London","Female","LGBO","430","[c]","25830","24100"
"Leaver CS","2023","20-29","Outside London","Female","Undeclared","170","[c]","26090","23390"
"Leaver CS","2023","20-29","Outside London","Female","Unknown","1510","[c]","24950","22400"
