"Status","Year","Ethnicity","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Other ethnicity","UK Health Security Agency","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Health Security Agency","Department of Health and Social Care","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Health Security Agency","Department of Health and Social Care","West Midlands (England)","10","5","[c]","[c]"
"In post","2023","Other ethnicity","UK Health Security Agency","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Hydrographic Office","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Hydrographic Office","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Space Agency","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Space Agency","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Statistics Authority","UK Statistics Authority","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Valuation Office Agency","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Vehicle Certification Agency","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Vehicle Certification Agency","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Vehicle Certification Agency","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Vehicle Certification Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Water Services Regulation Authority","Water Services Regulation Authority","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Water Services Regulation Authority","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Water Services Regulation Authority","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","Wales","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Government (excl. agencies)","Welsh Government","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Revenue Authority","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Revenue Authority","Welsh Government","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Revenue Authority","Welsh Government","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Welsh Revenue Authority","Welsh Government","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Wilton Park","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Accountant in Bankruptcy","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Active Travel England","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Active Travel England","Department for Transport","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","5","5","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","5","5","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","10","10","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","35","30","35320","33830"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","40","40","29310","25920"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","15","15","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","20","15","[c]","[c]"
"In post","2023","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2023","Undeclared","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Building Digital UK","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Building Digital UK","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","London","125","125","53130","56430"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","5","5","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","10","5","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","30","30","38510","34320"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","London","20","20","[c]","[c]"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Central Civil Service Fast Stream","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","15","15","[c]","[c]"
"In post","2023","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Charity Commission","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","Wales","55","50","35700","35570"
"In post","2023","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Competition and Markets Authority","Competition and Markets Authority","London","25","25","[c]","[c]"
"In post","2023","Undeclared","Competition and Markets Authority","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Competition and Markets Authority","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","Scotland","10","10","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","East of England","5","5","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","North West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Crown Commercial Service","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","Scotland","55","55","49100","49860"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","East of England","10","5","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","London","55","55","44690","42430"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","North East (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","North West (England)","15","10","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","South East (England)","20","20","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","South West (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","West Midlands (England)","15","15","[c]","[c]"
"In post","2023","Undeclared","Crown Prosecution Service","Attorney General's Departments","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","Wales","20","20","[c]","[c]"
"In post","2023","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","East of England","10","10","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","North West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","Scotland","25","25","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","South East (England)","25","20","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","South West (England)","445","430","43090","42620"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Defence Equipment and Support","Ministry of Defence","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","South East (England)","135","130","48690","49260"
"In post","2023","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","South West (England)","210","200","45040","49260"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","225","220","53770","55120"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North East (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Scotland","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","40","40","49000","52760"
"In post","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","London","70","70","51060","55020"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","North East (England)","25","25","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","North West (England)","35","35","42850","37880"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","South West (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","West Midlands (England)","35","35","43230","37590"
"In post","2023","Undeclared","Department for Education (excl. agencies)","Department for Education","Yorkshire and The Humber","65","65","42780","38070"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East of England","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","60","60","44110","40260"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North East (England)","15","15","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North West (England)","25","25","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South East (England)","20","20","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South West (England)","45","45","41310","37980"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","25","25","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","London","65","65","51210","55370"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for International Trade","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","55","55","49110","54630"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","Department for Transport","London","140","135","51580","55190"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","Department for Transport","South East (England)","15","15","[c]","[c]"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","Department for Transport","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","Department for Transport","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East Midlands (England)","195","170","26870","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East of England","205","180","29200","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","620","555","33670","32520"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North East (England)","340","310","30730","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North West (England)","705","630","29540","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Scotland","315","275","25620","26650"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South East (England)","295","255","28270","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South West (England)","225","195","27000","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Wales","195","170","26650","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Midlands (England)","355","305","26490","28120"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Yorkshire and The Humber","405","360","31070","28120"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Undeclared","Disclosure Scotland","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","Wales","205","190","31020","26960"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","East Midlands (England)","45","45","31800","28590"
"In post","2023","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","East of England","45","45","29800","29520"
"In post","2023","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","London","45","40","34980","31450"
