"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","Heterosexual / straight","55","50","26000","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","EO","Unknown","80","70","25990","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Heterosexual / straight","60","55","52880","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Unknown","65","65","52830","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Heterosexual / straight","145","140","33790","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Unknown","165","160","33970","31270"
"In post","2023","Charity Commission","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2023","Charity Commission","EO","Heterosexual / straight","55","50","25670","25300"
"In post","2023","Charity Commission","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","EO","Unknown","55","50","25760","25300"
"In post","2023","Charity Commission","G6/G7","Heterosexual / straight","45","45","56050","52240"
"In post","2023","Charity Commission","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","G6/G7","Unknown","30","25","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","Heterosexual / straight","165","160","34000","30170"
"In post","2023","Charity Commission","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Charity Commission","SEO/HEO","Unknown","85","80","33880","31190"
"In post","2023","Companies House","AA/AO","Heterosexual / straight","285","255","22630","23240"
"In post","2023","Companies House","AA/AO","LGBO","20","15","[c]","[c]"
"In post","2023","Companies House","AA/AO","Undeclared","35","30","22770","23240"
"In post","2023","Companies House","AA/AO","Unknown","100","85","22620","23240"
"In post","2023","Companies House","EO","Heterosexual / straight","215","205","27780","26060"
"In post","2023","Companies House","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Companies House","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Companies House","EO","Unknown","45","40","29810","28070"
