"Status","Year","Ethnicity","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Government Legal Department","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Economics","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","10","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","45","45","49080","45950"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury (excl. agencies)","Economics","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Other","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Policy","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Statistics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence (excl. agencies)","Statistics","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Other","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Social Research","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Statistics","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Infrastructure Commission","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Budget Responsibility","Economics","5","5","[c]","[c]"
