"Status","Year","Age","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Female","40","40","23170","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Male","35","35","23080","21690"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Female","45","45","20800","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Male","30","25","20530","19000"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Female","10","10","[c]","[c]"
"In post","2023","16-19","FCDO Services","Male","25","25","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Male","5","5","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Female","15","15","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Male","10","10","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Female","175","170","25430","23640"
"In post","2023","16-19","HM Prison and Probation Service","Male","130","125","26800","28880"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Female","90","85","23010","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Male","90","85","23500","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Female","75","70","23820","22400"
"In post","2023","16-19","Home Office","Male","60","60","24130","22400"
"In post","2023","16-19","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Male","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Female","10","10","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Male","20","20","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Female","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Male","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Female","10","10","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Male","10","10","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Male","15","15","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Female","15","15","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Male","15","15","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Male","15","15","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Female","10","10","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Male","10","10","[c]","[c]"
"In post","2023","20-29","Active Travel England","Female","5","5","[c]","[c]"
"In post","2023","20-29","Active Travel England","Male","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Female","40","40","28350","25160"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Male","25","25","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Female","365","360","27190","25920"
"In post","2023","20-29","Animal and Plant Health Agency","Male","200","200","26740","25340"
"In post","2023","20-29","Attorney General's Office","Female","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Male","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Female","35","35","39720","35040"
"In post","2023","20-29","Building Digital UK","Male","35","35","38100","35880"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Female","680","675","37630","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Male","565","565","38750","35650"
"In post","2023","20-29","Central Civil Service Fast Stream","Female","900","900","30650","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Male","565","565","30640","30130"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Female","60","60","27230","25970"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Male","50","50","27590","25970"
"In post","2023","20-29","Charity Commission","Female","50","50","28600","27960"
"In post","2023","20-29","Charity Commission","Male","25","25","[c]","[c]"
"In post","2023","20-29","Companies House","Female","80","80","28560","25610"
"In post","2023","20-29","Companies House","Male","75","75","27640","25610"
"In post","2023","20-29","Competition and Markets Authority","Female","90","90","37890","34110"
"In post","2023","20-29","Competition and Markets Authority","Male","85","80","39230","34110"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Female","30","30","24310","21780"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Male","20","20","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Female","65","60","31810","31640"
"In post","2023","20-29","Crown Commercial Service","Male","55","55","32400","32110"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Female","405","400","31690","28700"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Male","160","160","31920","28700"
"In post","2023","20-29","Crown Prosecution Service","Female","900","890","28750","26900"
"In post","2023","20-29","Crown Prosecution Service","Male","345","345","28230","26900"
"In post","2023","20-29","Defence Electronics and Components Agency","Female","5","5","[c]","[c]"
"In post","2023","20-29","Defence Electronics and Components Agency","Male","45","45","22340","22210"
"In post","2023","20-29","Defence Equipment and Support","Female","690","680","29530","31880"
"In post","2023","20-29","Defence Equipment and Support","Male","1125","1125","29520","28850"
"In post","2023","20-29","Defence Science and Technology Laboratory","Female","405","400","31330","30650"
"In post","2023","20-29","Defence Science and Technology Laboratory","Male","765","765","31510","30650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","1055","1050","42440","41060"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","990","990","43420","41060"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Female","330","330","40070","35620"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Male","265","265","40990","37190"
"In post","2023","20-29","Department for Education (excl. agencies)","Female","900","890","37920","37590"
"In post","2023","20-29","Department for Education (excl. agencies)","Male","490","490","37490","37590"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","735","725","36710","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","550","550","36590","33830"
"In post","2023","20-29","Department for International Trade","Female","610","605","40900","41550"
"In post","2023","20-29","Department for International Trade","Male","545","545","40950","38820"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","445","445","40320","37540"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","405","400","40910","37540"
"In post","2023","20-29","Department for Transport (excl. agencies)","Female","485","485","40800","38210"
"In post","2023","20-29","Department for Transport (excl. agencies)","Male","490","485","42240","39820"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Female","4905","4745","28200","28120"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Male","3750","3725","27980","28120"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","Female","670","665","40300","38120"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","Male","345","345","40000","38120"
"In post","2023","20-29","Disclosure Scotland","Female","35","35","28080","24110"
"In post","2023","20-29","Disclosure Scotland","Male","35","30","25950","23340"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","Female","425","390","22650","22500"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","Male","345","340","24550","22500"
"In post","2023","20-29","Driver and Vehicle Standards Agency","Female","130","125","26880","26870"
"In post","2023","20-29","Driver and Vehicle Standards Agency","Male","170","170","28000","26960"
"In post","2023","20-29","Education Scotland","Female","10","10","[c]","[c]"
"In post","2023","20-29","Education Scotland","Male","5","5","[c]","[c]"
"In post","2023","20-29","Education and Skills Funding Agency","Female","55","55","33420","30330"
"In post","2023","20-29","Education and Skills Funding Agency","Male","55","55","34780","37590"
"In post","2023","20-29","Estyn","Female","5","5","[c]","[c]"
"In post","2023","20-29","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","FCDO Services","Female","55","55","29800","28540"
"In post","2023","20-29","FCDO Services","Male","105","105","30980","29400"
"In post","2023","20-29","Food Standards Agency","Female","105","105","34950","33000"
"In post","2023","20-29","Food Standards Agency","Male","55","55","34150","33000"
"In post","2023","20-29","Food Standards Scotland","Female","25","25","[c]","[c]"
"In post","2023","20-29","Food Standards Scotland","Male","15","15","[c]","[c]"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Female","800","800","38200","36620"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Male","610","610","37690","36550"
"In post","2023","20-29","Forestry and Land Scotland","Female","55","55","28570","28140"
"In post","2023","20-29","Forestry and Land Scotland","Male","75","75","28110","28140"
"In post","2023","20-29","Government Actuary's Department","Female","20","20","[c]","[c]"
"In post","2023","20-29","Government Actuary's Department","Male","35","35","40920","37690"
"In post","2023","20-29","Government Commercial Organisation","Female","55","55","61020","56200"
"In post","2023","20-29","Government Commercial Organisation","Male","35","35","62710","65500"
"In post","2023","20-29","Government Internal Audit Agency","Female","20","20","[c]","[c]"
"In post","2023","20-29","Government Internal Audit Agency","Male","15","15","[c]","[c]"
"In post","2023","20-29","Government Legal Department","Female","255","250","37130","32080"
"In post","2023","20-29","Government Legal Department","Male","135","130","37980","34460"
"In post","2023","20-29","Government Property Agency","Female","35","35","36620","33480"
"In post","2023","20-29","Government Property Agency","Male","25","25","[c]","[c]"
"In post","2023","20-29","HM Courts and Tribunals Service","Female","1410","1355","25670","21780"
"In post","2023","20-29","HM Courts and Tribunals Service","Male","675","670","25980","23000"
"In post","2023","20-29","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","Female","610","590","27650","28080"
"In post","2023","20-29","HM Land Registry","Male","425","420","28190","28080"
"In post","2023","20-29","HM Prison and Probation Service","Female","8795","8600","28010","28480"
"In post","2023","20-29","HM Prison and Probation Service","Male","4805","4780","29480","29720"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","Female","5305","5165","30070","27890"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","Male","5465","5415","30300","27890"
"In post","2023","20-29","HM Treasury (excl. agencies)","Female","415","415","38890","33820"
"In post","2023","20-29","HM Treasury (excl. agencies)","Male","435","435","38950","33820"
"In post","2023","20-29","Health and Safety Executive","Female","205","200","30140","27320"
"In post","2023","20-29","Health and Safety Executive","Male","150","150","30160","27970"
"In post","2023","20-29","Home Office","Female","4210","4140","29520","25880"
"In post","2023","20-29","Home Office","Male","3575","3540","29120","25880"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","Female","30","30","[c]","[c]"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","Male","15","15","[c]","[c]"
"In post","2023","20-29","Intellectual Property Office","Female","125","120","30210","27920"
"In post","2023","20-29","Intellectual Property Office","Male","140","140","33040","31330"
"In post","2023","20-29","Legal Aid Agency","Female","90","85","24260","21780"
"In post","2023","20-29","Legal Aid Agency","Male","40","40","23510","21780"
"In post","2023","20-29","Maritime and Coastguard Agency","Female","65","65","28720","26960"
"In post","2023","20-29","Maritime and Coastguard Agency","Male","100","100","27690","26780"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Female","130","130","35550","33500"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Male","65","65","34060","33500"
"In post","2023","20-29","Met Office","Female","185","185","28190","30930"
"In post","2023","20-29","Met Office","Male","190","190","27590","26650"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Female","1825","1805","32300","30950"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Male","2010","2005","32320","30140"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Female","925","920","37220","35410"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Male","495","490","38510","35410"
"In post","2023","20-29","National Crime Agency","Female","480","480","36290","36040"
"In post","2023","20-29","National Crime Agency","Male","280","280","36410","36040"
"In post","2023","20-29","National Infrastructure Commission","Female","10","10","[c]","[c]"
"In post","2023","20-29","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","National Records of Scotland","Female","25","25","[c]","[c]"
"In post","2023","20-29","National Records of Scotland","Male","35","35","30360","29100"
"In post","2023","20-29","National Savings and Investments","Female","5","5","[c]","[c]"
"In post","2023","20-29","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","Female","20","20","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","Male","20","20","[c]","[c]"
"In post","2023","20-29","Office for Budget Responsibility","Female","5","5","[c]","[c]"
"In post","2023","20-29","Office for Budget Responsibility","Male","15","15","[c]","[c]"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Female","120","120","30520","27140"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Male","55","55","30220","30340"
"In post","2023","20-29","Office of Gas and Electricity Markets","Female","180","180","33050","31090"
"In post","2023","20-29","Office of Gas and Electricity Markets","Male","195","195","31380","28340"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Female","40","40","31730","31310"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","20-29","Office of Rail and Road","Male","20","20","[c]","[c]"
"In post","2023","20-29","Office of the Public Guardian","Female","225","215","23380","21780"
"In post","2023","20-29","Office of the Public Guardian","Male","185","175","22670","21780"
"In post","2023","20-29","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","20","20","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","10","10","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","Female","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","Male","10","10","[c]","[c]"
"In post","2023","20-29","Planning Inspectorate","Female","40","40","27480","21960"
"In post","2023","20-29","Planning Inspectorate","Male","35","35","28720","26590"
"In post","2023","20-29","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Queen Elizabeth II Centre","Male","10","10","[c]","[c]"
"In post","2023","20-29","Registers of Scotland","Female","85","85","30300","30260"
"In post","2023","20-29","Registers of Scotland","Male","70","70","30350","30260"
"In post","2023","20-29","Revenue Scotland","Female","5","5","[c]","[c]"
"In post","2023","20-29","Revenue Scotland","Male","5","5","[c]","[c]"
"In post","2023","20-29","Royal Fleet Auxiliary","Female","60","60","33010","34180"
"In post","2023","20-29","Royal Fleet Auxiliary","Male","315","315","32190","32610"
"In post","2023","20-29","Rural Payments Agency","Female","235","230","24060","22150"
"In post","2023","20-29","Rural Payments Agency","Male","195","190","23620","22150"
"In post","2023","20-29","Scottish Courts and Tribunals Service","Female","210","200","26360","25060"
"In post","2023","20-29","Scottish Courts and Tribunals Service","Male","90","90","27240","25060"
"In post","2023","20-29","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Fiscal Commission","Male","5","5","[c]","[c]"
"In post","2023","20-29","Scottish Forestry","Female","10","10","[c]","[c]"
"In post","2023","20-29","Scottish Forestry","Male","5","5","[c]","[c]"
"In post","2023","20-29","Scottish Government (excl. agencies)","Female","950","940","34210","33520"
"In post","2023","20-29","Scottish Government (excl. agencies)","Male","590","585","34530","33520"
"In post","2023","20-29","Scottish Prison Service","Female","370","360","28700","26930"
"In post","2023","20-29","Scottish Prison Service","Male","290","290","28460","26930"
"In post","2023","20-29","Scottish Public Pensions Agency","Female","25","25","[c]","[c]"
"In post","2023","20-29","Scottish Public Pensions Agency","Male","30","30","[c]","[c]"
"In post","2023","20-29","Serious Fraud Office","Female","40","40","34290","34500"
"In post","2023","20-29","Serious Fraud Office","Male","35","35","33920","34500"
"In post","2023","20-29","Social Security Scotland","Female","485","470","27870","29100"
"In post","2023","20-29","Social Security Scotland","Male","345","340","27180","24890"
"In post","2023","20-29","Standards and Testing Agency","Female","15","15","[c]","[c]"
"In post","2023","20-29","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Student Awards Agency for Scotland","Female","45","45","25520","24890"
"In post","2023","20-29","Student Awards Agency for Scotland","Male","30","30","26150","24890"
"In post","2023","20-29","Submarine Delivery Agency","Female","150","150","30470","31920"
"In post","2023","20-29","Submarine Delivery Agency","Male","330","330","30510","30720"
"In post","2023","20-29","Teaching Regulation Agency","Female","20","20","[c]","[c]"
"In post","2023","20-29","Teaching Regulation Agency","Male","5","5","[c]","[c]"
"In post","2023","20-29","The Insolvency Service","Female","95","95","26670","22200"
"In post","2023","20-29","The Insolvency Service","Male","55","55","28520","26520"
"In post","2023","20-29","The National Archives","Female","60","60","28800","27290"
"In post","2023","20-29","The National Archives","Male","30","30","[c]","[c]"
"In post","2023","20-29","Transport Scotland","Female","45","45","34260","33520"
"In post","2023","20-29","Transport Scotland","Male","25","25","[c]","[c]"
"In post","2023","20-29","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","UK Debt Management Office","Male","15","15","[c]","[c]"
"In post","2023","20-29","UK Export Finance","Female","70","70","40200","37150"
"In post","2023","20-29","UK Export Finance","Male","55","55","40650","37150"
"In post","2023","20-29","UK Health Security Agency","Female","635","620","32130","29970"
"In post","2023","20-29","UK Health Security Agency","Male","365","355","32730","29590"
"In post","2023","20-29","UK Hydrographic Office","Female","60","60","28720","27610"
"In post","2023","20-29","UK Hydrographic Office","Male","95","95","29500","27610"
"In post","2023","20-29","UK Space Agency","Female","35","35","40160","41060"
"In post","2023","20-29","UK Space Agency","Male","25","25","[c]","[c]"
"In post","2023","20-29","UK Statistics Authority","Female","700","680","32910","31560"
"In post","2023","20-29","UK Statistics Authority","Male","580","565","32280","31560"
"In post","2023","20-29","UK Statistics Authority","Unknown","5","5","[c]","[c]"
