"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","Male","10","5","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G6","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","HEO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","International Trade","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Legal","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","EO","Female","130","115","27050","26780"
"In post","2023","Analysis","Operational Delivery","EO","Male","80","80","26530","25920"
"In post","2023","Analysis","Operational Delivery","G6","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G6","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","G7","Female","35","35","53480","51460"
"In post","2023","Analysis","Operational Delivery","G7","Male","35","35","53230","51460"
"In post","2023","Analysis","Operational Delivery","HEO","Female","125","115","32730","31660"
"In post","2023","Analysis","Operational Delivery","HEO","Male","130","125","32230","31270"
"In post","2023","Analysis","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO","Female","80","80","38870","37760"
"In post","2023","Analysis","Operational Delivery","SEO","Male","105","105","38920","37760"
"In post","2023","Analysis","Operational Research","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Male","20","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Operational Research","G6","Male","30","30","70630","70550"
"In post","2023","Analysis","Operational Research","G7","Female","95","85","56640","56870"
"In post","2023","Analysis","Operational Research","G7","Male","175","170","55230","55680"
"In post","2023","Analysis","Operational Research","HEO","Female","105","100","34420","34700"
"In post","2023","Analysis","Operational Research","HEO","Male","115","110","33910","34190"
"In post","2023","Analysis","Operational Research","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","SEO","Female","90","80","42380","42350"
"In post","2023","Analysis","Operational Research","SEO","Male","115","110","43250","43250"
"In post","2023","Analysis","Other","AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Other","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","EO","Female","50","45","28780","29660"
"In post","2023","Analysis","Other","EO","Male","40","40","29550","30090"
"In post","2023","Analysis","Other","G6","Female","50","45","85510","80480"
"In post","2023","Analysis","Other","G6","Male","70","70","91600","84650"
"In post","2023","Analysis","Other","G7","Female","40","35","55350","55720"
"In post","2023","Analysis","Other","G7","Male","55","50","56730","57120"
"In post","2023","Analysis","Other","HEO","Female","65","65","34740","34170"
"In post","2023","Analysis","Other","HEO","Male","85","80","35030","35410"
"In post","2023","Analysis","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Other","SEO","Female","60","60","42640","43140"
"In post","2023","Analysis","Other","SEO","Male","60","60","43180","43180"
"In post","2023","Analysis","Planning","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","G6","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Policy","G6","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","G7","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Policy","G7","Male","40","40","57610","58370"
"In post","2023","Analysis","Policy","HEO","Female","40","40","36940","37380"
"In post","2023","Analysis","Policy","HEO","Male","40","40","37620","37380"
"In post","2023","Analysis","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","Male","30","30","23180","23340"
"In post","2023","Analysis","Science and Engineering","EO","Female","55","50","25950","25920"
"In post","2023","Analysis","Science and Engineering","EO","Male","55","55","26080","25970"
"In post","2023","Analysis","Science and Engineering","G6","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","G6","Male","50","50","70270","70550"
"In post","2023","Analysis","Science and Engineering","G7","Female","115","105","52240","49260"
"In post","2023","Analysis","Science and Engineering","G7","Male","360","345","52950","49400"
"In post","2023","Analysis","Science and Engineering","HEO","Female","130","125","30230","30350"
"In post","2023","Analysis","Science and Engineering","HEO","Male","155","155","30120","30650"
"In post","2023","Analysis","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","SEO","Female","120","115","38860","39370"
"In post","2023","Analysis","Science and Engineering","SEO","Male","225","225","39440","39890"
"In post","2023","Analysis","Social Research","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","EO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","G6","Female","45","45","68850","68000"
"In post","2023","Analysis","Social Research","G6","Male","35","35","70000","70220"
"In post","2023","Analysis","Social Research","G7","Female","250","235","56630","55720"
"In post","2023","Analysis","Social Research","G7","Male","115","110","56610","55740"
"In post","2023","Analysis","Social Research","HEO","Female","315","305","33690","31560"
"In post","2023","Analysis","Social Research","HEO","Male","115","115","33700","32420"
"In post","2023","Analysis","Social Research","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","SEO","Female","390","365","41760","41680"
"In post","2023","Analysis","Social Research","SEO","Male","125","120","40900","40170"
"In post","2023","Analysis","Statistics","AA","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Statistics","AA","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Statistics","AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Statistics","AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Statistics","EO","Female","85","80","28800","28560"
"In post","2023","Analysis","Statistics","EO","Male","125","125","28880","28580"
"In post","2023","Analysis","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","G6","Female","85","80","68450","68440"
"In post","2023","Analysis","Statistics","G6","Male","95","95","69430","68000"
"In post","2023","Analysis","Statistics","G7","Female","330","305","56560","55720"
"In post","2023","Analysis","Statistics","G7","Male","320","315","57220","56040"
"In post","2023","Analysis","Statistics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","HEO","Female","345","335","33860","33880"
"In post","2023","Analysis","Statistics","HEO","Male","430","425","34450","34250"
"In post","2023","Analysis","Statistics","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","SCS level","Female","30","30","84540","80510"
"In post","2023","Analysis","Statistics","SCS level","Male","35","35","88170","80330"
"In post","2023","Analysis","Statistics","SEO","Female","350","330","42070","42130"
"In post","2023","Analysis","Statistics","SEO","Male","430","420","42470","42370"
"In post","2023","Analysis","Statistics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Unknown","G6","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","G6","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Unknown","G7","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","G7","Male","30","30","53220","53160"
"In post","2023","Analysis","Unknown","HEO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Unknown","HEO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Commercial","AA","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Commercial","AA","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Commercial","AO","Female","170","155","23740","22500"
"In post","2023","Commercial","Commercial","AO","Male","125","125","23920","22500"
"In post","2023","Commercial","Commercial","EO","Female","360","340","27620","27140"
"In post","2023","Commercial","Commercial","EO","Male","255","250","27520","27080"
"In post","2023","Commercial","Commercial","G6","Female","275","270","73370","71200"
"In post","2023","Commercial","Commercial","G6","Male","345","340","75450","71940"
"In post","2023","Commercial","Commercial","G7","Female","665","640","58500","56000"
"In post","2023","Commercial","Commercial","G7","Male","710","705","60270","56500"
"In post","2023","Commercial","Commercial","HEO","Female","750","720","33440","33540"
"In post","2023","Commercial","Commercial","HEO","Male","530","525","33540","33490"
"In post","2023","Commercial","Commercial","SCS level","Female","110","105","109230","102570"
"In post","2023","Commercial","Commercial","SCS level","Male","155","155","119810","117990"
"In post","2023","Commercial","Commercial","SEO","Female","900","860","41560","41800"
"In post","2023","Commercial","Commercial","SEO","Male","720","710","42130","42500"
"In post","2023","Commercial","Commercial","Unknown","Female","80","80","39380","35930"
"In post","2023","Commercial","Commercial","Unknown","Male","85","85","46360","43400"
"In post","2023","Commercial","Communications","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","G7","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","HEO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","EO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","G7","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Human Resources","G7","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Human Resources","HEO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Human Resources","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","International Trade","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","AO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","AO","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","EO","Female","40","35","29580","28990"
"In post","2023","Commercial","Operational Delivery","EO","Male","30","25","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","G6","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","G6","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","G7","Female","30","30","57470","54500"
"In post","2023","Commercial","Operational Delivery","G7","Male","55","55","58190","57000"
"In post","2023","Commercial","Operational Delivery","HEO","Female","30","30","34590","34460"
"In post","2023","Commercial","Operational Delivery","HEO","Male","30","30","35100","34400"
"In post","2023","Commercial","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","SEO","Female","45","45","43960","43210"
"In post","2023","Commercial","Operational Delivery","SEO","Male","50","50","45620","44150"
"In post","2023","Commercial","Other","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","EO","Female","10","5","[c]","[c]"
"In post","2023","Commercial","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","G6","Female","10","5","[c]","[c]"
"In post","2023","Commercial","Other","G6","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Other","G7","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Other","G7","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Other","HEO","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Other","HEO","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","SEO","Female","25","20","[c]","[c]"
"In post","2023","Commercial","Other","SEO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Policy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","G6","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","G7","Female","15","10","[c]","[c]"
"In post","2023","Commercial","Policy","G7","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","SEO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","SEO","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","EO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","G7","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Project Delivery","G7","Male","[c]","[c]","[c]","[c]"
