"Status","Year","Organisation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Male","45","40","33850","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Female","35","30","34340","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Male","35","30","33110","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Female","80","70","32090","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Male","60","60","32180","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Male","35","35","30220","29180"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Male","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Female","85","75","30220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Male","55","50","33000","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","Female","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","Female","90","85","42260","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","Male","75","75","46170","45240"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","Female","45","45","26230","22150"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Female","60","60","28040","22150"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Male","40","35","32870","28590"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Female","35","30","31820","30320"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Male","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon CC","Female","135","125","28280","25920"
"In post","2023","Animal and Plant Health Agency","Devon CC","Male","85","80","28130","22150"
"In post","2023","Animal and Plant Health Agency","Dorset","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","Female","115","110","26160","22150"
"In post","2023","Animal and Plant Health Agency","East Cumbria","Male","70","70","25790","22150"
"In post","2023","Animal and Plant Health Agency","East Kent","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Kent","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","Male","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","Female","45","40","31690","30320"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","Male","40","40","31500","25920"
"In post","2023","Animal and Plant Health Agency","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","Female","50","40","28030","24030"
"In post","2023","Animal and Plant Health Agency","Gwynedd","Male","20","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","Female","20","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","Male","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Leicestershire CC and Rutland","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Manchester","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Kent","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Kent","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","Female","60","55","28570","25920"
"In post","2023","Animal and Plant Health Agency","Mid Lancashire","Male","30","30","35040","27350"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","Female","70","65","30260","26180"
"In post","2023","Animal and Plant Health Agency","North Yorkshire CC","Male","75","70","33390","30320"
"In post","2023","Animal and Plant Health Agency","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Norwich and East Norfolk","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Norwich and East Norfolk","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Nottingham","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Oxfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Oxfordshire CC","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Perth and Kinross, and Stirling","Female","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Perth and Kinross, and Stirling","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Portsmouth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Portsmouth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Powys","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Powys","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scottish Borders","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Scottish Borders","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Shropshire","Female","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Shropshire","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Somerset CC","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Somerset CC","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Ayrshire","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Ayrshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Lanarkshire","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Nottinghamshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West Wales","Female","100","95","27930","25920"
"In post","2023","Animal and Plant Health Agency","South West Wales","Male","55","55","30960","25920"
"In post","2023","Animal and Plant Health Agency","South and West Derbyshire","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Staffordshire CC","Female","65","60","27660","22150"
"In post","2023","Animal and Plant Health Agency","Staffordshire CC","Male","30","30","27260","25920"
"In post","2023","Animal and Plant Health Agency","Suffolk CC","Female","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Suffolk CC","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Telford and Wrekin","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Telford and Wrekin","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Tyneside","Female","30","30","32020","28440"
"In post","2023","Animal and Plant Health Agency","Tyneside","Male","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Surrey","Female","400","375","33160","29080"
"In post","2023","Animal and Plant Health Agency","West Surrey","Male","260","250","35630","33830"
"In post","2023","Animal and Plant Health Agency","West Sussex (North East)","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Sussex (North East)","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Westminster","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Westminster","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Wiltshire","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Worcestershire CC","Female","105","95","28800","26030"
"In post","2023","Animal and Plant Health Agency","Worcestershire CC","Male","65","60","33940","30750"
"In post","2023","Animal and Plant Health Agency","York","Female","65","65","26490","24920"
"In post","2023","Animal and Plant Health Agency","York","Male","65","65","27530","24920"
"In post","2023","Attorney General's Office","Westminster","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Office","Westminster","Male","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Manchester","Female","25","25","[c]","[c]"
"In post","2023","Building Digital UK","Manchester","Male","35","35","44140","45500"
"In post","2023","Building Digital UK","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Westminster","Female","75","75","46830","52760"
"In post","2023","Building Digital UK","Westminster","Male","65","65","50980","53030"
"In post","2023","Cabinet Office (excl. agencies)","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Belfast","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Birmingham","Female","35","35","61300","51770"
"In post","2023","Cabinet Office (excl. agencies)","Birmingham","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Bristol, City of","Female","65","65","46090","50690"
"In post","2023","Cabinet Office (excl. agencies)","Bristol, City of","Male","65","60","51070","51290"
"In post","2023","Cabinet Office (excl. agencies)","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Female","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","City of Edinburgh","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Dorset","Female","[c]","[c]","[c]","[c]"
