"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Property","G6/G7","40","40","54300","53780"
"In post","2023","20-29","Property","SEO/HEO","440","435","35320","33960"
"In post","2023","20-29","Property","Unknown","15","15","25210","23800"
"In post","2023","20-29","Security","AA/AO","750","750","27100","26410"
"In post","2023","20-29","Security","EO","240","235","28240","27470"
"In post","2023","20-29","Security","G6/G7","45","45","54390","55280"
"In post","2023","20-29","Security","SEO/HEO","260","260","37440","36620"
"In post","2023","20-29","Security","Unknown","10","10","29480","31920"
"In post","2023","20-29","Unknown","AA/AO","1405","1365","24060","23340"
"In post","2023","20-29","Unknown","EO","1190","1175","29510","29100"
"In post","2023","20-29","Unknown","G6/G7","175","170","55160","54870"
"In post","2023","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SEO/HEO","2710","2700","34640","33520"
"In post","2023","20-29","Unknown","Unknown","375","375","32320","33320"
"In post","2023","30-39","Analysis","AA/AO","15","15","22820","22500"
"In post","2023","30-39","Analysis","EO","150","145","27360","25990"
"In post","2023","30-39","Analysis","G6/G7","1250","1205","59320","56870"
"In post","2023","30-39","Analysis","SCS level","40","40","79740","78060"
"In post","2023","30-39","Analysis","SEO/HEO","1415","1370","38200","39040"
"In post","2023","30-39","Commercial","AA/AO","60","55","22780","22220"
"In post","2023","30-39","Commercial","EO","165","155","27360","27080"
"In post","2023","30-39","Commercial","G6/G7","560","550","61800","60230"
"In post","2023","30-39","Commercial","SCS level","15","15","105610","105310"
"In post","2023","30-39","Commercial","SEO/HEO","920","895","37980","38000"
"In post","2023","30-39","Commercial","Unknown","50","45","40240","42620"
"In post","2023","30-39","Communications","AA/AO","20","20","22590","22490"
"In post","2023","30-39","Communications","EO","90","85","28280","27470"
"In post","2023","30-39","Communications","G6/G7","415","410","59120","57400"
"In post","2023","30-39","Communications","SCS level","25","25","87160","78960"
"In post","2023","30-39","Communications","SEO/HEO","660","640","39530","40190"
"In post","2023","30-39","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AA/AO","290","260","23080","22520"
"In post","2023","30-39","Counter Fraud","EO","1585","1525","28920","28130"
"In post","2023","30-39","Counter Fraud","G6/G7","285","280","59870","57970"
"In post","2023","30-39","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","SEO/HEO","1375","1350","37050","35000"
"In post","2023","30-39","Debt","AA/AO","1220","1095","22450","22520"
"In post","2023","30-39","Debt","EO","285","275","28150","28120"
"In post","2023","30-39","Debt","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Debt","SEO/HEO","80","75","36270","34700"
"In post","2023","30-39","Digital, Data & Technology","AA/AO","140","135","22600","22220"
"In post","2023","30-39","Digital, Data & Technology","EO","820","800","28380","28080"
"In post","2023","30-39","Digital, Data & Technology","G6/G7","1925","1890","57970","56430"
"In post","2023","30-39","Digital, Data & Technology","SCS level","55","55","91050","86670"
"In post","2023","30-39","Digital, Data & Technology","SEO/HEO","3455","3390","38300","38120"
"In post","2023","30-39","Digital, Data & Technology","Unknown","15","15","35790","38790"
"In post","2023","30-39","Finance","AA/AO","270","245","22910","22520"
"In post","2023","30-39","Finance","EO","375","360","28030","27890"
"In post","2023","30-39","Finance","G6/G7","720","700","60200","58370"
"In post","2023","30-39","Finance","SCS level","50","50","82190","78450"
"In post","2023","30-39","Finance","SEO/HEO","1210","1175","38500","38100"
"In post","2023","30-39","Finance","Unknown","15","10","47360","48790"
"In post","2023","30-39","Grants Management","AA/AO","275","255","22130","22150"
"In post","2023","30-39","Grants Management","EO","125","120","25990","25920"
"In post","2023","30-39","Grants Management","G6/G7","20","20","56720","59140"
"In post","2023","30-39","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","SEO/HEO","70","65","33370","30640"
"In post","2023","30-39","Human Resources","AA/AO","215","195","22690","22220"
"In post","2023","30-39","Human Resources","EO","630","595","27830","27890"
"In post","2023","30-39","Human Resources","G6/G7","560","545","58650","57290"
"In post","2023","30-39","Human Resources","SCS level","35","35","82120","79370"
"In post","2023","30-39","Human Resources","SEO/HEO","1550","1495","37870","37590"
"In post","2023","30-39","Human Resources","Unknown","25","25","35140","35030"
"In post","2023","30-39","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","G6/G7","40","40","55300","53750"
"In post","2023","30-39","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","SEO/HEO","85","85","40000","41240"
"In post","2023","30-39","Legal","AA/AO","235","210","23430","22870"
"In post","2023","30-39","Legal","EO","400","380","28570","28130"
"In post","2023","30-39","Legal","G6/G7","1965","1880","58010","54790"
"In post","2023","30-39","Legal","SCS level","40","35","81290","79000"
"In post","2023","30-39","Legal","SEO/HEO","510","495","38040","38760"
"In post","2023","30-39","No function","AA/AO","20345","18695","25140","22520"
"In post","2023","30-39","No function","EO","19925","18930","29070","28120"
"In post","2023","30-39","No function","G6/G7","9185","8975","58970","56870"
"In post","2023","30-39","No function","SCS level","640","620","80150","76330"
"In post","2023","30-39","No function","SEO/HEO","18360","17875","37770","36310"
"In post","2023","30-39","No function","Unknown","4970","4625","29780","29050"
"In post","2023","30-39","Project Delivery","AA/AO","50","45","22720","22520"
"In post","2023","30-39","Project Delivery","EO","360","340","27840","27890"
"In post","2023","30-39","Project Delivery","G6/G7","1695","1660","58070","55780"
"In post","2023","30-39","Project Delivery","SCS level","75","70","83270","79800"
"In post","2023","30-39","Project Delivery","SEO/HEO","2655","2580","38290","38790"
"In post","2023","30-39","Project Delivery","Unknown","370","360","42300","42620"
"In post","2023","30-39","Property","AA/AO","280","265","23210","22520"
"In post","2023","30-39","Property","EO","250","240","28040","27140"
"In post","2023","30-39","Property","G6/G7","220","220","56910","56060"
"In post","2023","30-39","Property","SCS level","5","5","[c]","[c]"
"In post","2023","30-39","Property","SEO/HEO","665","650","37940","36680"
"In post","2023","30-39","Property","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Security","AA/AO","1005","1000","30810","27500"
"In post","2023","30-39","Security","EO","270","265","32170","28370"
"In post","2023","30-39","Security","G6/G7","180","180","58430","56430"
"In post","2023","30-39","Security","SCS level","5","5","[c]","[c]"
"In post","2023","30-39","Security","SEO/HEO","435","425","38570","38470"
"In post","2023","30-39","Security","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Unknown","AA/AO","1035","980","24790","24890"
"In post","2023","30-39","Unknown","EO","1380","1320","30120","29450"
"In post","2023","30-39","Unknown","G6/G7","1470","1425","59530","58850"
"In post","2023","30-39","Unknown","SCS level","40","40","81910","81750"
"In post","2023","30-39","Unknown","SEO/HEO","3255","3145","40100","39690"
"In post","2023","30-39","Unknown","Unknown","380","380","42120","41080"
"In post","2023","40-49","Analysis","AA/AO","10","10","23090","22210"
"In post","2023","40-49","Analysis","EO","130","120","27240","26090"
"In post","2023","40-49","Analysis","G6/G7","1025","965","61090","59890"
"In post","2023","40-49","Analysis","SCS level","100","95","87740","80920"
"In post","2023","40-49","Analysis","SEO/HEO","770","720","38530","38790"
"In post","2023","40-49","Commercial","AA/AO","65","60","23780","22920"
"In post","2023","40-49","Commercial","EO","130","125","27920","27250"
"In post","2023","40-49","Commercial","G6/G7","800","785","63690","62880"
"In post","2023","40-49","Commercial","SCS level","110","110","110630","103150"
"In post","2023","40-49","Commercial","SEO/HEO","760","730","38660","39150"
"In post","2023","40-49","Commercial","Unknown","35","35","45340","42620"
"In post","2023","40-49","Communications","AA/AO","30","25","23090","22220"
"In post","2023","40-49","Communications","EO","80","75","28930","27740"
"In post","2023","40-49","Communications","G6/G7","375","355","60270","58140"
"In post","2023","40-49","Communications","SCS level","70","70","91480","86700"
"In post","2023","40-49","Communications","SEO/HEO","490","460","40020","40580"
"In post","2023","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","AA/AO","415","360","23140","22520"
"In post","2023","40-49","Counter Fraud","EO","1450","1365","29030","28120"
"In post","2023","40-49","Counter Fraud","G6/G7","340","330","62200","57970"
"In post","2023","40-49","Counter Fraud","SCS level","15","15","82370","80500"
"In post","2023","40-49","Counter Fraud","SEO/HEO","1540","1500","37910","35070"
"In post","2023","40-49","Debt","AA/AO","1070","930","22460","22520"
"In post","2023","40-49","Debt","EO","295","270","28650","28130"
"In post","2023","40-49","Debt","G6/G7","10","10","63460","61600"
"In post","2023","40-49","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Debt","SEO/HEO","80","80","36380","34700"
"In post","2023","40-49","Digital, Data & Technology","AA/AO","125","120","22580","22220"
"In post","2023","40-49","Digital, Data & Technology","EO","755","725","28610","28120"
"In post","2023","40-49","Digital, Data & Technology","G6/G7","2630","2585","59660","57970"
"In post","2023","40-49","Digital, Data & Technology","SCS level","160","160","95500","91110"
"In post","2023","40-49","Digital, Data & Technology","SEO/HEO","3305","3225","39140","38870"
"In post","2023","40-49","Digital, Data & Technology","Unknown","25","20","35570","33990"
"In post","2023","40-49","Finance","AA/AO","300","260","22760","22520"
"In post","2023","40-49","Finance","EO","415","390","28330","28090"
"In post","2023","40-49","Finance","G6/G7","905","885","60290","58110"
"In post","2023","40-49","Finance","SCS level","145","140","88800","80500"
"In post","2023","40-49","Finance","SEO/HEO","1465","1415","38850","38470"
"In post","2023","40-49","Finance","Unknown","15","15","53890","56240"
"In post","2023","40-49","Grants Management","AA/AO","385","340","22130","22150"
"In post","2023","40-49","Grants Management","EO","205","190","26030","25920"
"In post","2023","40-49","Grants Management","G6/G7","35","30","54450","49400"
"In post","2023","40-49","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","SEO/HEO","145","140","33280","31190"
"In post","2023","40-49","Human Resources","AA/AO","235","215","22730","22220"
"In post","2023","40-49","Human Resources","EO","710","675","28590","28120"
"In post","2023","40-49","Human Resources","G6/G7","860","830","58760","57460"
"In post","2023","40-49","Human Resources","SCS level","105","105","89400","81600"
"In post","2023","40-49","Human Resources","SEO/HEO","1600","1540","38810","38020"
"In post","2023","40-49","Human Resources","Unknown","35","30","39830","38290"
"In post","2023","40-49","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2023","40-49","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","G6/G7","70","65","58610","57970"
"In post","2023","40-49","Internal Audit","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Internal Audit","SEO/HEO","95","90","41100","42510"
"In post","2023","40-49","Legal","AA/AO","310","270","23330","22870"
"In post","2023","40-49","Legal","EO","415","380","28680","28410"
"In post","2023","40-49","Legal","G6/G7","2150","1970","61370","60360"
"In post","2023","40-49","Legal","SCS level","180","175","86730","82100"
"In post","2023","40-49","Legal","SEO/HEO","445","425","37570","36780"
"In post","2023","40-49","No function","AA/AO","19985","17875","24170","22500"
"In post","2023","40-49","No function","EO","20120","18695","28950","28120"
"In post","2023","40-49","No function","G6/G7","8675","8380","61360","59290"
"In post","2023","40-49","No function","SCS level","1565","1490","88110","80000"
"In post","2023","40-49","No function","SEO/HEO","17135","16535","38780","37880"
"In post","2023","40-49","No function","Unknown","5130","4740","33260","30840"
"In post","2023","40-49","Project Delivery","AA/AO","45","40","22940","22520"
"In post","2023","40-49","Project Delivery","EO","350","325","28260","28120"
"In post","2023","40-49","Project Delivery","G6/G7","2210","2150","59950","57970"
"In post","2023","40-49","Project Delivery","SCS level","260","255","89210","81620"
"In post","2023","40-49","Project Delivery","SEO/HEO","2390","2295","38780","39450"
"In post","2023","40-49","Project Delivery","Unknown","340","335","48270","45320"
"In post","2023","40-49","Property","AA/AO","300","280","22700","22520"
"In post","2023","40-49","Property","EO","300","280","28040","27740"
"In post","2023","40-49","Property","G6/G7","430","425","58000","56520"
"In post","2023","40-49","Property","SCS level","30","30","91300","85880"
"In post","2023","40-49","Property","SEO/HEO","880","860","38860","38440"
"In post","2023","40-49","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Security","AA/AO","1025","1015","31060","27500"
"In post","2023","40-49","Security","EO","310","300","33070","28470"
"In post","2023","40-49","Security","G6/G7","250","245","61440","59850"
"In post","2023","40-49","Security","SCS level","35","35","94330","90760"
"In post","2023","40-49","Security","SEO/HEO","500","490","39660","38760"
"In post","2023","40-49","Security","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","AA/AO","790","730","25360","25010"
"In post","2023","40-49","Unknown","EO","1140","1075","30430","30440"
"In post","2023","40-49","Unknown","G6/G7","2205","2120","64210","63900"
"In post","2023","40-49","Unknown","SCS level","220","215","86830","83530"
"In post","2023","40-49","Unknown","SEO/HEO","2985","2860","42300","41500"
"In post","2023","40-49","Unknown","Unknown","320","320","45890","41630"
"In post","2023","50-59","Analysis","AA/AO","25","25","22790","22500"
"In post","2023","50-59","Analysis","EO","115","110","28190","27580"
"In post","2023","50-59","Analysis","G6/G7","580","560","62120","59890"
"In post","2023","50-59","Analysis","SCS level","65","65","94150","84420"
"In post","2023","50-59","Analysis","SEO/HEO","500","475","38670","38660"
"In post","2023","50-59","Commercial","AA/AO","75","65","24380","22670"
"In post","2023","50-59","Commercial","EO","155","145","28550","27650"
"In post","2023","50-59","Commercial","G6/G7","745","735","64050","61740"
"In post","2023","50-59","Commercial","SCS level","145","140","119400","116020"
"In post","2023","50-59","Commercial","SEO/HEO","725","705","39550","40450"
"In post","2023","50-59","Commercial","Unknown","45","45","50370","45670"
"In post","2023","50-59","Communications","AA/AO","50","50","22820","22220"
"In post","2023","50-59","Communications","EO","130","125","29450","29510"
"In post","2023","50-59","Communications","G6/G7","195","195","61880","60640"
"In post","2023","50-59","Communications","SCS level","30","30","93420","83780"
"In post","2023","50-59","Communications","SEO/HEO","380","370","39230","39150"
"In post","2023","50-59","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AA/AO","805","710","23110","22520"
"In post","2023","50-59","Counter Fraud","EO","2180","2040","29350","28130"
"In post","2023","50-59","Counter Fraud","G6/G7","475","465","62780","59290"
"In post","2023","50-59","Counter Fraud","SCS level","25","25","83560","80500"
"In post","2023","50-59","Counter Fraud","SEO/HEO","2080","2010","38480","37520"
"In post","2023","50-59","Debt","AA/AO","1355","1190","22650","22520"
"In post","2023","50-59","Debt","EO","410","380","29260","28130"
"In post","2023","50-59","Debt","G6/G7","25","25","62100","57970"
"In post","2023","50-59","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Debt","SEO/HEO","145","140","37300","35000"
"In post","2023","50-59","Digital, Data & Technology","AA/AO","210","200","23360","22220"
"In post","2023","50-59","Digital, Data & Technology","EO","950","910","29060","28120"
"In post","2023","50-59","Digital, Data & Technology","G6/G7","2280","2245","60210","59150"
"In post","2023","50-59","Digital, Data & Technology","SCS level","155","150","99040","92540"
"In post","2023","50-59","Digital, Data & Technology","SEO/HEO","3265","3190","39530","39190"
"In post","2023","50-59","Digital, Data & Technology","Unknown","25","25","44440","42670"
"In post","2023","50-59","Finance","AA/AO","630","525","22870","22520"
"In post","2023","50-59","Finance","EO","575","550","28670","28120"
"In post","2023","50-59","Finance","G6/G7","970","955","60980","59180"
"In post","2023","50-59","Finance","SCS level","115","115","95410","88520"
"In post","2023","50-59","Finance","SEO/HEO","1630","1580","39330","38470"
"In post","2023","50-59","Finance","Unknown","15","15","68200","57720"
"In post","2023","50-59","Grants Management","AA/AO","300","275","22150","22150"
"In post","2023","50-59","Grants Management","EO","165","155","26320","26390"
"In post","2023","50-59","Grants Management","G6/G7","35","35","54420","50740"
"In post","2023","50-59","Grants Management","SCS level","5","5","[c]","[c]"
"In post","2023","50-59","Grants Management","SEO/HEO","140","135","33880","32200"
"In post","2023","50-59","Human Resources","AA/AO","335","315","22650","22220"
"In post","2023","50-59","Human Resources","EO","1165","1120","29030","28120"
"In post","2023","50-59","Human Resources","G6/G7","1000","985","60210","58070"
"In post","2023","50-59","Human Resources","SCS level","105","105","90080","82880"
"In post","2023","50-59","Human Resources","SEO/HEO","1880","1825","39100","38190"
"In post","2023","50-59","Human Resources","Unknown","25","20","45040","46380"
"In post","2023","50-59","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2023","50-59","Internal Audit","EO","15","15","28850","27470"
"In post","2023","50-59","Internal Audit","G6/G7","85","85","61650","59830"
"In post","2023","50-59","Internal Audit","SCS level","15","15","101760","1e+05"
"In post","2023","50-59","Internal Audit","SEO/HEO","150","145","43680","43680"
"In post","2023","50-59","Legal","AA/AO","445","400","23560","22870"
"In post","2023","50-59","Legal","EO","595","550","29210","28850"
"In post","2023","50-59","Legal","G6/G7","1825","1705","63010","61760"
"In post","2023","50-59","Legal","SCS level","225","220","93780","86920"
"In post","2023","50-59","Legal","SEO/HEO","525","505","37630","35550"
"In post","2023","50-59","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","No function","AA/AO","28930","25925","23810","22400"
"In post","2023","50-59","No function","EO","28005","25890","29300","28120"
"In post","2023","50-59","No function","G6/G7","7770","7575","62770","60000"
"In post","2023","50-59","No function","SCS level","1210","1185","97220","89000"
"In post","2023","50-59","No function","SEO/HEO","19635","18995","39340","38470"
"In post","2023","50-59","No function","Unknown","4845","4535","32390","29050"
"In post","2023","50-59","Project Delivery","AA/AO","85","75","23130","22520"
"In post","2023","50-59","Project Delivery","EO","455","425","28820","28130"
"In post","2023","50-59","Project Delivery","G6/G7","2370","2325","61260","58360"
"In post","2023","50-59","Project Delivery","SCS level","300","295","94920","86960"
"In post","2023","50-59","Project Delivery","SEO/HEO","2655","2570","39370","39790"
"In post","2023","50-59","Project Delivery","Unknown","390","385","52610","50330"
"In post","2023","50-59","Property","AA/AO","540","515","22290","22520"
"In post","2023","50-59","Property","EO","490","465","28610","27810"
"In post","2023","50-59","Property","G6/G7","655","645","59780","58970"
"In post","2023","50-59","Property","SCS level","65","60","92980","85410"
"In post","2023","50-59","Property","SEO/HEO","1255","1220","39500","38680"
"In post","2023","50-59","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Security","AA/AO","1840","1810","28500","22220"
"In post","2023","50-59","Security","EO","495","485","34790","29890"
"In post","2023","50-59","Security","G6/G7","275","275","62280","59450"
"In post","2023","50-59","Security","SCS level","40","40","91090","84020"
"In post","2023","50-59","Security","SEO/HEO","720","705","41590","39200"
"In post","2023","50-59","Security","Unknown","15","15","44740","42240"
"In post","2023","50-59","Unknown","AA/AO","980","920","25680","25620"
"In post","2023","50-59","Unknown","EO","1020","980","30830","30610"
"In post","2023","50-59","Unknown","G6/G7","2015","1965","65590","65280"
"In post","2023","50-59","Unknown","SCS level","255","250","93930","85200"
"In post","2023","50-59","Unknown","SEO/HEO","2520","2430","43050","41640"
"In post","2023","50-59","Unknown","Unknown","440","440","47400","43120"
"In post","2023","60-64","Analysis","AA/AO","10","10","23220","22450"
"In post","2023","60-64","Analysis","EO","35","25","27980","27470"
"In post","2023","60-64","Analysis","G6/G7","120","105","58580","55900"
"In post","2023","60-64","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","SEO/HEO","100","85","39050","39780"
"In post","2023","60-64","Commercial","AA/AO","30","25","23430","22950"
"In post","2023","60-64","Commercial","EO","40","35","27890","27450"
"In post","2023","60-64","Commercial","G6/G7","120","105","65370","65200"
"In post","2023","60-64","Commercial","SCS level","20","20","123490","119280"
"In post","2023","60-64","Commercial","SEO/HEO","195","175","39950","40710"
"In post","2023","60-64","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","60-64","Communications","AA/AO","20","15","24120","22510"
"In post","2023","60-64","Communications","EO","50","45","29670","29570"
"In post","2023","60-64","Communications","G6/G7","25","25","61810","60060"
"In post","2023","60-64","Communications","SCS level","10","10","[c]","[c]"
"In post","2023","60-64","Communications","SEO/HEO","80","75","40020","39940"
"In post","2023","60-64","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Counter Fraud","AA/AO","320","250","23240","22520"
"In post","2023","60-64","Counter Fraud","EO","795","600","29270","28120"
"In post","2023","60-64","Counter Fraud","G6/G7","120","95","64330","61590"
"In post","2023","60-64","Counter Fraud","SCS level","5","5","[c]","[c]"
