"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Legal","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","UK Supreme Court","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","UK Supreme Court","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Welsh Revenue Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Welsh Revenue Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Active Travel England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","EO","55","45","25920","25160"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","HEO","85","75","33730","32520"
"In post","2023","Declared disabled","No function","Advisory, Conciliation and Arbitration Service","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","AO","140","135","23100","22150"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","EO","105","100","27100","25920"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","HEO","70","65","31960","30990"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","SEO","40","35","39700","38930"
"In post","2023","Declared disabled","No function","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Building Digital UK","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Building Digital UK","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Building Digital UK","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Building Digital UK","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","EO","35","30","28570","28370"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","G7","40","40","56240","56430"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","HEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Cabinet Office (excl. agencies)","SEO","50","50","41750","41870"
"In post","2023","Declared disabled","No function","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Charity Commission","SEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","AO","35","30","22940","23240"
"In post","2023","Declared disabled","No function","Companies House","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Companies House","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","HEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Commercial Service","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","AO","65","60","23760","23700"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Crown Office and Procurator Fiscal Service","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Electronics and Components Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","AO","145","135","23170","22420"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","EO","50","45","27370","26860"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","G7","75","70","54670","54510"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","HEO","195","190","33190","32500"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Defence Equipment and Support","SEO","200","195","42760","42620"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","60","55","67590","66790"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","180","175","55980","55120"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","85","80","34310","34670"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","130","130","41650","41360"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","50","50","54020","53030"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","55","55","36100","35620"
"In post","2023","Declared disabled","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","EO","40","40","27520","26940"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","G6","35","30","66130","65780"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","G7","90","85","53920","52150"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","HEO","65","60","31880","31150"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Education (excl. agencies)","SEO","100","95","39380","37880"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","45","45","28010","29080"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","35","35","63430","64110"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","130","130","52990","54330"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","140","140","32300","32320"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","140","135","39060","37710"
"In post","2023","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for International Trade","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for International Trade","EO","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for International Trade","G6","20","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for International Trade","G7","45","45","55430","55370"
"In post","2023","Declared disabled","No function","Department for International Trade","HEO","40","40","34890","35010"
"In post","2023","Declared disabled","No function","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for International Trade","SEO","50","50","41520","41550"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","40","40","28710","28850"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","70","70","53710","54630"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","75","70","33820","34310"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","55","55","40600","40390"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","G7","40","40","56420","55740"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","HEO","35","30","35300","35760"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Transport (excl. agencies)","SEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","AA","65","55","21270","21250"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","AO","4510","3785","21950","21690"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","EO","7725","6775","28760","28120"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","G7","75","70","51960","50160"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","HEO","845","780","35140","34170"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","SEO","155","145","39760","38470"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","EO","15","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","G7","40","35","54230","54690"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","HEO","35","30","33910","34190"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","SEO","40","35","40910","41950"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","AA","165","125","19040","19000"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","AO","290","240","22540","22500"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","EO","70","65","27290","27390"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Licensing Agency","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","AO","75","70","25020","22500"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","EO","215","185","28880","27450"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","HEO","40","40","33420","33020"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Driver and Vehicle Standards Agency","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Education and Skills Funding Agency","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","EO","30","30","28480","28090"
"In post","2023","Declared disabled","No function","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Food Standards Agency","SEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","G6","30","30","68020","67550"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","G7","60","55","57310","57420"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","110","110","36430","35810"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Actuary's Department","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Government Internal Audit Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","AA","285","240","20520","19930"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","AO","1275","1120","22430","21780"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","EO","400","380","26970","25830"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","G7","35","35","55920","55720"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","HEO","155","150","32770","31270"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","SEO","160","150","41980","42530"
"In post","2023","Declared disabled","No function","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Land Registry","AO","180","165","23430","23390"
"In post","2023","Declared disabled","No function","HM Land Registry","EO","245","205","28170","28080"
"In post","2023","Declared disabled","No function","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Land Registry","HEO","95","85","34930","34850"
"In post","2023","Declared disabled","No function","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Land Registry","SEO","40","35","42100","41680"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","AA","675","615","23360","23230"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","AO","2035","1885","30180","30880"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","EO","775","730","32590","32790"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","G6","40","40","85370","90020"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","G7","60","60","65850","66940"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","HEO","560","535","37330","38180"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","SEO","365","355","50570","52360"
"In post","2023","Declared disabled","No function","HM Prison and Probation Service","Unknown","4020","3745","31100","29050"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","AA","80","65","22580","22520"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","AO","1215","1025","22670","22520"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","EO","760","685","28780","28130"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","G6","55","50","72810","71300"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","G7","230","220","58680","57970"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","HEO","775","725","35670","35000"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","SEO","300","285","43100","42510"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","G7","45","45","54700","54090"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","HEO","55","55","33570","33630"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","HM Treasury (excl. agencies)","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Health and Safety Executive","AO","35","30","23300","23500"
"In post","2023","Declared disabled","No function","Health and Safety Executive","EO","50","45","28530","27350"
"In post","2023","Declared disabled","No function","Health and Safety Executive","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Health and Safety Executive","G7","35","35","58780","56000"
"In post","2023","Declared disabled","No function","Health and Safety Executive","HEO","55","50","34340","32850"
"In post","2023","Declared disabled","No function","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Health and Safety Executive","SEO","95","90","48570","46780"
"In post","2023","Declared disabled","No function","Home Office","AA","85","70","20650","19500"
"In post","2023","Declared disabled","No function","Home Office","AO","605","535","23280","22400"
"In post","2023","Declared disabled","No function","Home Office","EO","1160","1065","27650","26610"
"In post","2023","Declared disabled","No function","Home Office","G6","60","60","70400","70840"
"In post","2023","Declared disabled","No function","Home Office","G7","195","190","58410","59290"
"In post","2023","Declared disabled","No function","Home Office","HEO","475","445","34170","33450"
"In post","2023","Declared disabled","No function","Home Office","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Home Office","SEO","310","300","42030","43000"
"In post","2023","Declared disabled","No function","Home Office","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Intellectual Property Office","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","AO","80","70","21820","21780"
"In post","2023","Declared disabled","No function","Legal Aid Agency","EO","55","50","26390","25830"
"In post","2023","Declared disabled","No function","Legal Aid Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Legal Aid Agency","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Maritime and Coastguard Agency","HEO","10","10","[c]","[c]"
