"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Active Travel England","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","SEO/HEO","10","10","40030","39430"
"In post","2023","Active Travel England","Statistics","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","G6/G7","10","10","64490","61780"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SEO/HEO","20","20","46890","49240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","SEO/HEO","25","20","39480","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","EO","15","15","29990","30490"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SEO/HEO","65","60","40510","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","AA/AO","35","30","21230","21260"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","EO","255","235","25560","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","G6/G7","20","15","60130","59520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","SEO/HEO","445","400","34990","32830"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","EO","35","35","31590","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","SEO/HEO","25","25","38240","38060"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","AA/AO","770","720","22600","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","EO","605","580","26730","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","G6/G7","95","90","54140","51370"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","SEO/HEO","545","525","34050","32480"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","SEO/HEO","15","15","37100","38730"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","SEO/HEO","20","20","34390","31750"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","AA/AO","165","155","24530","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","EO","150","140","28590","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","G6/G7","55","55","55910","54810"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","SEO/HEO","205","200","36090","34420"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","EO","25","25","25920","25920"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","G6/G7","95","90","54710","54860"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","SEO/HEO","190","175","39760","37980"
"In post","2023","Attorney General's Office","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","SEO/HEO","10","10","36300","35330"
"In post","2023","Building Digital UK","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","SEO/HEO","20","20","33570","31880"
"In post","2023","Building Digital UK","Project Delivery","London","EO","10","10","27950","27230"
"In post","2023","Building Digital UK","Project Delivery","London","G6/G7","45","45","56850","53490"
"In post","2023","Building Digital UK","Project Delivery","London","SCS level","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","London","SEO/HEO","15","15","35130","35040"
"In post","2023","Building Digital UK","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Outside London","G6/G7","25","25","52480","53030"
"In post","2023","Building Digital UK","Project Delivery","Outside London","SEO/HEO","10","10","32630","31880"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","EO","10","10","29360","29190"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","G6/G7","40","40","60910","58240"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","SCS level","20","20","112500","106940"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","SEO/HEO","15","15","39100","37660"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","G6/G7","30","25","56130","53650"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","SEO/HEO","30","30","36400","38050"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","G6/G7","65","60","60770","58310"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","SEO/HEO","55","55","39920","41410"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","SEO/HEO","10","10","36770","38460"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","EO","25","20","28710","28370"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","G6/G7","460","450","59620","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","SCS level","25","25","104210","98430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","SEO/HEO","195","195","39820","41870"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","EO","20","20","26100","25380"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","G6/G7","150","145","54260","51290"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","SCS level","15","15","99990","94600"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","SEO/HEO","135","130","35980","36680"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","London","G6/G7","10","10","60150","56430"
"In post","2023","Cabinet Office (excl. agencies)","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","EO","10","10","29050","28780"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","G6/G7","25","20","62990","61850"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","SCS level","15","15","123790","118450"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","SEO/HEO","30","30","39140","37820"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","SEO/HEO","15","15","36190","34810"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","EO","45","45","28990","29120"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","G6/G7","150","145","61000","59870"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","SCS level","25","25","89940","78600"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","SEO/HEO","130","125","39160","40610"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","AA/AO","130","115","21720","21720"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","EO","90","85","25400","24860"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","G6/G7","105","100","55160","52790"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","SCS level","10","10","87780","78430"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","SEO/HEO","185","175","36080","35650"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","EO","10","10","28430","28370"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","G6/G7","15","15","58490","56430"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","SEO/HEO","10","10","37030","36680"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","London","G6/G7","5","5","[c]","[c]"
