"Status","Year","Age","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Yorkshire and The Humber","AO","20","20","[c]","[c]"
"In post","2023","16-19","Asian","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","AA","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","AO","30","30","27580","26400"
"In post","2023","16-19","Unknown","London","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","AO","45","40","23290","22400"
"In post","2023","16-19","Unknown","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","AA","35","35","22180","22180"
"In post","2023","16-19","Unknown","Scotland","AO","40","35","22530","22520"
"In post","2023","16-19","Unknown","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","AA","15","10","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","AO","45","45","23070","22400"
"In post","2023","16-19","Unknown","South East (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","AO","60","60","19900","18780"
"In post","2023","16-19","Unknown","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","AA","20","15","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","AO","30","30","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","West Midlands (England)","AO","25","20","[c]","[c]"
"In post","2023","16-19","Unknown","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","AO","35","35","24060","22520"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","East Midlands (England)","AA","10","10","[c]","[c]"
"In post","2023","16-19","White","East Midlands (England)","AO","30","30","25650","28880"
"In post","2023","16-19","White","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","East of England","AA","10","10","[c]","[c]"
"In post","2023","16-19","White","East of England","AO","30","30","25420","24070"
"In post","2023","16-19","White","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","London","AO","15","15","[c]","[c]"
"In post","2023","16-19","White","London","EO","25","25","[c]","[c]"
"In post","2023","16-19","White","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","North East (England)","AO","30","30","23310","22520"
"In post","2023","16-19","White","North East (England)","EO","15","15","[c]","[c]"
"In post","2023","16-19","White","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","North West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","White","North West (England)","AO","50","45","23510","22520"
"In post","2023","16-19","White","North West (England)","EO","15","15","[c]","[c]"
"In post","2023","16-19","White","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Scotland","AA","15","15","[c]","[c]"
"In post","2023","16-19","White","Scotland","AO","35","30","22800","22520"
"In post","2023","16-19","White","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","South East (England)","AA","15","10","[c]","[c]"
"In post","2023","16-19","White","South East (England)","AO","55","55","25010","24480"
"In post","2023","16-19","White","South East (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","White","South East (England)","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","White","South West (England)","AA","25","25","[c]","[c]"
"In post","2023","16-19","White","South West (England)","AO","80","80","21630","20660"
"In post","2023","16-19","White","South West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","White","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","White","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Wales","AA","30","30","18840","19000"
"In post","2023","16-19","White","Wales","AO","60","60","22610","22500"
"In post","2023","16-19","White","Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","White","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","West Midlands (England)","AA","15","15","[c]","[c]"
"In post","2023","16-19","White","West Midlands (England)","AO","15","15","[c]","[c]"
"In post","2023","16-19","White","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","White","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Yorkshire and The Humber","AA","10","10","[c]","[c]"
"In post","2023","16-19","White","Yorkshire and The Humber","AO","35","35","24350","22700"
"In post","2023","16-19","White","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East Midlands (England)","AO","165","160","22880","21780"
"In post","2023","20-29","Asian","East Midlands (England)","EO","115","110","27850","28120"
"In post","2023","20-29","Asian","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East Midlands (England)","HEO","50","50","34010","34700"
"In post","2023","20-29","Asian","East Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Asian","East Midlands (England)","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Asian","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East of England","AO","65","60","24680","22400"
"In post","2023","20-29","Asian","East of England","EO","55","55","28830","28120"
"In post","2023","20-29","Asian","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","East of England","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Asian","East of England","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Asian","East of England","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Asian","London","AA","25","20","[c]","[c]"
"In post","2023","20-29","Asian","London","AO","335","330","26650","25610"
"In post","2023","20-29","Asian","London","EO","900","890","30580","30290"
"In post","2023","20-29","Asian","London","G6","15","15","[c]","[c]"
"In post","2023","20-29","Asian","London","G7","240","235","56770","55370"
"In post","2023","20-29","Asian","London","HEO","920","915","35430","35400"
"In post","2023","20-29","Asian","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","London","SEO","380","380","42920","43000"
"In post","2023","20-29","Asian","London","Unknown","45","45","29280","28580"
"In post","2023","20-29","Asian","North East (England)","AA","[c]","[c]","[c]","[c]"
