"Status","Year","Age","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Plymouth","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Milton Keynes","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","15","15","19540","19460"
"In post","2023","16-19","Finance","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","Westminster","10","10","[c]","[c]"
"In post","2023","16-19","Legal","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","Leeds","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","Wakefield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","Leicester","5","5","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","Leicestershire CC and Rutland","15","15","24650","23230"
"In post","2023","16-19","No function","East Midlands (England)","Lincolnshire CC","10","10","25350","23650"
"In post","2023","16-19","No function","East Midlands (England)","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","Nottingham","20","20","24950","22520"
"In post","2023","16-19","No function","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","South and West Derbyshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2023","16-19","No function","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Heart of Essex","5","5","[c]","[c]"
"In post","2023","16-19","No function","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","16-19","No function","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Peterborough","10","5","[c]","[c]"
"In post","2023","16-19","No function","East of England","Suffolk CC","15","10","23810","23230"
"In post","2023","16-19","No function","East of England","Thurrock","5","5","[c]","[c]"
"In post","2023","16-19","No function","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Croydon","10","10","26950","26920"
"In post","2023","16-19","No function","London","Harrow and Hillingdon","15","15","26990","26400"
"In post","2023","16-19","No function","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Westminster","25","20","28300","28770"
"In post","2023","16-19","No function","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","Durham","25","20","25320","23230"
"In post","2023","16-19","No function","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","Sunderland","10","5","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","Tyneside","20","20","22260","22520"
"In post","2023","16-19","No function","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Chorley and West Lancashire","10","10","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Greater Manchester North West","10","10","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Greater Manchester South West","10","10","22690","22520"
"In post","2023","16-19","No function","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Liverpool","30","30","22750","22460"
"In post","2023","16-19","No function","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Mid Lancashire","10","10","23350","23230"
"In post","2023","16-19","No function","North West (England)","Sefton","10","5","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","Scotland","City of Edinburgh","10","10","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","East Ayrshire and North Ayrshire mainland","10","10","19850","18780"
"In post","2023","16-19","No function","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Glasgow City","10","10","22550","22520"
"In post","2023","16-19","No function","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Buckinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Central Hampshire","10","10","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","East Kent","40","40","23410","22400"
"In post","2023","16-19","No function","South East (England)","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Isle of Wight","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","Portsmouth","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","South Hampshire","20","15","19390","18930"
"In post","2023","16-19","No function","South East (England)","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","West Surrey","5","5","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","65","65","19230","18780"
"In post","2023","16-19","No function","South West (England)","Bristol, City of","15","15","23530","22520"
"In post","2023","16-19","No function","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Devon CC","5","5","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Dorset","5","5","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","Wiltshire","10","10","24270","23230"
"In post","2023","16-19","No function","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Wales","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Cardiff and Vale of Glamorgan","15","15","23360","22520"
"In post","2023","16-19","No function","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Flintshire and Wrexham","15","15","20700","19840"
"In post","2023","16-19","No function","Wales","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Monmouthshire and Newport","10","10","21750","21780"
"In post","2023","16-19","No function","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Swansea","80","70","20630","19000"
"In post","2023","16-19","No function","West Midlands (England)","Birmingham","35","30","23310","22500"
"In post","2023","16-19","No function","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Shropshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Solihull","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Staffordshire CC","15","15","24050","23230"
"In post","2023","16-19","No function","West Midlands (England)","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Bradford","5","5","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","East Riding of Yorkshire","10","10","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Leeds","30","30","24870","23230"
"In post","2023","16-19","No function","Yorkshire and The Humber","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Sheffield","10","10","22830","22400"
"In post","2023","16-19","No function","Yorkshire and The Humber","Wakefield","10","10","26820","28880"
"In post","2023","16-19","No function","Yorkshire and The Humber","York","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","15","15","18640","18280"
"In post","2023","16-19","Project Delivery","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Plymouth","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South East (England)","Milton Keynes","15","15","23210","22750"
"In post","2023","16-19","Property","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","Milton Keynes","5","5","[c]","[c]"
"In post","2023","16-19","Security","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Security","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","City of Edinburgh","10","10","23140","22180"
"In post","2023","16-19","Unknown","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Glasgow City","20","20","22650","22180"
"In post","2023","16-19","Unknown","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","Wiltshire","15","15","20980","19430"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Wales","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","Bradford","[c]","[c]","[c]","[c]"
