"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","HM Prison and Probation Service","2170","2030","32200","30510"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","6235","5905","34430","32540"
"In post","2023","Asian","HM Treasury (excl. agencies)","235","235","44300","39050"
"In post","2023","Asian","Health and Safety Executive","80","80","46050","41970"
"In post","2023","Asian","Home Office","4580","4250","33500","30140"
"In post","2023","Asian","Institute for Apprenticeships and Technical Education","35","35","48100","51460"
"In post","2023","Asian","Intellectual Property Office","40","40","40570","42530"
"In post","2023","Asian","Legal Aid Agency","80","75","27960","21780"
"In post","2023","Asian","Maritime and Coastguard Agency","55","55","44130","47430"
"In post","2023","Asian","Medicines and Healthcare Products Regulatory Agency","290","285","43500","41190"
"In post","2023","Asian","Met Office","35","35","33360","33100"
"In post","2023","Asian","Ministry of Defence (excl. agencies)","1045","1015","37470","34300"
"In post","2023","Asian","Ministry of Justice (excl. agencies)","645","630","42510","39000"
"In post","2023","Asian","National Crime Agency","290","280","39500","38640"
"In post","2023","Asian","National Infrastructure Commission","5","5","[c]","[c]"
"In post","2023","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Savings and Investments","20","20","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","5","5","[c]","[c]"
"In post","2023","Asian","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","125","120","42150","36330"
"In post","2023","Asian","Office of Gas and Electricity Markets","195","190","42420","38000"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","35","35","39170","36800"
"In post","2023","Asian","Office of Rail and Road","35","35","48670","48140"
"In post","2023","Asian","Office of the Public Guardian","470","435","23130","21780"
"In post","2023","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectorate","20","15","[c]","[c]"
"In post","2023","Asian","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2023","Asian","Registers of Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Rural Payments Agency","55","55","25410","22150"
"In post","2023","Asian","Scottish Courts and Tribunals Service","15","15","[c]","[c]"
"In post","2023","Asian","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government (excl. agencies)","125","120","43190","39730"
"In post","2023","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Prison Service","10","5","[c]","[c]"
"In post","2023","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Serious Fraud Office","50","50","46290","42110"
"In post","2023","Asian","Social Security Scotland","85","80","32210","29100"
"In post","2023","Asian","Standards and Testing Agency","15","15","[c]","[c]"
"In post","2023","Asian","Student Awards Agency for Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Submarine Delivery Agency","50","50","40570","39500"
"In post","2023","Asian","Teaching Regulation Agency","15","15","[c]","[c]"
"In post","2023","Asian","The Insolvency Service","150","140","29950","25810"
"In post","2023","Asian","The National Archives","45","45","35860","34710"
"In post","2023","Asian","Transport Scotland","10","10","[c]","[c]"
"In post","2023","Asian","UK Debt Management Office","5","5","[c]","[c]"
"In post","2023","Asian","UK Export Finance","95","90","49070","42000"
"In post","2023","Asian","UK Health Security Agency","610","575","45150","35610"
"In post","2023","Asian","UK Hydrographic Office","5","5","[c]","[c]"
"In post","2023","Asian","UK Space Agency","20","20","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","235","215","34660","31560"
"In post","2023","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Valuation Office Agency","250","235","34310","31540"
"In post","2023","Asian","Vehicle Certification Agency","15","15","[c]","[c]"
"In post","2023","Asian","Veterinary Medicines Directorate","15","15","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","40","40","44010","40000"
"In post","2023","Asian","Welsh Government (excl. agencies)","75","70","42740","39690"
"In post","2023","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","Black","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Black","Advisory, Conciliation and Arbitration Service","35","35","35390","32650"
"In post","2023","Black","Animal and Plant Health Agency","25","25","[c]","[c]"
"In post","2023","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Black","Building Digital UK","15","15","[c]","[c]"
"In post","2023","Black","Cabinet Office (excl. agencies)","225","225","41770","37870"
"In post","2023","Black","Central Civil Service Fast Stream","50","50","31010","30130"
"In post","2023","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","10","10","[c]","[c]"
"In post","2023","Black","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","40","40","43360","40160"
"In post","2023","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Black","Crown Commercial Service","20","20","[c]","[c]"
"In post","2023","Black","Crown Office and Procurator Fiscal Service","10","10","[c]","[c]"
"In post","2023","Black","Crown Prosecution Service","410","390","40830","32070"
"In post","2023","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Black","Defence Equipment and Support","210","205","35140","33200"
"In post","2023","Black","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","355","350","43250","41060"
"In post","2023","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","80","80","37830","35620"
"In post","2023","Black","Department for Education (excl. agencies)","270","270","41850","38070"
"In post","2023","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","240","235","38030","33830"
"In post","2023","Black","Department for International Trade","170","165","42800","41550"
"In post","2023","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","165","165","42240","39060"
"In post","2023","Black","Department for Transport (excl. agencies)","180","175","43370","39820"
"In post","2023","Black","Department for Work and Pensions (excl. agencies)","3675","3430","30770","31280"
"In post","2023","Black","Department of Health and Social Care (excl. agencies)","155","150","43880","38120"
"In post","2023","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Driver and Vehicle Licensing Agency","30","30","24970","22500"
"In post","2023","Black","Driver and Vehicle Standards Agency","55","50","33200","31450"
"In post","2023","Black","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Education and Skills Funding Agency","15","15","[c]","[c]"
"In post","2023","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Black","FCDO Services","30","30","39280","32780"
"In post","2023","Black","Food Standards Agency","50","50","36900","33820"
"In post","2023","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Foreign, Commonwealth and Development Office (excl. agencies)","225","220","41430","36650"
"In post","2023","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Black","Government Commercial Organisation","35","35","75690","68000"
"In post","2023","Black","Government Internal Audit Agency","10","10","[c]","[c]"
"In post","2023","Black","Government Legal Department","195","190","43300","38860"
"In post","2023","Black","Government Property Agency","15","15","[c]","[c]"
"In post","2023","Black","HM Courts and Tribunals Service","950","895","28040","25480"
"In post","2023","Black","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Land Registry","70","70","33550","31680"
"In post","2023","Black","HM Prison and Probation Service","2935","2825","33030","32110"
"In post","2023","Black","HM Revenue and Customs (excl. agencies)","2050","1990","35820","34400"
"In post","2023","Black","HM Treasury (excl. agencies)","35","35","40330","32300"
"In post","2023","Black","Health and Safety Executive","35","35","44840","40790"
"In post","2023","Black","Home Office","1830","1725","34340","30250"
"In post","2023","Black","Institute for Apprenticeships and Technical Education","10","10","[c]","[c]"
"In post","2023","Black","Intellectual Property Office","20","20","[c]","[c]"
"In post","2023","Black","Legal Aid Agency","45","40","28850","23000"
"In post","2023","Black","Maritime and Coastguard Agency","10","10","[c]","[c]"
"In post","2023","Black","Medicines and Healthcare Products Regulatory Agency","65","65","40970","41190"
"In post","2023","Black","Met Office","5","5","[c]","[c]"
"In post","2023","Black","Ministry of Defence (excl. agencies)","500","490","36000","33990"
"In post","2023","Black","Ministry of Justice (excl. agencies)","395","390","40410","36940"
"In post","2023","Black","National Crime Agency","105","105","38370","38640"
"In post","2023","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","National Savings and Investments","15","10","[c]","[c]"
"In post","2023","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office for Standards in Education, Children's Services and Skills","75","75","47680","47750"
"In post","2023","Black","Office of Gas and Electricity Markets","115","115","41760","39860"
"In post","2023","Black","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2023","Black","Office of Rail and Road","20","20","[c]","[c]"
"In post","2023","Black","Office of the Public Guardian","90","85","23830","21780"
"In post","2023","Black","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning Inspectorate","15","15","[c]","[c]"
"In post","2023","Black","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","Black","Rural Payments Agency","20","20","[c]","[c]"
"In post","2023","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Government (excl. agencies)","45","45","44220","41640"
"In post","2023","Black","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Prison Service","10","10","[c]","[c]"
"In post","2023","Black","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2023","Black","Serious Fraud Office","25","25","[c]","[c]"
"In post","2023","Black","Social Security Scotland","25","25","[c]","[c]"
"In post","2023","Black","Standards and Testing Agency","5","5","[c]","[c]"
"In post","2023","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","Submarine Delivery Agency","15","15","[c]","[c]"
"In post","2023","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2023","Black","The Insolvency Service","55","55","31450","25880"
"In post","2023","Black","The National Archives","10","10","[c]","[c]"
"In post","2023","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Black","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Black","UK Export Finance","50","50","47210","42970"
"In post","2023","Black","UK Health Security Agency","290","280","42780","36410"
"In post","2023","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Black","UK Space Agency","5","5","[c]","[c]"
"In post","2023","Black","UK Statistics Authority","130","120","33850","31060"
"In post","2023","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Black","Valuation Office Agency","75","70","36160","33160"
"In post","2023","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2023","Black","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Black","Welsh Government (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Black","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Advisory, Conciliation and Arbitration Service","20","15","[c]","[c]"
"In post","2023","Mixed","Animal and Plant Health Agency","55","55","29650","29120"
"In post","2023","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Building Digital UK","10","10","[c]","[c]"
"In post","2023","Mixed","Cabinet Office (excl. agencies)","180","175","48070","42380"
"In post","2023","Mixed","Central Civil Service Fast Stream","115","115","30730","30130"
"In post","2023","Mixed","Centre for Environment, Fisheries and Aquaculture Science","15","15","[c]","[c]"
"In post","2023","Mixed","Charity Commission","10","10","[c]","[c]"
"In post","2023","Mixed","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Competition and Markets Authority","35","35","48980","45190"
"In post","2023","Mixed","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Crown Commercial Service","10","10","[c]","[c]"
"In post","2023","Mixed","Crown Office and Procurator Fiscal Service","15","15","[c]","[c]"
"In post","2023","Mixed","Crown Prosecution Service","230","215","41400","35550"
"In post","2023","Mixed","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Defence Equipment and Support","155","150","36960","32820"
"In post","2023","Mixed","Defence Science and Technology Laboratory","70","70","39940","39890"
"In post","2023","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","255","47710","46410"
"In post","2023","Mixed","Department for Digital, Culture, Media and Sport (excl. agencies)","70","70","47910","52760"
"In post","2023","Mixed","Department for Education (excl. agencies)","180","175","44470","41440"
"In post","2023","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","160","155","43280","40260"
"In post","2023","Mixed","Department for International Trade","110","105","48620","42930"
"In post","2023","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","90","90","45490","40800"
"In post","2023","Mixed","Department for Transport (excl. agencies)","125","120","46620","43750"
"In post","2023","Mixed","Department for Work and Pensions (excl. agencies)","1535","1415","29560","28120"
"In post","2023","Mixed","Department of Health and Social Care (excl. agencies)","95","95","47640","41950"
"In post","2023","Mixed","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Driver and Vehicle Licensing Agency","55","50","25650","22500"
"In post","2023","Mixed","Driver and Vehicle Standards Agency","60","55","30640","30780"
"In post","2023","Mixed","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Education and Skills Funding Agency","20","20","[c]","[c]"
"In post","2023","Mixed","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","FCDO Services","15","15","[c]","[c]"
"In post","2023","Mixed","Food Standards Agency","40","40","40570","38670"
"In post","2023","Mixed","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","265","260","48460","44970"
"In post","2023","Mixed","Forestry and Land Scotland","5","5","[c]","[c]"
"In post","2023","Mixed","Government Actuary's Department","10","5","[c]","[c]"
"In post","2023","Mixed","Government Commercial Organisation","30","30","78800","69870"
"In post","2023","Mixed","Government Internal Audit Agency","10","10","[c]","[c]"
"In post","2023","Mixed","Government Legal Department","95","90","56570","52790"
"In post","2023","Mixed","Government Property Agency","15","15","[c]","[c]"
"In post","2023","Mixed","HM Courts and Tribunals Service","340","310","27610","25480"
"In post","2023","Mixed","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","HM Land Registry","75","70","31710","28080"
"In post","2023","Mixed","HM Prison and Probation Service","1525","1460","32980","31310"
"In post","2023","Mixed","HM Revenue and Customs (excl. agencies)","975","935","37050","34700"
"In post","2023","Mixed","HM Treasury (excl. agencies)","85","85","48140","53550"
"In post","2023","Mixed","Health and Safety Executive","55","50","41770","40790"
"In post","2023","Mixed","Home Office","745","695","35370","30320"
"In post","2023","Mixed","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2023","Mixed","Intellectual Property Office","20","20","[c]","[c]"
"In post","2023","Mixed","Legal Aid Agency","25","25","[c]","[c]"
"In post","2023","Mixed","Maritime and Coastguard Agency","20","20","[c]","[c]"
"In post","2023","Mixed","Medicines and Healthcare Products Regulatory Agency","40","40","45370","42060"
"In post","2023","Mixed","Met Office","45","45","36430","36800"
"In post","2023","Mixed","Ministry of Defence (excl. agencies)","445","430","38960","34300"
"In post","2023","Mixed","Ministry of Justice (excl. agencies)","190","185","45660","43650"
"In post","2023","Mixed","National Crime Agency","110","110","40890","39630"
"In post","2023","Mixed","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","National Savings and Investments","10","10","[c]","[c]"
"In post","2023","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office for Standards in Education, Children's Services and Skills","25","25","[c]","[c]"
"In post","2023","Mixed","Office of Gas and Electricity Markets","60","60","45000","43650"
"In post","2023","Mixed","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","Mixed","Office of Rail and Road","10","10","[c]","[c]"
"In post","2023","Mixed","Office of the Public Guardian","35","35","25860","25830"
"In post","2023","Mixed","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning Inspectorate","10","10","[c]","[c]"
"In post","2023","Mixed","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Registers of Scotland","5","5","[c]","[c]"
"In post","2023","Mixed","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Rural Payments Agency","40","35","25670","22150"
"In post","2023","Mixed","Scottish Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2023","Mixed","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scottish Government (excl. agencies)","90","90","47780","42250"
"In post","2023","Mixed","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scottish Prison Service","5","5","[c]","[c]"
"In post","2023","Mixed","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Serious Fraud Office","15","15","[c]","[c]"
"In post","2023","Mixed","Social Security Scotland","30","30","33280","29100"
"In post","2023","Mixed","Standards and Testing Agency","10","10","[c]","[c]"
"In post","2023","Mixed","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Submarine Delivery Agency","25","25","[c]","[c]"
"In post","2023","Mixed","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","The Insolvency Service","15","15","[c]","[c]"
"In post","2023","Mixed","The National Archives","25","20","[c]","[c]"
"In post","2023","Mixed","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","UK Export Finance","20","20","[c]","[c]"
"In post","2023","Mixed","UK Health Security Agency","120","115","45590","40880"
"In post","2023","Mixed","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","UK Space Agency","5","5","[c]","[c]"
"In post","2023","Mixed","UK Statistics Authority","110","105","35340","31560"
"In post","2023","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Valuation Office Agency","45","40","33950","31540"
"In post","2023","Mixed","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2023","Mixed","Welsh Government (excl. agencies)","70","65","42810","39690"
"In post","2023","Mixed","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Animal and Plant Health Agency","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Cabinet Office (excl. agencies)","55","55","44370","41870"
"In post","2023","Other ethnicity","Central Civil Service Fast Stream","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Crown Commercial Service","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Crown Office and Procurator Fiscal Service","55","55","37760","33120"
"In post","2023","Other ethnicity","Crown Prosecution Service","60","60","41560","36780"
"In post","2023","Other ethnicity","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","51370","54920"
"In post","2023","Other ethnicity","Department for Digital, Culture, Media and Sport (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Department for Education (excl. agencies)","50","50","50360","51360"
"In post","2023","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","43520","38050"
"In post","2023","Other ethnicity","Department for International Trade","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","50020","52160"
"In post","2023","Other ethnicity","Department for Transport (excl. agencies)","35","30","45850","43320"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","450","415","30710","28120"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","30","30","42970","40030"
"In post","2023","Other ethnicity","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","120","115","50050","48180"
