"Status","Year","Age","Disability","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","65+","Declared non-disabled","Human Resources","SEO","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","AO","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","EO","25","25","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","G6","20","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","G7","75","45","59980","58880"
"In post","2023","65+","Declared non-disabled","Legal","HEO","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Legal","SEO","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","No function","AA","700","520","21530","21250"
"In post","2023","65+","Declared non-disabled","No function","AO","2245","1735","23500","22400"
"In post","2023","65+","Declared non-disabled","No function","EO","1810","1315","29240","28120"
"In post","2023","65+","Declared non-disabled","No function","G6","100","75","75470","73100"
"In post","2023","65+","Declared non-disabled","No function","G7","160","130","60210","59290"
"In post","2023","65+","Declared non-disabled","No function","HEO","560","430","36450","35070"
"In post","2023","65+","Declared non-disabled","No function","SCS level","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","No function","SEO","300","240","46310","44700"
"In post","2023","65+","Declared non-disabled","No function","Unknown","355","270","30960","29050"
"In post","2023","65+","Declared non-disabled","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Project Delivery","AO","10","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Project Delivery","EO","30","25","29210","28130"
"In post","2023","65+","Declared non-disabled","Project Delivery","G6","30","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Project Delivery","G7","45","35","57100","56530"
"In post","2023","65+","Declared non-disabled","Project Delivery","HEO","50","40","36350","35010"
"In post","2023","65+","Declared non-disabled","Project Delivery","SCS level","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Project Delivery","SEO","60","50","43750","43350"
"In post","2023","65+","Declared non-disabled","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Property","AA","45","45","19170","18830"
"In post","2023","65+","Declared non-disabled","Property","AO","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Property","EO","50","40","29040","27810"
"In post","2023","65+","Declared non-disabled","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Property","G7","30","25","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Property","HEO","45","40","36020","35020"
"In post","2023","65+","Declared non-disabled","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Property","SEO","50","40","45820","46340"
"In post","2023","65+","Declared non-disabled","Security","AA","110","100","22100","21380"
"In post","2023","65+","Declared non-disabled","Security","AO","55","45","28420","25060"
"In post","2023","65+","Declared non-disabled","Security","EO","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Security","G7","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Security","HEO","20","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Security","SEO","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","AA","20","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","AO","85","70","27090","26220"
"In post","2023","65+","Declared non-disabled","Unknown","EO","70","55","31670","30890"
"In post","2023","65+","Declared non-disabled","Unknown","G6","30","20","75530","76990"
"In post","2023","65+","Declared non-disabled","Unknown","G7","50","40","60490","63900"
"In post","2023","65+","Declared non-disabled","Unknown","HEO","60","45","39500","39690"
"In post","2023","65+","Declared non-disabled","Unknown","SCS level","15","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","SEO","60","45","48400","49370"
"In post","2023","65+","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","AO","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Debt","AO","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","AO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","EO","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","HEO","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Digital, Data & Technology","SEO","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","EO","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Finance","SEO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","AO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","EO","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","HEO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","No function","AA","135","100","22700","23230"
"In post","2023","65+","Undeclared","No function","AO","230","170","25220","22750"
"In post","2023","65+","Undeclared","No function","EO","150","115","29680","28580"
"In post","2023","65+","Undeclared","No function","G6","25","15","[c]","[c]"
"In post","2023","65+","Undeclared","No function","G7","15","15","[c]","[c]"
"In post","2023","65+","Undeclared","No function","HEO","75","60","37270","36990"
"In post","2023","65+","Undeclared","No function","SCS level","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","No function","SEO","35","25","45740","44890"
"In post","2023","65+","Undeclared","No function","Unknown","30","20","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Property","AA","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Property","EO","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Property","G7","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Property","SEO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Security","AA","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","Security","AO","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Security","EO","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","EO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","AO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","EO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","G7","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","HEO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Counter Fraud","SEO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Debt","AO","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Debt","EO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","AO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","EO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","G7","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","HEO","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Digital, Data & Technology","SEO","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Finance","AO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Finance","EO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Finance","G7","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Finance","HEO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Grants Management","AO","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","EO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","HEO","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Legal","AO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Legal","EO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Legal","G6","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Legal","G7","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","No function","AA","125","90","21470","22080"
"In post","2023","65+","Unknown","No function","AO","390","305","23890","22520"
"In post","2023","65+","Unknown","No function","EO","215","160","30890","29730"
"In post","2023","65+","Unknown","No function","G6","20","15","[c]","[c]"
"In post","2023","65+","Unknown","No function","G7","40","30","59530","59290"
"In post","2023","65+","Unknown","No function","HEO","80","60","37650","36730"
"In post","2023","65+","Unknown","No function","SCS level","15","10","[c]","[c]"
"In post","2023","65+","Unknown","No function","SEO","70","55","46120","44930"
"In post","2023","65+","Unknown","No function","Unknown","75","55","30380","29050"
"In post","2023","65+","Unknown","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","G6","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","G7","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","HEO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","SCS level","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","SEO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Project Delivery","Unknown","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Property","AA","30","25","[c]","[c]"
"In post","2023","65+","Unknown","Property","AO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Property","EO","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Property","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Property","HEO","10","5","[c]","[c]"
"In post","2023","65+","Unknown","Property","SEO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Security","AA","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Security","AO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Security","SEO","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","AA","35","30","24570","24890"
"In post","2023","65+","Unknown","Unknown","AO","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","EO","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","G6","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","G7","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","HEO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","SEO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Unknown","25","25","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Digital, Data & Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Digital, Data & Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","No function","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","No function","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","No function","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Digital, Data & Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Digital, Data & Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","No function","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","No function","EO","5","5","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","No function","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Digital, Data & Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Digital, Data & Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","HEO","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Analysis","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Debt","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Finance","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Grants Management","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Legal","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","No function","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","No function","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","No function","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Property","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Analysis","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Debt","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Finance","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Grants Management","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Legal","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","No function","AA","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","No function","AO","25","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","No function","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Property","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Debt","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Finance","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Human Resources","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Legal","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","No function","AA","20","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","No function","AO","55","[c]","22390","21780"
"Leaver CS","2023","16-19","Unknown","No function","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","No function","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
