"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","Tower Hamlets","Female","75","75","47120","43650"
"In post","2023","Commercial","London","Tower Hamlets","Male","85","85","57770","47230"
"In post","2023","Commercial","London","Wandsworth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Westminster","Female","625","610","57210","55740"
"In post","2023","Commercial","London","Westminster","Male","665","660","65730","58460"
"In post","2023","Commercial","North East (England)","Darlington","Female","30","30","45590","39090"
"In post","2023","Commercial","North East (England)","Darlington","Male","15","15","[c]","[c]"
"In post","2023","Commercial","North East (England)","Durham","Female","15","15","[c]","[c]"
"In post","2023","Commercial","North East (England)","Durham","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Sunderland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Sunderland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Tyneside","Female","50","50","42310","37700"
"In post","2023","Commercial","North East (England)","Tyneside","Male","50","50","46380","39580"
"In post","2023","Commercial","North West (England)","Blackpool","Female","110","110","42450","38470"
"In post","2023","Commercial","North West (England)","Blackpool","Male","55","55","44180","38470"
"In post","2023","Commercial","North West (England)","Cheshire East","Female","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Chorley and West Lancashire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","East Merseyside","Female","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","East Merseyside","Male","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester North West","Female","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester South West","Female","70","65","45870","42140"
"In post","2023","Commercial","North West (England)","Greater Manchester South West","Male","70","65","50020","44930"
"In post","2023","Commercial","North West (England)","Lancaster and Wyre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Liverpool","Female","150","150","42230","40090"
"In post","2023","Commercial","North West (England)","Liverpool","Male","90","90","43430","40450"
"In post","2023","Commercial","North West (England)","Manchester","Female","125","120","49210","39090"
"In post","2023","Commercial","North West (England)","Manchester","Male","100","100","51940","43120"
"In post","2023","Commercial","North West (England)","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Mid Lancashire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Sefton","Female","10","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Sefton","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Warrington","Female","20","20","[c]","[c]"
"In post","2023","Commercial","North West (England)","Warrington","Male","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","West Cumbria","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","West Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Wirral","Female","25","20","[c]","[c]"
"In post","2023","Commercial","North West (England)","Wirral","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Lisburn and Castlereagh","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Lisburn and Castlereagh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Mid and East Antrim","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","City of Edinburgh","Female","30","30","[c]","[c]"
"In post","2023","Commercial","Scotland","City of Edinburgh","Male","30","30","45190","43130"
"In post","2023","Commercial","Scotland","Clackmannanshire and Fife","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Clackmannanshire and Fife","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","East Ayrshire and North Ayrshire mainland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","10","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Falkirk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Glasgow City","Female","95","95","39330","34170"
"In post","2023","Commercial","Scotland","Glasgow City","Male","95","90","43980","38470"
"In post","2023","Commercial","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Perth and Kinross, and Stirling","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Perth and Kinross, and Stirling","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","South Ayrshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","South Ayrshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","South Lanarkshire","Female","40","40","50990","46000"
"In post","2023","Commercial","Scotland","South Lanarkshire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Scotland","West Lothian","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","West Lothian","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Buckinghamshire","Female","45","45","41500","43100"
"In post","2023","Commercial","South East (England)","Buckinghamshire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","South East (England)","Central Hampshire","Female","115","110","40600","36920"
"In post","2023","Commercial","South East (England)","Central Hampshire","Male","80","75","46290","40240"
"In post","2023","Commercial","South East (England)","East Kent","Female","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Milton Keynes","Female","40","40","42730","40750"
"In post","2023","Commercial","South East (England)","Milton Keynes","Male","30","30","52360","45600"
"In post","2023","Commercial","South East (England)","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Oxfordshire CC","Female","15","15","[c]","[c]"
"In post","2023","Commercial","South East (England)","Oxfordshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","South East (England)","Portsmouth","Female","40","35","40470","35800"
"In post","2023","Commercial","South East (England)","Portsmouth","Male","25","25","[c]","[c]"
"In post","2023","Commercial","South East (England)","South Hampshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","South Hampshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Southampton","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Southampton","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Surrey","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Surrey","Male","15","15","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Sussex (North East)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Sussex (North East)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","650","610","41250","41800"
"In post","2023","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","600","590","45420","42620"
"In post","2023","Commercial","South West (England)","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Bristol, City of","Female","55","50","47410","38970"
"In post","2023","Commercial","South West (England)","Bristol, City of","Male","40","40","49260","40930"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon CC","Female","30","30","43260","40050"
"In post","2023","Commercial","South West (England)","Devon CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset","Female","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset","Male","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Plymouth","Female","20","20","[c]","[c]"
"In post","2023","Commercial","South West (England)","Plymouth","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","Somerset CC","Female","30","25","[c]","[c]"
"In post","2023","Commercial","South West (England)","Somerset CC","Male","15","15","[c]","[c]"
"In post","2023","Commercial","South West (England)","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Wiltshire","Female","135","125","40380","35800"
"In post","2023","Commercial","South West (England)","Wiltshire","Male","110","110","46730","40580"
"In post","2023","Commercial","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Wales","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Cardiff and Vale of Glamorgan","Female","35","30","41780","38460"
"In post","2023","Commercial","Wales","Cardiff and Vale of Glamorgan","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Wales","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Flintshire and Wrexham","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","Flintshire and Wrexham","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Wales","Isle of Anglesey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Isle of Anglesey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Monmouthshire and Newport","Female","55","55","38800","32730"
"In post","2023","Commercial","Wales","Monmouthshire and Newport","Male","60","60","40270","37760"
"In post","2023","Commercial","Wales","Powys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Powys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Swansea","Female","110","95","34350","31660"
"In post","2023","Commercial","Wales","Swansea","Male","100","95","35710","31660"
"In post","2023","Commercial","West Midlands (England)","Birmingham","Female","65","60","49780","39860"
"In post","2023","Commercial","West Midlands (England)","Birmingham","Male","55","55","54540","43220"
"In post","2023","Commercial","West Midlands (England)","Coventry","Female","25","25","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Coventry","Male","20","20","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Sandwell","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Sandwell","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Shropshire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Shropshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Solihull","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Solihull","Male","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Staffordshire CC","Female","65","65","37230","33910"
"In post","2023","Commercial","West Midlands (England)","Staffordshire CC","Male","70","70","34900","31270"
"In post","2023","Commercial","West Midlands (England)","Stoke-on-Trent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Stoke-on-Trent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Telford and Wrekin","Female","20","20","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Telford and Wrekin","Male","15","15","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Walsall","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Walsall","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Wolverhampton","Male","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Worcestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","East Riding of Yorkshire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Leeds","Female","200","190","45650","38470"
"In post","2023","Commercial","Yorkshire and The Humber","Leeds","Male","165","165","47020","40350"
"In post","2023","Commercial","Yorkshire and The Humber","North Yorkshire CC","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","North Yorkshire CC","Male","10","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","North and North East Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","North and North East Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Sheffield","Female","150","140","41670","38470"
"In post","2023","Commercial","Yorkshire and The Humber","Sheffield","Male","120","120","43470","38470"
"In post","2023","Commercial","Yorkshire and The Humber","Wakefield","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Wakefield","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","York","Female","45","45","46330","51290"
"In post","2023","Commercial","Yorkshire and The Humber","York","Male","30","30","47150","38940"
"In post","2023","Communications","East Midlands (England)","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Lincolnshire CC","Female","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
