"Status","Year","Organisation","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","SEO/HEO","45","45","34680","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","SEO/HEO","30","25","35720","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","EO","15","15","29990","30490"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SEO/HEO","65","60","40510","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","EO","55","50","25450","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","SEO/HEO","65","60","34270","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","EO","55","50","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","SEO/HEO","80","70","35180","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","SEO/HEO","50","45","34940","32830"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","SEO/HEO","15","15","37760","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","SEO/HEO","30","25","35100","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","EO","30","30","25560","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","SEO/HEO","45","40","34410","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","EO","20","15","25740","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","SEO/HEO","45","40","34760","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","EO","20","15","25820","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","SEO/HEO","40","35","35350","34330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","EO","20","20","26330","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","SEO/HEO","25","25","34090","32600"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","EO","40","40","27350","26850"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","SEO/HEO","70","65","34110","33160"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","EO","35","35","31590","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","SEO/HEO","25","25","38240","38060"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","AA/AO","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","EO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","SEO/HEO","10","10","33870","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","AA/AO","150","140","22270","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","EO","70","70","26480","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","G6/G7","15","15","52520","49400"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","SEO/HEO","55","50","33460","31410"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","AA/AO","40","40","22160","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","EO","35","35","26410","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","SEO/HEO","20","20","34150","30480"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","AA/AO","60","60","25300","25340"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","EO","95","95","28330","29080"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","G6/G7","15","15","56960","54330"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","SEO/HEO","105","100","35810","34110"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","AA/AO","180","170","22170","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","EO","105","100","26200","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","G6/G7","10","10","55920","55230"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","SEO/HEO","75","70","33310","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","AA/AO","130","115","22140","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","EO","70","65","26220","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","G6/G7","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","SEO/HEO","70","65","34350","37300"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","AA/AO","95","85","22210","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","EO","65","60","26200","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","G6/G7","10","10","51870","51150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","SEO/HEO","60","60","33390","31220"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","AA/AO","95","95","23430","22430"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","EO","95","90","26580","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","G6/G7","15","15","53740","50820"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","SEO/HEO","60","60","32720","30640"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","South East (England)","SEO/HEO","10","10","40390","40260"
"In post","2023","Animal and Plant Health Agency","Other","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","SEO/HEO","15","10","35580","37300"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
