"Status","Year","Disability","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","Female","320","305","40860","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","Male","525","505","43490","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","265","255","50190","47060"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","215","215","50570","54710"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","70","70","42750","37670"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","40","40","43570","39590"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Female","85","85","50070","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Male","60","60","47720","44540"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","Female","140","125","52400","55020"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","Male","65","65","50480","47230"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","Female","330","305","40980","37590"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","Male","185","185","41600","37590"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","175","170","46150","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","135","135","44950","40710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","345","325","39970","37300"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","215","210","42300","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","Female","115","115","47880","42170"
"In post","2023","Declared disabled","Department for International Trade","London","Male","100","100","48920","41550"
"In post","2023","Declared disabled","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Female","30","30","41530","38050"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","135","130","47820","47120"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","115","115","48190","40990"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","90","90","39550","37540"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","55","55","44180","39660"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","Female","90","90","49500","46600"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","Male","90","90","51940","51100"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Female","1165","1040","34750","32520"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Male","530","505","36460","32520"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Female","10320","8695","27680","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Male","4960","4615","28100","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Female","35","30","33470","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Female","90","85","46710","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Male","35","35","52560","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Female","50","50","44020","40200"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Female","475","380","24580","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Male","210","195","27560","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","London","Male","35","30","32660","31450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Female","150","135","29740","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Male","245","220","30120","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Outside London","Female","35","30","38650","37880"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Outside London","Male","40","35","37010","34050"
"In post","2023","Declared disabled","FCDO Services","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Female","60","60","40420","38380"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Male","60","60","37170","31730"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","185","180","48230","41950"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","160","155","50200","44450"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","40","40","33920","28090"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","55","55","48150","45150"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","80","80","49660","42850"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","London","Female","35","35","73320","67100"
"In post","2023","Declared disabled","Government Commercial Organisation","London","Male","30","30","82100","69040"
"In post","2023","Declared disabled","Government Commercial Organisation","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Outside London","Female","45","40","67330","65500"
"In post","2023","Declared disabled","Government Commercial Organisation","Outside London","Male","55","55","72280","69780"
"In post","2023","Declared disabled","Government Commercial Organisation","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","London","Female","110","105","54880","54910"
"In post","2023","Declared disabled","Government Legal Department","London","Male","80","80","53380","52790"
"In post","2023","Declared disabled","Government Legal Department","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Outside London","Female","15","15","[c]","[c]"
