"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","No function","London","2195","2110","41660","36310"
"In post","2023","Mixed","No function","Outside London","3965","3710","30940","28120"
"In post","2023","Mixed","No function","Overseas","115","115","49190","47380"
"In post","2023","Mixed","No function","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","Project Delivery","London","190","185","50310","45960"
"In post","2023","Mixed","Project Delivery","Outside London","245","240","40240","37420"
"In post","2023","Mixed","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2023","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","London","40","40","40510","37850"
"In post","2023","Mixed","Property","Outside London","80","75","33790","32970"
"In post","2023","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Security","London","40","40","45790","41180"
"In post","2023","Mixed","Security","Outside London","75","75","34030","32640"
"In post","2023","Mixed","Security","Overseas","5","5","[c]","[c]"
"In post","2023","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","London","100","95","35580","32520"
"In post","2023","Mixed","Unknown","Outside London","285","275","42180","38500"
"In post","2023","Mixed","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Analysis","London","60","60","50830","45950"
"In post","2023","Other ethnicity","Analysis","Outside London","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Communications","London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Counter Fraud","London","35","35","35260","32520"
"In post","2023","Other ethnicity","Counter Fraud","Outside London","40","35","30470","28130"
"In post","2023","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Debt","London","15","10","[c]","[c]"
"In post","2023","Other ethnicity","Debt","Outside London","35","30","23030","22520"
"In post","2023","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Digital, Data & Technology","London","65","65","49100","45560"
