"Status","Year","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office (excl. agencies)","LGBO","455","450","45950","41870"
"In post","2023","Cabinet Office (excl. agencies)","Undeclared","440","425","49320","50990"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","1005","980","49050","41870"
"In post","2023","Central Civil Service Fast Stream","Heterosexual / straight","375","375","32520","32960"
"In post","2023","Central Civil Service Fast Stream","LGBO","70","70","32120","32960"
"In post","2023","Central Civil Service Fast Stream","Undeclared","50","50","32510","32960"
"In post","2023","Central Civil Service Fast Stream","Unknown","1170","1165","29970","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","270","255","36420","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","LGBO","30","30","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","35","30","37040","37300"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Unknown","325","310","35770","30820"
"In post","2023","Charity Commission","Heterosexual / straight","280","265","36650","30170"
"In post","2023","Charity Commission","LGBO","25","25","[c]","[c]"
"In post","2023","Charity Commission","Undeclared","15","15","[c]","[c]"
"In post","2023","Charity Commission","Unknown","180","170","34910","30170"
"In post","2023","Companies House","Heterosexual / straight","870","815","33010","28070"
"In post","2023","Companies House","LGBO","45","40","30440","25610"
"In post","2023","Companies House","Undeclared","100","95","33490","28070"
"In post","2023","Companies House","Unknown","195","175","30090","25610"
"In post","2023","Competition and Markets Authority","Heterosexual / straight","735","710","62070","58000"
"In post","2023","Competition and Markets Authority","LGBO","70","65","60060","57790"
"In post","2023","Competition and Markets Authority","Undeclared","85","80","66160","61670"
"In post","2023","Competition and Markets Authority","Unknown","20","20","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Heterosexual / straight","205","190","29060","25830"
"In post","2023","Criminal Injuries Compensation Authority","LGBO","25","25","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Undeclared","20","20","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Unknown","85","80","26060","21780"
"In post","2023","Crown Commercial Service","Heterosexual / straight","580","565","41910","40450"
"In post","2023","Crown Commercial Service","LGBO","35","35","39500","39860"
"In post","2023","Crown Commercial Service","Undeclared","30","30","[c]","[c]"
"In post","2023","Crown Commercial Service","Unknown","120","115","40570","40450"
"In post","2023","Crown Office and Procurator Fiscal Service","Heterosexual / straight","2090","1970","39520","33120"
"In post","2023","Crown Office and Procurator Fiscal Service","LGBO","125","125","36890","30440"
"In post","2023","Crown Office and Procurator Fiscal Service","Undeclared","130","120","43760","37940"
"In post","2023","Crown Office and Procurator Fiscal Service","Unknown","110","100","47560","46400"
"In post","2023","Crown Prosecution Service","Heterosexual / straight","5630","5310","41500","36780"
"In post","2023","Crown Prosecution Service","LGBO","350","340","38860","30560"
"In post","2023","Crown Prosecution Service","Undeclared","255","245","40240","33720"
"In post","2023","Crown Prosecution Service","Unknown","1280","1145","44900","49050"
"In post","2023","Defence Electronics and Components Agency","Heterosexual / straight","175","170","30260","27250"
"In post","2023","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Undeclared","260","245","30110","30060"
"In post","2023","Defence Electronics and Components Agency","Unknown","10","10","[c]","[c]"
"In post","2023","Defence Equipment and Support","Heterosexual / straight","8505","8185","39780","38790"
"In post","2023","Defence Equipment and Support","LGBO","270","265","36580","33380"
"In post","2023","Defence Equipment and Support","Undeclared","1055","1010","41090","40680"
"In post","2023","Defence Equipment and Support","Unknown","890","860","33960","31920"
"In post","2023","Defence Science and Technology Laboratory","Heterosexual / straight","3420","3280","43040","39890"
"In post","2023","Defence Science and Technology Laboratory","LGBO","220","220","36300","30650"
"In post","2023","Defence Science and Technology Laboratory","Undeclared","90","90","40880","39890"
"In post","2023","Defence Science and Technology Laboratory","Unknown","1230","1190","42430","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","4510","4405","50810","53310"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","515","510","48530","46360"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","560","545","51650","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","700","690","47490","41790"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Heterosexual / straight","1215","1185","50320","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","LGBO","205","205","47910","51910"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Undeclared","130","130","45740","40290"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","160","155","46590","42200"
"In post","2023","Department for Education (excl. agencies)","Heterosexual / straight","5425","5220","45840","42050"
"In post","2023","Department for Education (excl. agencies)","LGBO","465","455","44820","41440"
"In post","2023","Department for Education (excl. agencies)","Undeclared","555","540","45870","42710"
"In post","2023","Department for Education (excl. agencies)","Unknown","715","685","46410","42170"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","4675","4515","43830","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","425","415","44100","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","460","445","42740","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","775","745","43190","40260"
"In post","2023","Department for International Trade","Heterosexual / straight","2190","2155","48800","43390"
"In post","2023","Department for International Trade","LGBO","255","255","47270","41550"
"In post","2023","Department for International Trade","Undeclared","185","180","49140","47120"
"In post","2023","Department for International Trade","Unknown","905","895","48060","42460"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","2445","2375","48290","49700"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","300","300","47090","43750"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","240","235","47240","43690"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","265","260","47810","41720"
"In post","2023","Department for Transport (excl. agencies)","Heterosexual / straight","2475","2405","51940","50340"
"In post","2023","Department for Transport (excl. agencies)","LGBO","285","280","49980","47420"
"In post","2023","Department for Transport (excl. agencies)","Undeclared","280","265","53120","50340"
"In post","2023","Department for Transport (excl. agencies)","Unknown","760","740","46790","43750"
"In post","2023","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","59955","53875","29680","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","LGBO","3750","3565","29660","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Undeclared","7105","6280","28730","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","14135","12210","28820","28120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","2155","2070","50450","50830"
"In post","2023","Department of Health and Social Care (excl. agencies)","LGBO","260","255","49510","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Undeclared","1250","1215","47910","45020"
"In post","2023","Disclosure Scotland","Heterosexual / straight","210","200","33620","27740"
"In post","2023","Disclosure Scotland","LGBO","20","20","[c]","[c]"
"In post","2023","Disclosure Scotland","Undeclared","15","10","[c]","[c]"
"In post","2023","Disclosure Scotland","Unknown","120","115","27310","24890"
"In post","2023","Driver and Vehicle Licensing Agency","Heterosexual / straight","4085","3680","28020","22500"
"In post","2023","Driver and Vehicle Licensing Agency","LGBO","220","210","24950","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Undeclared","1250","1040","26390","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Unknown","675","605","26040","22500"
"In post","2023","Driver and Vehicle Standards Agency","Heterosexual / straight","2845","2690","31110","28590"
"In post","2023","Driver and Vehicle Standards Agency","LGBO","160","155","30170","27450"
"In post","2023","Driver and Vehicle Standards Agency","Undeclared","765","685","30320","27450"
"In post","2023","Driver and Vehicle Standards Agency","Unknown","1130","1085","28100","27260"
"In post","2023","Education Scotland","Heterosexual / straight","205","200","62870","69410"
"In post","2023","Education Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Education Scotland","Undeclared","10","5","[c]","[c]"
"In post","2023","Education Scotland","Unknown","140","135","55490","54870"
"In post","2023","Education and Skills Funding Agency","Heterosexual / straight","560","540","42860","38070"
"In post","2023","Education and Skills Funding Agency","LGBO","50","45","38190","37590"
"In post","2023","Education and Skills Funding Agency","Undeclared","55","55","44380","41870"
"In post","2023","Education and Skills Funding Agency","Unknown","110","105","42630","39520"
"In post","2023","Estyn","Heterosexual / straight","105","100","60660","78500"
"In post","2023","Estyn","LGBO","10","5","[c]","[c]"
"In post","2023","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Unknown","10","10","[c]","[c]"
"In post","2023","FCDO Services","Heterosexual / straight","855","825","42420","38920"
"In post","2023","FCDO Services","LGBO","40","40","36570","29400"
"In post","2023","FCDO Services","Undeclared","85","80","46630","43750"
"In post","2023","FCDO Services","Unknown","135","135","39280","37570"
"In post","2023","Food Standards Agency","Heterosexual / straight","1075","1045","39910","38100"
"In post","2023","Food Standards Agency","LGBO","75","75","41020","37720"
"In post","2023","Food Standards Agency","Undeclared","130","125","40930","38670"
"In post","2023","Food Standards Agency","Unknown","300","285","34150","29430"
"In post","2023","Food Standards Scotland","Heterosexual / straight","160","155","39120","34730"
"In post","2023","Food Standards Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","Undeclared","10","10","[c]","[c]"
"In post","2023","Food Standards Scotland","Unknown","105","100","38340","34730"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","4640","4545","51120","49960"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","395","390","50240","49740"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","55","50","55320","54260"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","2515","2475","49770","49940"
"In post","2023","Forestry and Land Scotland","Heterosexual / straight","500","480","34890","32220"
"In post","2023","Forestry and Land Scotland","LGBO","25","25","[c]","[c]"
"In post","2023","Forestry and Land Scotland","Undeclared","35","35","33620","32220"
"In post","2023","Forestry and Land Scotland","Unknown","540","520","34150","32220"
"In post","2023","Government Actuary's Department","Heterosexual / straight","170","160","69710","67430"
"In post","2023","Government Actuary's Department","LGBO","5","5","[c]","[c]"
"In post","2023","Government Actuary's Department","Undeclared","25","25","[c]","[c]"
"In post","2023","Government Actuary's Department","Unknown","15","15","[c]","[c]"
"In post","2023","Government Commercial Organisation","Heterosexual / straight","960","950","76810","69150"
"In post","2023","Government Commercial Organisation","LGBO","50","50","73360","67200"
"In post","2023","Government Commercial Organisation","Undeclared","75","75","71120","65500"
"In post","2023","Government Commercial Organisation","Unknown","410","405","69580","65500"
"In post","2023","Government Internal Audit Agency","Heterosexual / straight","405","385","49640","48100"
"In post","2023","Government Internal Audit Agency","LGBO","25","25","[c]","[c]"
"In post","2023","Government Internal Audit Agency","Undeclared","50","50","51350","47160"
"In post","2023","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Government Legal Department","Heterosexual / straight","1785","1665","54720","52790"
"In post","2023","Government Legal Department","LGBO","165","160","55140","52790"
"In post","2023","Government Legal Department","Undeclared","185","175","55540","54320"
"In post","2023","Government Legal Department","Unknown","540","495","59490","65650"
"In post","2023","Government Property Agency","Heterosexual / straight","320","315","50010","51020"
"In post","2023","Government Property Agency","LGBO","20","20","[c]","[c]"
"In post","2023","Government Property Agency","Undeclared","15","15","[c]","[c]"
"In post","2023","Government Property Agency","Unknown","40","40","55130","51020"
"In post","2023","HM Courts and Tribunals Service","Heterosexual / straight","11740","10550","27800","25480"
"In post","2023","HM Courts and Tribunals Service","LGBO","620","595","27790","21780"
"In post","2023","HM Courts and Tribunals Service","Undeclared","1860","1680","28160","25480"
"In post","2023","HM Courts and Tribunals Service","Unknown","1605","1490","27320","23000"
"In post","2023","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Unknown","15","15","[c]","[c]"
"In post","2023","HM Land Registry","Heterosexual / straight","3870","3495","33500","28080"
"In post","2023","HM Land Registry","LGBO","190","180","30690","28080"
"In post","2023","HM Land Registry","Undeclared","640","555","34390","34850"
"In post","2023","HM Land Registry","Unknown","2020","1865","30300","28080"
"In post","2023","HM Prison and Probation Service","Heterosexual / straight","46650","44085","32550","30880"
"In post","2023","HM Prison and Probation Service","LGBO","3735","3635","31850","30810"
"In post","2023","HM Prison and Probation Service","Undeclared","4190","3900","34140","32920"
"In post","2023","HM Prison and Probation Service","Unknown","11170","10345","30290","29050"
"In post","2023","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","40940","38270","36750","34700"
"In post","2023","HM Revenue and Customs (excl. agencies)","LGBO","2945","2845","35650","34400"
"In post","2023","HM Revenue and Customs (excl. agencies)","Undeclared","4540","4170","37080","34700"
"In post","2023","HM Revenue and Customs (excl. agencies)","Unknown","19970","18450","31900","28130"
"In post","2023","HM Treasury (excl. agencies)","Heterosexual / straight","1530","1500","48110","53550"
"In post","2023","HM Treasury (excl. agencies)","LGBO","185","185","46190","39460"
"In post","2023","HM Treasury (excl. agencies)","Undeclared","240","235","45750","41430"
"In post","2023","HM Treasury (excl. agencies)","Unknown","55","50","49410","43320"
"In post","2023","Health and Safety Executive","Heterosexual / straight","2045","1940","43630","40790"
"In post","2023","Health and Safety Executive","LGBO","140","135","38800","32800"
"In post","2023","Health and Safety Executive","Undeclared","405","385","44570","42470"
"In post","2023","Health and Safety Executive","Unknown","240","225","43450","40790"
"In post","2023","Home Office","Heterosexual / straight","27355","25525","34190","29890"
"In post","2023","Home Office","LGBO","1365","1330","35020","29980"
"In post","2023","Home Office","Undeclared","3690","3390","34530","30200"
"In post","2023","Home Office","Unknown","10715","10340","29780","25880"
"In post","2023","Institute for Apprenticeships and Technical Education","Heterosexual / straight","235","225","49590","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","LGBO","15","15","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Undeclared","15","15","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Unknown","70","70","45730","51460"
"In post","2023","Intellectual Property Office","Heterosexual / straight","1035","975","41480","41240"
"In post","2023","Intellectual Property Office","LGBO","70","70","35780","31750"
"In post","2023","Intellectual Property Office","Undeclared","85","85","46130","43400"
"In post","2023","Intellectual Property Office","Unknown","505","475","39610","33190"
"In post","2023","Legal Aid Agency","Heterosexual / straight","910","845","31330","25830"
"In post","2023","Legal Aid Agency","LGBO","50","50","30090","25830"
"In post","2023","Legal Aid Agency","Undeclared","110","105","30900","25830"
"In post","2023","Legal Aid Agency","Unknown","110","105","26230","21780"
"In post","2023","Maritime and Coastguard Agency","Heterosexual / straight","885","855","36090","31940"
"In post","2023","Maritime and Coastguard Agency","LGBO","45","45","36770","31660"
"In post","2023","Maritime and Coastguard Agency","Undeclared","145","140","36520","32950"
"In post","2023","Maritime and Coastguard Agency","Unknown","125","125","29760","26780"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","825","810","48670","42060"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","LGBO","50","50","47830","42180"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Undeclared","140","135","53280","54030"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Unknown","165","155","53380","46550"
"In post","2023","Met Office","Heterosexual / straight","1765","1680","39890","39650"
"In post","2023","Met Office","LGBO","130","130","34680","35230"
"In post","2023","Met Office","Undeclared","400","375","38790","39650"
"In post","2023","Ministry of Defence (excl. agencies)","Heterosexual / straight","27735","26790","34750","32700"
"In post","2023","Ministry of Defence (excl. agencies)","LGBO","830","815","36000","33990"
"In post","2023","Ministry of Defence (excl. agencies)","Undeclared","3715","3580","36250","34300"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","5050","4890","35120","30200"
"In post","2023","Ministry of Justice (excl. agencies)","Heterosexual / straight","4715","4585","44380","41510"
"In post","2023","Ministry of Justice (excl. agencies)","LGBO","470","465","44860","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Undeclared","510","495","45570","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","1440","1410","41460","37680"
"In post","2023","National Crime Agency","Heterosexual / straight","4355","4235","42690","40440"
"In post","2023","National Crime Agency","LGBO","235","230","40530","38310"
"In post","2023","National Crime Agency","Undeclared","350","345","41840","39770"
"In post","2023","National Crime Agency","Unknown","630","605","43770","42110"
"In post","2023","National Infrastructure Commission","Heterosexual / straight","40","40","56860","54570"
"In post","2023","National Infrastructure Commission","LGBO","5","5","[c]","[c]"
"In post","2023","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","Heterosexual / straight","180","175","42560","38330"
"In post","2023","National Records of Scotland","LGBO","20","20","[c]","[c]"
"In post","2023","National Records of Scotland","Undeclared","15","15","[c]","[c]"
"In post","2023","National Records of Scotland","Unknown","240","225","34600","29100"
"In post","2023","National Savings and Investments","Heterosexual / straight","145","145","50730","46000"
"In post","2023","National Savings and Investments","LGBO","10","10","[c]","[c]"
"In post","2023","National Savings and Investments","Undeclared","55","55","57210","51130"
"In post","2023","Northern Ireland Office","Heterosexual / straight","105","100","47150","43650"
"In post","2023","Northern Ireland Office","LGBO","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","Undeclared","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","Unknown","45","45","46230","37680"
"In post","2023","Office for Budget Responsibility","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Office for Budget Responsibility","LGBO","5","5","[c]","[c]"
"In post","2023","Office for Budget Responsibility","Undeclared","5","5","[c]","[c]"
"In post","2023","Office for Budget Responsibility","Unknown","5","5","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1685","1635","53120","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","LGBO","145","145","50960","47750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Undeclared","105","100","49240","42650"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Unknown","100","95","42920","33130"
"In post","2023","Office of Gas and Electricity Markets","Heterosexual / straight","970","960","44350","41280"
"In post","2023","Office of Gas and Electricity Markets","LGBO","130","130","37660","33200"
"In post","2023","Office of Gas and Electricity Markets","Undeclared","90","90","45980","45000"
"In post","2023","Office of Gas and Electricity Markets","Unknown","365","355","51880","47800"
"In post","2023","Office of Qualifications and Examinations Regulation","Heterosexual / straight","275","265","44750","40960"
"In post","2023","Office of Qualifications and Examinations Regulation","LGBO","15","15","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Undeclared","40","35","42590","39140"
"In post","2023","Office of Qualifications and Examinations Regulation","Unknown","15","15","[c]","[c]"
"In post","2023","Office of Rail and Road","Heterosexual / straight","245","240","54550","54650"
"In post","2023","Office of Rail and Road","LGBO","20","20","[c]","[c]"
"In post","2023","Office of Rail and Road","Undeclared","35","35","54890","57700"
"In post","2023","Office of Rail and Road","Unknown","65","60","61130","60320"
"In post","2023","Office of the Public Guardian","Heterosexual / straight","1090","1010","24970","21780"
"In post","2023","Office of the Public Guardian","LGBO","70","65","25780","25830"
"In post","2023","Office of the Public Guardian","Undeclared","115","105","25720","21780"
"In post","2023","Office of the Public Guardian","Unknown","375","350","23320","21780"
"In post","2023","Office of the Scottish Charity Regulator","Heterosexual / straight","35","30","40650","33520"
"In post","2023","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Unknown","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","50","45","56900","55720"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Undeclared","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","70","65","47910","52060"
"In post","2023","Office of the Secretary of State for Wales","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","LGBO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Unknown","10","10","[c]","[c]"
"In post","2023","Planning Inspectorate","Heterosexual / straight","635","580","48390","48660"
"In post","2023","Planning Inspectorate","LGBO","30","30","45400","43740"
"In post","2023","Planning Inspectorate","Undeclared","80","70","46280","48660"
"In post","2023","Planning Inspectorate","Unknown","140","120","38160","33450"
"In post","2023","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","Unknown","40","40","42100","39000"
"In post","2023","Registers of Scotland","Heterosexual / straight","680","660","36880","32510"
"In post","2023","Registers of Scotland","LGBO","40","40","37250","32510"
"In post","2023","Registers of Scotland","Undeclared","70","65","37130","32510"
"In post","2023","Registers of Scotland","Unknown","395","370","33440","32510"
"In post","2023","Revenue Scotland","Heterosexual / straight","50","50","44740","38330"
"In post","2023","Revenue Scotland","LGBO","10","10","[c]","[c]"
"In post","2023","Revenue Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Revenue Scotland","Unknown","20","20","[c]","[c]"
"In post","2023","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Royal Fleet Auxiliary","Unknown","1695","1695","41950","40010"
"In post","2023","Rural Payments Agency","Heterosexual / straight","1830","1685","27080","22150"
"In post","2023","Rural Payments Agency","LGBO","160","155","26340","22150"
"In post","2023","Rural Payments Agency","Undeclared","260","240","26340","22150"
"In post","2023","Rural Payments Agency","Unknown","565","520","27270","22150"
"In post","2023","Scottish Courts and Tribunals Service","Heterosexual / straight","690","645","32340","28540"
"In post","2023","Scottish Courts and Tribunals Service","LGBO","55","50","29440","25060"
"In post","2023","Scottish Courts and Tribunals Service","Undeclared","30","25","[c]","[c]"
"In post","2023","Scottish Courts and Tribunals Service","Unknown","1190","1065","29450","25060"
"In post","2023","Scottish Fiscal Commission","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","LGBO","5","5","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Unknown","5","5","[c]","[c]"
"In post","2023","Scottish Forestry","Heterosexual / straight","120","115","38660","38530"
"In post","2023","Scottish Forestry","LGBO","10","10","[c]","[c]"
"In post","2023","Scottish Forestry","Undeclared","10","10","[c]","[c]"
"In post","2023","Scottish Forestry","Unknown","85","80","38820","38210"
"In post","2023","Scottish Government (excl. agencies)","Heterosexual / straight","5650","5415","48390","44890"
"In post","2023","Scottish Government (excl. agencies)","LGBO","565","550","45420","41640"
"In post","2023","Scottish Government (excl. agencies)","Undeclared","385","370","48620","44890"
"In post","2023","Scottish Government (excl. agencies)","Unknown","2575","2465","44400","39650"
"In post","2023","Scottish Housing Regulator","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Scottish Housing Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Unknown","15","15","[c]","[c]"
"In post","2023","Scottish Prison Service","Heterosexual / straight","1440","1340","37720","37060"
"In post","2023","Scottish Prison Service","LGBO","95","90","35580","37060"
"In post","2023","Scottish Prison Service","Undeclared","55","50","38180","37060"
"In post","2023","Scottish Prison Service","Unknown","2950","2780","33660","34070"
"In post","2023","Scottish Public Pensions Agency","Heterosexual / straight","145","135","34530","29450"
"In post","2023","Scottish Public Pensions Agency","LGBO","5","5","[c]","[c]"
"In post","2023","Scottish Public Pensions Agency","Undeclared","5","5","[c]","[c]"
"In post","2023","Scottish Public Pensions Agency","Unknown","210","200","30240","27740"
"In post","2023","Serious Fraud Office","Heterosexual / straight","350","340","47730","41800"
"In post","2023","Serious Fraud Office","LGBO","20","20","[c]","[c]"
"In post","2023","Serious Fraud Office","Undeclared","30","30","53250","54230"
"In post","2023","Serious Fraud Office","Unknown","60","60","51180","43750"
"In post","2023","Social Security Scotland","Heterosexual / straight","2000","1920","33690","29450"
"In post","2023","Social Security Scotland","LGBO","255","245","30510","29100"
"In post","2023","Social Security Scotland","Undeclared","85","85","33660","29450"
"In post","2023","Social Security Scotland","Unknown","1685","1605","28850","29100"
"In post","2023","Standards and Testing Agency","Heterosexual / straight","110","105","43060","38510"
"In post","2023","Standards and Testing Agency","LGBO","5","5","[c]","[c]"
"In post","2023","Standards and Testing Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Student Awards Agency for Scotland","Heterosexual / straight","95","90","35570","33520"
"In post","2023","Student Awards Agency for Scotland","LGBO","5","5","[c]","[c]"
"In post","2023","Student Awards Agency for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Student Awards Agency for Scotland","Unknown","160","155","31470","27740"
