"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","HEO","15","15","38090","39040"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G7","15","15","57090","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Social Research","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Statistics","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","G6","10","10","67600","65990"
"In post","2023","Analysis","Department for Education","Economics","G7","25","25","54900","55020"
"In post","2023","Analysis","Department for Education","Economics","HEO","15","15","36370","37870"
"In post","2023","Analysis","Department for Education","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Economics","SEO","20","20","45430","46600"
"In post","2023","Analysis","Department for Education","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","G7","30","25","54740","52150"
"In post","2023","Analysis","Department for Education","Operational Research","HEO","20","20","35000","34020"
"In post","2023","Analysis","Department for Education","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Operational Research","SEO","30","30","45150","45170"
"In post","2023","Analysis","Department for Education","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","G7","35","30","54540","55020"
"In post","2023","Analysis","Department for Education","Social Research","HEO","20","20","34520","33950"
"In post","2023","Analysis","Department for Education","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Social Research","SEO","65","60","44460","43250"
"In post","2023","Analysis","Department for Education","Statistics","EO","10","10","30130","30560"
"In post","2023","Analysis","Department for Education","Statistics","G6","15","15","65670","65780"
"In post","2023","Analysis","Department for Education","Statistics","G7","60","55","53830","52150"
"In post","2023","Analysis","Department for Education","Statistics","HEO","65","60","34570","33990"
"In post","2023","Analysis","Department for Education","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Statistics","SEO","115","110","43220","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","15","15","26060","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","HEO","15","15","30350","30320"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","EO","10","10","25980","25940"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","HEO","10","10","30470","30330"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Other","SEO","10","10","38200","37310"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","AO","15","15","21630","22150"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","95","90","26000","25920"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G6","20","20","62940","60300"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G7","70","65","49950","49400"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","HEO","140","135","30560","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO","110","105","37770","37310"
"In post","2023","Analysis","Department for International Trade","Economics","EO","15","15","29100","29280"
"In post","2023","Analysis","Department for International Trade","Economics","G6","15","15","68010","67080"
"In post","2023","Analysis","Department for International Trade","Economics","G7","60","60","56380","55500"
"In post","2023","Analysis","Department for International Trade","Economics","HEO","35","35","35170","35010"
"In post","2023","Analysis","Department for International Trade","Economics","SCS level","10","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Policy","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","G7","10","10","57140","55870"
"In post","2023","Analysis","Department for International Trade","Social Research","HEO","10","10","34710","35010"
"In post","2023","Analysis","Department for International Trade","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Social Research","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","G7","20","20","57550","55430"
"In post","2023","Analysis","Department for International Trade","Statistics","HEO","10","10","34440","35010"
"In post","2023","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Statistics","SEO","15","15","43410","42620"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","G7","25","25","55010","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","HEO","10","10","33520","34310"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","G7","20","20","55180","54870"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","EO","15","15","29280","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G6","15","10","69040","70090"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","G7","55","50","55880","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","HEO","45","45","33110","33880"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Statistics","SEO","25","25","42240","43840"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","G6","25","25","69620","68460"
"In post","2023","Analysis","Department for Transport","Economics","G7","75","75","56190","55740"
"In post","2023","Analysis","Department for Transport","Economics","HEO","45","45","32940","34000"
"In post","2023","Analysis","Department for Transport","Economics","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Economics","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","AO","15","15","22500","22500"
"In post","2023","Analysis","Department for Transport","Operational Research","EO","10","10","27530","27320"
"In post","2023","Analysis","Department for Transport","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","HEO","20","20","34630","34550"
"In post","2023","Analysis","Department for Transport","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Operational Research","SEO","10","10","41430","40570"
"In post","2023","Analysis","Department for Transport","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","G7","20","15","57190","56340"
"In post","2023","Analysis","Department for Transport","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Other","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","G7","20","20","56530","55740"
"In post","2023","Analysis","Department for Transport","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Social Research","SEO","20","15","43020","43480"
"In post","2023","Analysis","Department for Transport","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","EO","15","15","30530","31070"
"In post","2023","Analysis","Department for Transport","Statistics","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","G7","20","20","56840","55740"
"In post","2023","Analysis","Department for Transport","Statistics","HEO","15","15","36790","36070"
"In post","2023","Analysis","Department for Transport","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Statistics","SEO","20","20","43690","43750"
"In post","2023","Analysis","Department for Transport","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Economics","G7","15","15","57380","58370"
"In post","2023","Analysis","Department for Work and Pensions","Economics","HEO","15","15","37050","39150"
"In post","2023","Analysis","Department for Work and Pensions","Economics","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","HEO","10","10","34080","34170"
"In post","2023","Analysis","Department for Work and Pensions","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","HEO","15","15","34880","34170"
"In post","2023","Analysis","Department for Work and Pensions","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Operational Research","G7","10","10","[c]","[c]"
