"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","FCDO Services","830","805","43520","40750"
"In post","2023","Declared non-disabled","Food Standards Agency","975","940","38960","33820"
"In post","2023","Declared non-disabled","Food Standards Scotland","135","135","38690","34730"
"In post","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","3540","3480","51090","47220"
"In post","2023","Declared non-disabled","Forestry and Land Scotland","985","950","34790","32220"
"In post","2023","Declared non-disabled","Government Actuary's Department","160","150","71960","67430"
"In post","2023","Declared non-disabled","Government Commercial Organisation","1030","1020","74570","67200"
"In post","2023","Declared non-disabled","Government Internal Audit Agency","360","340","50360","48780"
"In post","2023","Declared non-disabled","Government Legal Department","1970","1835","55440","52790"
"In post","2023","Declared non-disabled","Government Property Agency","285","280","50070","51020"
"In post","2023","Declared non-disabled","HM Courts and Tribunals Service","10965","9865","28160","25480"
"In post","2023","Declared non-disabled","HM Crown Prosecution Service Inspectorate","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","HM Land Registry","3980","3545","34040","32690"
"In post","2023","Declared non-disabled","HM Prison and Probation Service","42610","40375","32640","30940"
"In post","2023","Declared non-disabled","HM Revenue and Customs (excl. agencies)","40605","38000","36720","34700"
"In post","2023","Declared non-disabled","HM Treasury (excl. agencies)","1335","1305","48540","53550"
"In post","2023","Declared non-disabled","Health and Safety Executive","2190","2080","44030","40840"
"In post","2023","Declared non-disabled","Home Office","24730","22980","34560","30200"
"In post","2023","Declared non-disabled","Institute for Apprenticeships and Technical Education","240","235","49680","51460"
"In post","2023","Declared non-disabled","Intellectual Property Office","1160","1085","41930","41240"
"In post","2023","Declared non-disabled","Legal Aid Agency","825","770","31590","25830"
"In post","2023","Declared non-disabled","Maritime and Coastguard Agency","755","725","37630","32950"
"In post","2023","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","385","375","55240","54460"
"In post","2023","Declared non-disabled","Met Office","2055","1955","39830","39650"
"In post","2023","Declared non-disabled","Ministry of Defence (excl. agencies)","22805","22045","35130","33830"
"In post","2023","Declared non-disabled","Ministry of Justice (excl. agencies)","4510","4385","44820","43010"
"In post","2023","Declared non-disabled","National Crime Agency","1530","1475","45440","44610"
"In post","2023","Declared non-disabled","National Infrastructure Commission","35","35","58540","54830"
"In post","2023","Declared non-disabled","National Records of Scotland","190","175","40800","38330"
"In post","2023","Declared non-disabled","National Savings and Investments","185","185","52740","47000"
"In post","2023","Declared non-disabled","Northern Ireland Office","95","95","46790","41510"
"In post","2023","Declared non-disabled","Office for Budget Responsibility","30","30","53100","54130"
"In post","2023","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","1710","1655","53440","52750"
"In post","2023","Declared non-disabled","Office of Gas and Electricity Markets","1330","1310","46130","43460"
"In post","2023","Declared non-disabled","Office of Qualifications and Examinations Regulation","270","260","44940","40240"
"In post","2023","Declared non-disabled","Office of Rail and Road","75","75","53420","51830"
"In post","2023","Declared non-disabled","Office of the Public Guardian","950","880","24960","21780"
"In post","2023","Declared non-disabled","Office of the Scottish Charity Regulator","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40","40","58190","55720"
"In post","2023","Declared non-disabled","Office of the Secretary of State for Wales","30","30","52710","51770"
"In post","2023","Declared non-disabled","Planning Inspectorate","665","605","47630","48660"
"In post","2023","Declared non-disabled","Queen Elizabeth II Centre","40","40","42330","39000"
"In post","2023","Declared non-disabled","Registers of Scotland","595","580","37210","32510"
"In post","2023","Declared non-disabled","Revenue Scotland","45","40","46710","42860"
"In post","2023","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Rural Payments Agency","1510","1400","27260","25920"
"In post","2023","Declared non-disabled","Scottish Courts and Tribunals Service","820","770","31000","25060"
"In post","2023","Declared non-disabled","Scottish Fiscal Commission","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Scottish Forestry","190","185","37950","38210"
"In post","2023","Declared non-disabled","Scottish Government (excl. agencies)","4915","4705","48600","43330"
"In post","2023","Declared non-disabled","Scottish Housing Regulator","30","30","57160","60070"
"In post","2023","Declared non-disabled","Scottish Prison Service","65","60","42510","37060"
"In post","2023","Declared non-disabled","Scottish Public Pensions Agency","125","115","35260","31940"
"In post","2023","Declared non-disabled","Serious Fraud Office","330","320","47930","42200"
"In post","2023","Declared non-disabled","Social Security Scotland","1615","1565","33680","29450"
"In post","2023","Declared non-disabled","Standards and Testing Agency","100","95","44280","42940"
"In post","2023","Declared non-disabled","Student Awards Agency for Scotland","95","95","36980","34100"
"In post","2023","Declared non-disabled","Submarine Delivery Agency","1390","1355","44200","42230"
"In post","2023","Declared non-disabled","Teaching Regulation Agency","50","50","34130","30330"
"In post","2023","Declared non-disabled","The Insolvency Service","1005","945","36390","34870"
"In post","2023","Declared non-disabled","The National Archives","355","340","38680","35470"
"In post","2023","Declared non-disabled","Transport Scotland","265","255","50520","49860"
"In post","2023","Declared non-disabled","UK Debt Management Office","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","UK Export Finance","445","440","54970","52000"
"In post","2023","Declared non-disabled","UK Health Security Agency","2560","2420","44770","39100"
"In post","2023","Declared non-disabled","UK Hydrographic Office","555","530","37920","34370"
"In post","2023","Declared non-disabled","UK Space Agency","110","110","47750","46120"
"In post","2023","Declared non-disabled","UK Statistics Authority","3105","2785","36650","32040"
"In post","2023","Declared non-disabled","UK Supreme Court","50","45","38850","36210"
"In post","2023","Declared non-disabled","Valuation Office Agency","2550","2375","37180","32970"
"In post","2023","Declared non-disabled","Vehicle Certification Agency","170","160","38620","35280"
"In post","2023","Declared non-disabled","Veterinary Medicines Directorate","130","125","42560","40260"
"In post","2023","Declared non-disabled","Water Services Regulation Authority","215","210","56580","51000"
"In post","2023","Declared non-disabled","Welsh Government (excl. agencies)","5070","4795","44140","39690"
"In post","2023","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Wilton Park","65","60","35540","31620"
"In post","2023","Undeclared","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Advisory, Conciliation and Arbitration Service","35","35","34050","34410"
"In post","2023","Undeclared","Animal and Plant Health Agency","160","150","32730","30320"
"In post","2023","Undeclared","Building Digital UK","10","10","[c]","[c]"
"In post","2023","Undeclared","Cabinet Office (excl. agencies)","255","250","44630","41870"
"In post","2023","Undeclared","Central Civil Service Fast Stream","20","20","[c]","[c]"
"In post","2023","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","10","10","[c]","[c]"
"In post","2023","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Companies House","75","70","32470","31350"
"In post","2023","Undeclared","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","Undeclared","Criminal Injuries Compensation Authority","60","55","25350","25830"
"In post","2023","Undeclared","Crown Commercial Service","15","15","[c]","[c]"
"In post","2023","Undeclared","Crown Office and Procurator Fiscal Service","70","65","45820","37940"
"In post","2023","Undeclared","Crown Prosecution Service","60","55","34050","26900"
"In post","2023","Undeclared","Defence Electronics and Components Agency","155","150","30100","30060"
"In post","2023","Undeclared","Defence Equipment and Support","650","625","41280","40470"
"In post","2023","Undeclared","Defence Science and Technology Laboratory","5","5","[c]","[c]"
"In post","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","315","310","50870","50700"
"In post","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","85","85","47590","52390"
"In post","2023","Undeclared","Department for Education (excl. agencies)","340","330","45850","42010"
"In post","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","280","270","43320","40260"
"In post","2023","Undeclared","Department for International Trade","75","75","50740","53530"
"In post","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","170","165","46600","42560"
"In post","2023","Undeclared","Department for Transport (excl. agencies)","275","270","49240","44750"
"In post","2023","Undeclared","Department for Work and Pensions (excl. agencies)","3755","3440","29270","28120"
"In post","2023","Undeclared","Department of Health and Social Care (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Driver and Vehicle Licensing Agency","425","385","28570","22500"
"In post","2023","Undeclared","Driver and Vehicle Standards Agency","275","260","30730","27490"
"In post","2023","Undeclared","Education Scotland","5","5","[c]","[c]"
"In post","2023","Undeclared","Education and Skills Funding Agency","35","35","40000","37590"
"In post","2023","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","FCDO Services","50","50","43300","41450"
"In post","2023","Undeclared","Food Standards Agency","280","275","39940","38100"
"In post","2023","Undeclared","Food Standards Scotland","5","5","[c]","[c]"
"In post","2023","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","220","215","53730","53450"
"In post","2023","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Government Commercial Organisation","95","90","70080","66270"
"In post","2023","Undeclared","Government Internal Audit Agency","40","40","50850","50120"
"In post","2023","Undeclared","Government Legal Department","125","115","59090","65650"
"In post","2023","Undeclared","Government Property Agency","15","15","[c]","[c]"
"In post","2023","Undeclared","HM Courts and Tribunals Service","1110","1005","27830","23000"
"In post","2023","Undeclared","HM Land Registry","285","250","34890","34850"
"In post","2023","Undeclared","HM Prison and Probation Service","6115","5575","33600","32920"
"In post","2023","Undeclared","HM Revenue and Customs (excl. agencies)","3150","2925","37170","34700"
"In post","2023","Undeclared","HM Treasury (excl. agencies)","295","290","45960","51000"
"In post","2023","Undeclared","Health and Safety Executive","165","155","45600","42470"
"In post","2023","Undeclared","Home Office","1570","1450","34810","31230"
"In post","2023","Undeclared","Legal Aid Agency","80","75","32600","25830"
"In post","2023","Undeclared","Maritime and Coastguard Agency","70","70","36810","32950"
"In post","2023","Undeclared","Medicines and Healthcare Products Regulatory Agency","35","35","53960","54990"
"In post","2023","Undeclared","Ministry of Defence (excl. agencies)","2515","2425","34950","33990"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","470","455","43590","41510"
"In post","2023","Undeclared","National Infrastructure Commission","5","5","[c]","[c]"
"In post","2023","Undeclared","National Records of Scotland","10","10","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","10","10","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","10","10","[c]","[c]"
"In post","2023","Undeclared","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","265","255","56450","57260"
"In post","2023","Undeclared","Office of the Public Guardian","90","85","24820","21780"
"In post","2023","Undeclared","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","5","5","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","50","40","49580","48660"
"In post","2023","Undeclared","Registers of Scotland","45","45","39170","39590"
"In post","2023","Undeclared","Rural Payments Agency","205","190","25860","22150"
"In post","2023","Undeclared","Scottish Courts and Tribunals Service","20","15","[c]","[c]"
"In post","2023","Undeclared","Scottish Government (excl. agencies)","145","140","47740","42860"
"In post","2023","Undeclared","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Scottish Prison Service","15","15","[c]","[c]"
"In post","2023","Undeclared","Scottish Public Pensions Agency","5","5","[c]","[c]"
"In post","2023","Undeclared","Serious Fraud Office","15","15","[c]","[c]"
"In post","2023","Undeclared","Social Security Scotland","65","60","30850","29100"
"In post","2023","Undeclared","Standards and Testing Agency","5","5","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","115","110","46220","42670"
"In post","2023","Undeclared","Teaching Regulation Agency","5","5","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","35","30","38400","35560"
"In post","2023","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Transport Scotland","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","40","40","57140","48740"
"In post","2023","Undeclared","UK Health Security Agency","1625","1540","50610","44950"
"In post","2023","Undeclared","UK Hydrographic Office","55","55","38930","34370"
"In post","2023","Undeclared","UK Space Agency","10","10","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","145","125","33090","31060"
"In post","2023","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","300","275","37730","33960"
"In post","2023","Undeclared","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","10","10","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","180","170","44830","43660"
"In post","2023","Undeclared","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Accountant in Bankruptcy","50","45","32300","29100"
"In post","2023","Unknown","Active Travel England","15","15","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","375","340","32960","32110"
"In post","2023","Unknown","Animal and Plant Health Agency","220","210","28210","25340"
"In post","2023","Unknown","Attorney General's Office","30","30","58870","56290"
"In post","2023","Unknown","Building Digital UK","40","40","43160","38210"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","955","925","48870","41870"
"In post","2023","Unknown","Central Civil Service Fast Stream","1240","1240","30740","30130"
"In post","2023","Unknown","Centre for Environment, Fisheries and Aquaculture Science","135","125","39600","37310"
"In post","2023","Unknown","Charity Commission","215","205","33990","30170"
"In post","2023","Unknown","Companies House","215","195","29970","25610"
"In post","2023","Unknown","Competition and Markets Authority","85","80","72250","73510"
"In post","2023","Unknown","Criminal Injuries Compensation Authority","60","55","26840","21780"
"In post","2023","Unknown","Crown Commercial Service","380","370","40980","40450"
"In post","2023","Unknown","Crown Office and Procurator Fiscal Service","60","60","40270","34730"
"In post","2023","Unknown","Crown Prosecution Service","1525","1465","40470","38760"
"In post","2023","Unknown","Defence Electronics and Components Agency","10","10","[c]","[c]"
"In post","2023","Unknown","Defence Equipment and Support","1520","1475","35220","32500"
"In post","2023","Unknown","Defence Science and Technology Laboratory","1580","1540","38170","36940"
"In post","2023","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","1010","995","46350","41360"
"In post","2023","Unknown","Department for Digital, Culture, Media and Sport (excl. agencies)","180","175","46450","42100"
"In post","2023","Unknown","Department for Education (excl. agencies)","1800","1765","41100","37590"
"In post","2023","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","720","695","43690","40260"
"In post","2023","Unknown","Department for International Trade","1400","1385","48750","43130"
"In post","2023","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","365","355","47140","40800"
"In post","2023","Unknown","Department for Transport (excl. agencies)","775","755","46830","43750"
"In post","2023","Unknown","Department for Work and Pensions (excl. agencies)","2740","2610","31550","28120"
"In post","2023","Unknown","Department of Health and Social Care (excl. agencies)","2480","2405","48650","46000"
"In post","2023","Unknown","Disclosure Scotland","170","160","30110","24890"
"In post","2023","Unknown","Driver and Vehicle Licensing Agency","685","620","25690","22500"
"In post","2023","Unknown","Driver and Vehicle Standards Agency","1040","1005","28030","27260"
"In post","2023","Unknown","Education Scotland","190","185","57330","64560"
"In post","2023","Unknown","Education and Skills Funding Agency","115","115","36570","31900"
"In post","2023","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","FCDO Services","150","145","35800","29400"
"In post","2023","Unknown","Food Standards Agency","175","175","36590","33000"
"In post","2023","Unknown","Food Standards Scotland","135","130","39080","34730"
"In post","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","3300","3230","50490","51960"
"In post","2023","Unknown","Forestry and Land Scotland","65","65","30480","29560"
"In post","2023","Unknown","Government Actuary's Department","40","35","60880","57410"
"In post","2023","Unknown","Government Commercial Organisation","200","200","76820","67450"
