"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Unknown","Security","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","65","60","21060","22180"
"In post","2023","16-19","White","Analysis","40","40","25500","24840"
"In post","2023","16-19","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Counter Fraud","5","5","[c]","[c]"
"In post","2023","16-19","White","Debt","20","20","[c]","[c]"
"In post","2023","16-19","White","Digital, Data & Technology","25","25","[c]","[c]"
"In post","2023","16-19","White","Finance","20","15","[c]","[c]"
"In post","2023","16-19","White","Grants Management","5","5","[c]","[c]"
"In post","2023","16-19","White","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","White","Legal","40","40","21310","20980"
"In post","2023","16-19","White","No function","450","435","23840","23230"
"In post","2023","16-19","White","Project Delivery","25","25","[c]","[c]"
"In post","2023","16-19","White","Property","20","20","[c]","[c]"
"In post","2023","16-19","White","Security","5","5","[c]","[c]"
"In post","2023","16-19","White","Unknown","45","45","22600","22460"
"In post","2023","20-29","Asian","Analysis","335","335","36940","35090"
"In post","2023","20-29","Asian","Commercial","80","80","36520","34400"
"In post","2023","20-29","Asian","Communications","50","50","32950","30560"
"In post","2023","20-29","Asian","Counter Fraud","265","265","30380","28130"
"In post","2023","20-29","Asian","Debt","360","345","23190","22520"
"In post","2023","20-29","Asian","Digital, Data & Technology","345","340","35010","33500"
"In post","2023","20-29","Asian","Finance","210","210","33950","31980"
"In post","2023","20-29","Asian","Grants Management","10","10","[c]","[c]"
"In post","2023","20-29","Asian","Human Resources","145","145","31940","29280"
"In post","2023","20-29","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2023","20-29","Asian","Legal","270","265","30510","27760"
"In post","2023","20-29","Asian","No function","4380","4275","30140","28120"
"In post","2023","20-29","Asian","Project Delivery","250","250","35800","34110"
"In post","2023","20-29","Asian","Property","80","75","29540","28840"
"In post","2023","20-29","Asian","Security","40","40","32560","30880"
"In post","2023","20-29","Asian","Unknown","245","245","31260","30130"
"In post","2023","20-29","Black","Analysis","80","80","34530","34560"
"In post","2023","20-29","Black","Commercial","30","30","[c]","[c]"
"In post","2023","20-29","Black","Communications","20","20","[c]","[c]"
"In post","2023","20-29","Black","Counter Fraud","80","80","31620","32520"
"In post","2023","20-29","Black","Debt","40","40","23890","22520"
"In post","2023","20-29","Black","Digital, Data & Technology","120","120","35910","34110"
"In post","2023","20-29","Black","Finance","40","40","33620","32410"
"In post","2023","20-29","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Human Resources","55","50","33310","32520"
"In post","2023","20-29","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","Legal","115","115","31030","27760"
"In post","2023","20-29","Black","No function","1460","1440","31200","30560"
"In post","2023","20-29","Black","Project Delivery","90","90","36640","35160"
"In post","2023","20-29","Black","Property","20","20","[c]","[c]"
"In post","2023","20-29","Black","Security","15","15","[c]","[c]"
"In post","2023","20-29","Black","Unknown","60","60","32240","31790"
"In post","2023","20-29","Mixed","Analysis","125","125","37810","35660"
"In post","2023","20-29","Mixed","Commercial","45","45","35550","31920"
"In post","2023","20-29","Mixed","Communications","35","35","36720","35120"
"In post","2023","20-29","Mixed","Counter Fraud","75","70","32130","29430"
"In post","2023","20-29","Mixed","Debt","30","30","23780","22520"
