"Status","Year","Age","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","Animal and Plant Health Agency","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Crown Office and Procurator Fiscal Service","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","No function","Defence Electronics and Components Agency","Wales","10","10","[c]","[c]"
"In post","2023","16-19","No function","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Defence Equipment and Support","Scotland","10","10","[c]","[c]"
"In post","2023","16-19","No function","Defence Equipment and Support","South East (England)","10","10","18820","18280"
"In post","2023","16-19","No function","Defence Equipment and Support","South West (England)","65","65","19120","18780"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","London","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","North East (England)","10","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","North West (England)","10","10","24370","21690"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Wales","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","Wales","75","65","20490","19000"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","Wales","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","East Midlands (England)","45","45","26510","28880"
"In post","2023","16-19","No function","HM Prison and Probation Service","East of England","40","40","26060","24070"
"In post","2023","16-19","No function","HM Prison and Probation Service","London","10","10","29450","28400"
"In post","2023","16-19","No function","HM Prison and Probation Service","North East (England)","20","20","25760","28880"
"In post","2023","16-19","No function","HM Prison and Probation Service","North West (England)","35","35","25430","24070"
"In post","2023","16-19","No function","HM Prison and Probation Service","South East (England)","50","50","25610","23230"
"In post","2023","16-19","No function","HM Prison and Probation Service","South West (England)","25","25","26100","24070"
"In post","2023","16-19","No function","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","Wales","10","10","24910","24070"
"In post","2023","16-19","No function","HM Prison and Probation Service","West Midlands (England)","25","25","25870","24070"
"In post","2023","16-19","No function","HM Prison and Probation Service","Yorkshire and The Humber","40","40","25810","28880"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","East Midlands (England)","10","10","23040","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","North East (England)","15","15","22870","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","North West (England)","25","20","22770","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Scotland","10","10","22520","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Wales","10","10","22970","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","10","10","23940","22520"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","East of England","15","15","22600","22400"
"In post","2023","16-19","No function","Home Office","London","20","20","27170","26400"
"In post","2023","16-19","No function","Home Office","North East (England)","10","5","[c]","[c]"
"In post","2023","16-19","No function","Home Office","North West (England)","25","20","22810","22400"
"In post","2023","16-19","No function","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","South East (England)","40","40","23260","22400"
"In post","2023","16-19","No function","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of the Public Guardian","West Midlands (England)","10","5","[c]","[c]"
"In post","2023","16-19","No function","Planning Inspectorate","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","Scotland","10","10","24830","24710"
"In post","2023","16-19","No function","The Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Equipment and Support","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Driver and Vehicle Licensing Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Met Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","South West (England)","20","20","18720","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","South East (England)","15","15","23210","22750"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Met Office","South West (England)","[c]","[c]","[c]","[c]"
