"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Knowledge and Information Management","Heterosexual / straight","65","65","34960","32520"
"In post","2023","Black","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Heterosexual / straight","415","410","49380","52020"
"In post","2023","Black","Legal","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Legal","Undeclared","20","15","[c]","[c]"
"In post","2023","Black","Legal","Unknown","55","50","53300","56450"
"In post","2023","Black","Medicine","Heterosexual / straight","45","40","66520","51180"
"In post","2023","Black","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Medicine","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Operational Delivery","Heterosexual / straight","8470","8035","30770","29660"
"In post","2023","Black","Operational Delivery","LGBO","185","180","29720","28540"
"In post","2023","Black","Operational Delivery","Undeclared","465","425","30620","29730"
"In post","2023","Black","Operational Delivery","Unknown","775","700","30290","30380"
"In post","2023","Black","Operational Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Black","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Other","Heterosexual / straight","295","285","31420","30060"
"In post","2023","Black","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Other","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Other","Unknown","25","25","[c]","[c]"
"In post","2023","Black","Planning","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Policy","Heterosexual / straight","1065","1055","42910","40130"
"In post","2023","Black","Policy","LGBO","45","45","42530","39220"
"In post","2023","Black","Policy","Undeclared","45","45","40770","39790"
"In post","2023","Black","Policy","Unknown","60","60","45010","40600"
"In post","2023","Black","Project Delivery","Heterosexual / straight","605","595","43580","40790"
"In post","2023","Black","Project Delivery","LGBO","15","15","[c]","[c]"
"In post","2023","Black","Project Delivery","Undeclared","20","20","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","40","35","41370","39450"
"In post","2023","Black","Property","Heterosexual / straight","125","120","38610","36000"
