"Status","Year","Disability","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","SEO/HEO","Female","535","500","36110","34970"
"In post","2023","Declared disabled","North East (England)","SEO/HEO","Male","330","315","36970","35000"
"In post","2023","Declared disabled","North East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","Unknown","Female","195","185","30440","29050"
"In post","2023","Declared disabled","North East (England)","Unknown","Male","65","65","31760","29050"
"In post","2023","Declared disabled","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","AA/AO","Female","1720","1425","22310","21690"
"In post","2023","Declared disabled","North West (England)","AA/AO","Male","1095","1015","23070","21780"
"In post","2023","Declared disabled","North West (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","EO","Female","1715","1495","27840","28120"
"In post","2023","Declared disabled","North West (England)","EO","Male","915","855","28110","28120"
"In post","2023","Declared disabled","North West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","G6/G7","Female","380","365","57530","56450"
"In post","2023","Declared disabled","North West (England)","G6/G7","Male","285","280","58960","57960"
"In post","2023","Declared disabled","North West (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","SCS level","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","SEO/HEO","Female","1120","1050","36770","35000"
"In post","2023","Declared disabled","North West (England)","SEO/HEO","Male","750","725","37340","35030"
"In post","2023","Declared disabled","North West (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Unknown","Female","490","465","30240","29050"
"In post","2023","Declared disabled","North West (England)","Unknown","Male","160","150","32280","29050"
"In post","2023","Declared disabled","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","AA/AO","Female","55","50","22530","22520"
"In post","2023","Declared disabled","Northern Ireland","AA/AO","Male","65","65","22240","22500"
"In post","2023","Declared disabled","Northern Ireland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","EO","Female","60","55","27730","27890"
"In post","2023","Declared disabled","Northern Ireland","EO","Male","40","40","28240","28130"
"In post","2023","Declared disabled","Northern Ireland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","SEO/HEO","Female","70","65","36990","35000"
"In post","2023","Declared disabled","Northern Ireland","SEO/HEO","Male","45","45","36070","35000"
"In post","2023","Declared disabled","Northern Ireland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","Male","30","30","61500","60080"
"In post","2023","Declared disabled","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Female","35","35","37740","35170"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Male","65","65","40850","35810"
"In post","2023","Declared disabled","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","AA/AO","Female","1035","880","22960","22220"
"In post","2023","Declared disabled","Scotland","AA/AO","Male","710","665","23630","22390"
"In post","2023","Declared disabled","Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","EO","Female","1110","985","29040","28120"
"In post","2023","Declared disabled","Scotland","EO","Male","655","610","30530","28130"
"In post","2023","Declared disabled","Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","G6/G7","Female","270","250","62620","59290"
"In post","2023","Declared disabled","Scotland","G6/G7","Male","185","180","62560","60150"
"In post","2023","Declared disabled","Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Scotland","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","SEO/HEO","Female","755","710","38880","38050"
"In post","2023","Declared disabled","Scotland","SEO/HEO","Male","570","550","40090","38330"
"In post","2023","Declared disabled","Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","AA/AO","Female","855","725","24020","22520"
"In post","2023","Declared disabled","South East (England)","AA/AO","Male","705","655","25970","23230"
"In post","2023","Declared disabled","South East (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","EO","Female","950","845","28990","28120"
"In post","2023","Declared disabled","South East (England)","EO","Male","635","600","29810","28120"
"In post","2023","Declared disabled","South East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","G6/G7","Female","205","190","57890","55850"
"In post","2023","Declared disabled","South East (England)","G6/G7","Male","230","220","58000","56180"
"In post","2023","Declared disabled","South East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","SEO/HEO","Female","700","655","37230","35980"
"In post","2023","Declared disabled","South East (England)","SEO/HEO","Male","600","575","38670","37970"
"In post","2023","Declared disabled","South East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Unknown","Female","375","345","30850","29050"
"In post","2023","Declared disabled","South East (England)","Unknown","Male","100","100","29740","27170"
"In post","2023","Declared disabled","South East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","AA/AO","Female","730","625","22920","22150"
"In post","2023","Declared disabled","South West (England)","AA/AO","Male","545","515","24000","22180"
"In post","2023","Declared disabled","South West (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","EO","Female","745","655","27740","28120"
"In post","2023","Declared disabled","South West (England)","EO","Male","505","480","28540","28120"
"In post","2023","Declared disabled","South West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","G6/G7","Female","345","330","55320","54440"
"In post","2023","Declared disabled","South West (England)","G6/G7","Male","425","415","57360","55500"
"In post","2023","Declared disabled","South West (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","SEO/HEO","Female","1020","960","36760","35000"
"In post","2023","Declared disabled","South West (England)","SEO/HEO","Male","1015","985","37790","37710"
"In post","2023","Declared disabled","South West (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Unknown","Female","365","335","32590","30810"
"In post","2023","Declared disabled","South West (England)","Unknown","Male","185","180","38690","38290"
"In post","2023","Declared disabled","South West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","AA/AO","Female","940","770","22070","22220"
"In post","2023","Declared disabled","Wales","AA/AO","Male","520","490","22830","22500"
"In post","2023","Declared disabled","Wales","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","EO","Female","800","715","27920","28120"
"In post","2023","Declared disabled","Wales","EO","Male","425","405","28180","28120"
"In post","2023","Declared disabled","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","G6/G7","Female","155","145","59120","56870"
"In post","2023","Declared disabled","Wales","G6/G7","Male","125","120","61040","60650"
"In post","2023","Declared disabled","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Wales","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Wales","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","SEO/HEO","Female","560","520","37230","36590"
"In post","2023","Declared disabled","Wales","SEO/HEO","Male","385","370","37900","36910"
"In post","2023","Declared disabled","Wales","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","Unknown","Female","225","210","29430","27940"
"In post","2023","Declared disabled","Wales","Unknown","Male","60","60","31520","29050"
"In post","2023","Declared disabled","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","AA/AO","Female","805","675","22550","21780"
"In post","2023","Declared disabled","West Midlands (England)","AA/AO","Male","520","485","24200","21780"
"In post","2023","Declared disabled","West Midlands (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","EO","Female","900","780","27840","28120"
"In post","2023","Declared disabled","West Midlands (England)","EO","Male","480","455","28500","28120"
"In post","2023","Declared disabled","West Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","G6/G7","Female","200","190","56940","55110"
"In post","2023","Declared disabled","West Midlands (England)","G6/G7","Male","130","125","60090","57990"
"In post","2023","Declared disabled","West Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","SEO/HEO","Female","570","540","36450","34970"
"In post","2023","Declared disabled","West Midlands (England)","SEO/HEO","Male","395","380","37760","36990"
"In post","2023","Declared disabled","West Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","Unknown","Female","330","305","30470","29050"
"In post","2023","Declared disabled","West Midlands (England)","Unknown","Male","105","100","32950","29050"
"In post","2023","Declared disabled","West Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","AA/AO","Female","785","655","22720","21780"
"In post","2023","Declared disabled","Yorkshire and The Humber","AA/AO","Male","535","495","24230","22400"
"In post","2023","Declared disabled","Yorkshire and The Humber","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","EO","Female","915","790","27830","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","EO","Male","535","505","28360","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","G6/G7","Female","290","280","57120","53780"
"In post","2023","Declared disabled","Yorkshire and The Humber","G6/G7","Male","200","195","57750","56000"
"In post","2023","Declared disabled","Yorkshire and The Humber","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","SEO/HEO","Female","755","705","36300","35000"
"In post","2023","Declared disabled","Yorkshire and The Humber","SEO/HEO","Male","495","480","37160","35130"
"In post","2023","Declared disabled","Yorkshire and The Humber","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","Unknown","Female","340","315","30860","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","Unknown","Male","115","105","31010","29050"
"In post","2023","Declared disabled","Yorkshire and The Humber","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","AA/AO","Female","2825","2435","23500","22220"
"In post","2023","Declared non-disabled","East Midlands (England)","AA/AO","Male","2085","2015","25920","23230"
"In post","2023","Declared non-disabled","East Midlands (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","EO","Female","2255","2010","28020","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","EO","Male","1655","1590","28850","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","G6/G7","Female","665","630","59560","57970"
"In post","2023","Declared non-disabled","East Midlands (England)","G6/G7","Male","670","650","61000","57970"
"In post","2023","Declared non-disabled","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","SCS level","Female","40","40","86960","81000"
"In post","2023","Declared non-disabled","East Midlands (England)","SCS level","Male","30","30","90040","90220"
"In post","2023","Declared non-disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","SEO/HEO","Female","2070","1940","37860","35000"
"In post","2023","Declared non-disabled","East Midlands (England)","SEO/HEO","Male","1745","1695","38300","35880"
"In post","2023","Declared non-disabled","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East Midlands (England)","Unknown","Female","855","790","29790","29050"
"In post","2023","Declared non-disabled","East Midlands (England)","Unknown","Male","255","245","30880","29050"
"In post","2023","Declared non-disabled","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","AA/AO","Female","2550","2220","24380","23230"
"In post","2023","Declared non-disabled","East of England","AA/AO","Male","2170","2100","27270","25800"
"In post","2023","Declared non-disabled","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","EO","Female","2360","2085","28980","28120"
"In post","2023","Declared non-disabled","East of England","EO","Male","1815","1730","29790","28120"
"In post","2023","Declared non-disabled","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","G6/G7","Female","550","520","60150","57970"
"In post","2023","Declared non-disabled","East of England","G6/G7","Male","500","490","61440","59290"
"In post","2023","Declared non-disabled","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","SCS level","Female","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","SCS level","Male","55","55","93450","93900"
"In post","2023","Declared non-disabled","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","SEO/HEO","Female","1705","1610","37760","37300"
"In post","2023","Declared non-disabled","East of England","SEO/HEO","Male","1695","1650","38460","37520"
"In post","2023","Declared non-disabled","East of England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","East of England","Unknown","Female","900","825","29920","29050"
"In post","2023","Declared non-disabled","East of England","Unknown","Male","285","270","31110","26840"
"In post","2023","Declared non-disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","AA/AO","Female","3920","3450","26570","25610"
"In post","2023","Declared non-disabled","London","AA/AO","Male","3005","2910","28320","26400"
"In post","2023","Declared non-disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","EO","Female","7120","6540","31300","31330"
"In post","2023","Declared non-disabled","London","EO","Male","4880","4740","31590","31480"
"In post","2023","Declared non-disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","G6/G7","Female","9865","9365","62020","59850"
"In post","2023","Declared non-disabled","London","G6/G7","Male","9550","9400","63030","61390"
"In post","2023","Declared non-disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","SCS level","Female","1500","1415","88670","81060"
"In post","2023","Declared non-disabled","London","SCS level","Male","1515","1495","93940","85210"
"In post","2023","Declared non-disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","SEO/HEO","Female","11030","10645","40350","40000"
"In post","2023","Declared non-disabled","London","SEO/HEO","Male","9565","9430","40960","40800"
"In post","2023","Declared non-disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","Unknown","Female","1070","1010","35680","33820"
"In post","2023","Declared non-disabled","London","Unknown","Male","425","415","36610","34820"
"In post","2023","Declared non-disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","AA/AO","Female","4910","4030","22800","22400"
"In post","2023","Declared non-disabled","North East (England)","AA/AO","Male","3005","2840","24070","22520"
"In post","2023","Declared non-disabled","North East (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","EO","Female","3295","2900","27970","28120"
"In post","2023","Declared non-disabled","North East (England)","EO","Male","2125","2035","28340","28120"
"In post","2023","Declared non-disabled","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","G6/G7","Female","1035","990","58050","56870"
"In post","2023","Declared non-disabled","North East (England)","G6/G7","Male","1210","1190","58760","57970"
"In post","2023","Declared non-disabled","North East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","SCS level","Female","60","60","86350","78340"
"In post","2023","Declared non-disabled","North East (England)","SCS level","Male","55","55","92720","86360"
"In post","2023","Declared non-disabled","North East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","SEO/HEO","Female","3115","2925","36970","35000"
"In post","2023","Declared non-disabled","North East (England)","SEO/HEO","Male","2520","2455","37500","35000"
"In post","2023","Declared non-disabled","North East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","North East (England)","Unknown","Female","695","655","29640","29050"
"In post","2023","Declared non-disabled","North East (England)","Unknown","Male","200","190","30680","29050"
