"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Heterosexual / straight","230","220","28670","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","LGBO","30","30","28070","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Undeclared","35","30","29150","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","Unknown","55","55","28260","28060"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","Heterosexual / straight","1485","1415","58210","55370"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","LGBO","150","145","57590","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","Undeclared","140","130","58330","56290"
"In post","2023","Department for Levelling Up, Housing and Communities","G6/G7","Unknown","160","150","58070","56200"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Heterosexual / straight","140","135","85990","79290"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","Unknown","20","15","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","Heterosexual / straight","1105","1075","37050","37060"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","LGBO","135","130","37050","37540"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","Undeclared","125","120","37500","37460"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","Unknown","160","155","36860","35540"
"In post","2023","Department for Transport","AA/AO","Heterosexual / straight","3320","2920","22720","22500"
"In post","2023","Department for Transport","AA/AO","LGBO","220","205","22320","22500"
"In post","2023","Department for Transport","AA/AO","Undeclared","1015","810","21870","22500"
"In post","2023","Department for Transport","AA/AO","Unknown","1015","925","23490","22500"
"In post","2023","Department for Transport","EO","Heterosexual / straight","2465","2320","28520","27450"
"In post","2023","Department for Transport","EO","LGBO","150","145","28430","27400"
"In post","2023","Department for Transport","EO","Undeclared","710","630","28450","27450"
