"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AO","Female","30","30","21690","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AO","Male","30","30","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA","Female","25","20","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA","Male","20","15","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","Female","5","5","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","AA","Female","65","60","23290","23230"
"In post","2023","16-19","HM Prison and Probation Service","AA","Male","50","50","23320","23230"
"In post","2023","16-19","HM Prison and Probation Service","AO","Female","85","85","28930","28880"
"In post","2023","16-19","HM Prison and Probation Service","AO","Male","75","75","29290","28880"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","Female","30","25","20140","19090"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AO","Female","85","80","22730","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AO","Male","75","75","22750","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","AO","Female","60","50","22880","22400"
"In post","2023","16-19","Home Office","AO","Male","50","45","23320","22400"
"In post","2023","16-19","Home Office","EO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Home Office","EO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Met Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA","Female","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA","Female","10","10","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","AA","Female","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","AA","Male","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","AO","Female","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","EO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","HEO","Female","15","15","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","AO","Female","145","140","23200","22150"
"In post","2023","20-29","Animal and Plant Health Agency","AO","Male","100","100","23380","22150"
"In post","2023","20-29","Animal and Plant Health Agency","EO","Female","140","140","27460","25920"
"In post","2023","20-29","Animal and Plant Health Agency","EO","Male","65","65","27770","29080"
"In post","2023","20-29","Animal and Plant Health Agency","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","HEO","Female","60","60","32180","32320"
"In post","2023","20-29","Animal and Plant Health Agency","HEO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","SEO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","SEO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","EO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Building Digital UK","EO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","G7","Female","10","10","[c]","[c]"
"In post","2023","20-29","Building Digital UK","G7","Male","5","5","[c]","[c]"
"In post","2023","20-29","Building Digital UK","HEO","Female","15","15","[c]","[c]"
"In post","2023","20-29","Building Digital UK","HEO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","AO","Female","75","70","22680","21720"
"In post","2023","20-29","Cabinet Office (excl. agencies)","AO","Male","55","55","22850","21720"
"In post","2023","20-29","Cabinet Office (excl. agencies)","EO","Female","145","140","27090","28050"
"In post","2023","20-29","Cabinet Office (excl. agencies)","EO","Male","130","130","26940","28050"
"In post","2023","20-29","Cabinet Office (excl. agencies)","G6","Female","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","G6","Male","15","15","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","G7","Female","140","140","55760","56430"
"In post","2023","20-29","Cabinet Office (excl. agencies)","G7","Male","120","120","55710","56430"
"In post","2023","20-29","Cabinet Office (excl. agencies)","HEO","Female","195","195","34470","35240"
"In post","2023","20-29","Cabinet Office (excl. agencies)","HEO","Male","145","145","34670","35240"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SEO","Female","110","110","40940","41870"
"In post","2023","20-29","Cabinet Office (excl. agencies)","SEO","Male","100","100","41330","41870"
"In post","2023","20-29","Central Civil Service Fast Stream","HEO","Female","900","900","30650","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","HEO","Male","565","565","30640","30130"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","AO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","30","30","25940","25920"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","25","25","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","HEO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","HEO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","AO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Charity Commission","HEO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Charity Commission","HEO","Male","10","10","[c]","[c]"
