"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","London","AO","2385","2295","28300","26400"
"In post","2023","Unknown","London","EO","4350","4240","31310","29890"
"In post","2023","Unknown","London","G6","1805","1735","70860","69260"
"In post","2023","Unknown","London","G7","4505","4405","57910","56360"
"In post","2023","Unknown","London","HEO","5525","5450","36190","35770"
"In post","2023","Unknown","London","SCS level","825","795","96360","86460"
"In post","2023","Unknown","London","SEO","3710","3655","44060","43210"
"In post","2023","Unknown","London","Unknown","390","360","31010","28580"
"In post","2023","Unknown","Outside London","AA","4650","4255","22360","22180"
"In post","2023","Unknown","Outside London","AO","23555","21955","24270","22520"
"In post","2023","Unknown","Outside London","EO","20620","19755","29060","28080"
"In post","2023","Unknown","Outside London","G6","1790","1720","71380","70540"
"In post","2023","Unknown","Outside London","G7","5705","5500","55500","54680"
"In post","2023","Unknown","Outside London","HEO","12145","11750","34610","34400"
"In post","2023","Unknown","Outside London","SCS level","425","405","95120","88360"
"In post","2023","Unknown","Outside London","SEO","7765","7510","42500","41780"
"In post","2023","Unknown","Outside London","Unknown","3230","2950","28420","25300"
"In post","2023","Unknown","Overseas","AO","5","5","[c]","[c]"
"In post","2023","Unknown","Overseas","EO","50","50","34200","32960"
"In post","2023","Unknown","Overseas","G6","200","200","69530","67160"
"In post","2023","Unknown","Overseas","G7","425","425","57410","55700"
"In post","2023","Unknown","Overseas","HEO","320","320","47730","43960"
"In post","2023","Unknown","Overseas","SCS level","85","85","85030","77480"
"In post","2023","Unknown","Overseas","SEO","140","140","47370","45150"
"In post","2023","Unknown","Overseas","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AA","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AO","45","40","23440","22400"
"In post","2023","Unknown","Unknown","EO","85","75","27700","25750"
"In post","2023","Unknown","Unknown","G6","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","G7","20","20","[c]","[c]"
"In post","2023","Unknown","Unknown","HEO","45","45","41110","44110"
"In post","2023","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","SEO","35","35","47840","47380"
"In post","2023","Unknown","Unknown","Unknown","1705","1705","41910","39940"
