"Status","Year","Ethnicity","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Digital, Data and Technology","London","105","105","50580","56430"
"In post","2023","Asian","Cabinet Office","Digital, Data and Technology","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Finance","London","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Finance","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Human Resources","London","45","45","44940","41870"
"In post","2023","Asian","Cabinet Office","Human Resources","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Policy","London","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Project Delivery","London","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Project Delivery","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Property","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Security","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Security","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Statistics","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","London","220","215","39240","32960"
"In post","2023","Asian","Cabinet Office","Unknown","Outside London","55","55","35670","32640"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Finance","London","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Other","London","30","30","50550","46910"
"In post","2023","Asian","Chancellor's other departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Economics","London","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Legal","London","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Project Delivery","London","65","65","45560","34370"
"In post","2023","Asian","Competition and Markets Authority","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Communications","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Economics","London","30","30","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Finance","London","30","30","46510","41540"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Finance","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","London","20","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Legal","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","85","85","38100","33890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","135","130","28340","25040"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Policy","London","385","380","48140","42560"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Policy","Outside London","85","85","38310","37470"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Science and Engineering","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Economics","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Finance","London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Human Resources","London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Other","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Policy","London","70","65","48850","53030"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Policy","Outside London","10","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Commercial","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","Commercial","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","Communications","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","Communications","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","Digital, Data and Technology","Outside London","130","130","41740","37590"
"In post","2023","Asian","Department for Education","Economics","London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Finance","London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education","Finance","Outside London","85","85","39730","37590"
"In post","2023","Asian","Department for Education","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Human Resources","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Operational Delivery","London","75","70","43860","42010"
"In post","2023","Asian","Department for Education","Operational Delivery","Outside London","140","140","36920","32340"
"In post","2023","Asian","Department for Education","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Policy","London","100","95","47890","42170"
"In post","2023","Asian","Department for Education","Policy","Outside London","75","75","38620","37590"
"In post","2023","Asian","Department for Education","Project Delivery","London","30","30","45560","42140"
"In post","2023","Asian","Department for Education","Project Delivery","Outside London","70","70","45690","38210"
"In post","2023","Asian","Department for Education","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Statistics","London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education","Statistics","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Commercial","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Communications","London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","35","35","36840","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Economics","London","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Finance","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Finance","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Human Resources","London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
