"Status","Year","Disability","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","South East (England)","90","85","46210","49260"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","South West (England)","95","90","42550","39890"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","London","35","35","51800","45960"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","35","35","43710","41780"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Yorkshire and The Humber","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","South West (England)","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","London","45","45","45780","43650"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Teaching Regulation Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","The Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
