"Status","Year","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Crown Prosecution Service","London","240","220","46870","40800"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","705","650","40220","33810"
"In post","2023","Declared disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","30","30","31540","28710"
"In post","2023","Declared disabled","Defence Equipment and Support","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","1115","1065","38270","35200"
"In post","2023","Declared disabled","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Outside London","845","810","42490","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","480","470","50360","50760"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","110","105","43030","38240"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","145","145","49110","50390"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","30","30","41520","35620"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","London","205","195","51770","55020"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Outside London","515","490","41210","37590"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","310","300","45620","40260"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","560","535","40860","37300"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","London","215","215","48370","41750"
"In post","2023","Declared disabled","Department for International Trade","Outside London","55","50","40240","38510"
"In post","2023","Declared disabled","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","250","245","47990","43290"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","145","145","41320","37540"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","London","180","175","50720","47420"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Outside London","50","45","40800","32730"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","London","1695","1545","35280","32520"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","15280","13315","27810","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","60","55","32780","28120"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","London","125","120","48370","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","80","75","46540","40890"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Outside London","35","30","32370","28420"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","685","575","25480","22500"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","London","45","45","32430","31450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Outside London","395","355","29970","27450"
"In post","2023","Declared disabled","Education Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Outside London","55","55","39460","37880"
"In post","2023","Declared disabled","Estyn","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Outside London","65","60","38100","32860"
"In post","2023","Declared disabled","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","120","115","38780","37720"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","345","335","49140","43000"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","65","60","35890","30430"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","135","135","49040","44320"
"In post","2023","Declared disabled","Forestry and Land Scotland","Outside London","50","50","31900","31180"
"In post","2023","Declared disabled","Government Actuary's Department","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","London","65","65","77580","67280"
"In post","2023","Declared disabled","Government Commercial Organisation","Outside London","100","100","70130","67200"
"In post","2023","Declared disabled","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","Outside London","35","30","47730","46290"
"In post","2023","Declared disabled","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","London","190","180","54260","53390"
"In post","2023","Declared disabled","Government Legal Department","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Outside London","35","35","48590","50200"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","London","500","465","31310","25480"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Outside London","1945","1730","25460","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","London","25","20","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","Outside London","665","590","30640","28080"
"In post","2023","Declared disabled","HM Prison and Probation Service","London","975","935","37310","34820"
"In post","2023","Declared disabled","HM Prison and Probation Service","Outside London","7585","7070","31610","29890"
"In post","2023","Declared disabled","HM Prison and Probation Service","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","London","870","820","46310","41600"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","Outside London","5505","4980","33260","29730"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","London","185","180","47590","46470"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Health and Safety Executive","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Health and Safety Executive","Outside London","345","320","40120","36630"
"In post","2023","Declared disabled","Home Office","London","1185","1110","40960","36180"
"In post","2023","Declared disabled","Home Office","Outside London","2020","1860","29830","26180"
"In post","2023","Declared disabled","Home Office","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","Outside London","85","80","38260","32970"
"In post","2023","Declared disabled","Legal Aid Agency","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal Aid Agency","Outside London","160","145","27310","25830"
"In post","2023","Declared disabled","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Outside London","60","60","34350","31660"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","London","30","30","47290","44030"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Met Office","Outside London","235","225","35820","35230"
"In post","2023","Declared disabled","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","London","410","405","45330","40850"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Outside London","3050","2925","32400","28140"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Overseas","30","30","49960","47080"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","London","435","425","45580","43650"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Outside London","400","390","39210","37680"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","London","75","75","44790","42240"
"In post","2023","Declared disabled","National Crime Agency","Outside London","190","185","39160","38530"
"In post","2023","Declared disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Infrastructure Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Records of Scotland","Outside London","35","30","37700","34930"
"In post","2023","Declared disabled","National Savings and Investments","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","30","30","50890","39790"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","135","130","47310","47750"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","London","65","65","43320","35470"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Outside London","65","60","34990","28000"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","50","45","40790","39140"
"In post","2023","Declared disabled","Office of Rail and Road","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Public Guardian","Outside London","235","220","25820","25830"
"In post","2023","Declared disabled","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Scottish Charity Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectorate","Outside London","55","50","39080","33450"
"In post","2023","Declared disabled","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Registers of Scotland","Outside London","130","120","34710","32510"
"In post","2023","Declared disabled","Revenue Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Rural Payments Agency","Outside London","435","400","26240","22150"
"In post","2023","Declared disabled","Scottish Courts and Tribunals Service","Outside London","95","90","29660","28540"
"In post","2023","Declared disabled","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Forestry","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","Outside London","800","765","45430","41640"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Prison Service","Outside London","375","350","37400","37060"
"In post","2023","Declared disabled","Scottish Public Pensions Agency","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Serious Fraud Office","London","45","45","48060","40980"
"In post","2023","Declared disabled","Social Security Scotland","Outside London","395","370","30390","29100"
"In post","2023","Declared disabled","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Standards and Testing Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Student Awards Agency for Scotland","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Submarine Delivery Agency","Outside London","240","230","41370","40660"
"In post","2023","Declared disabled","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Teaching Regulation Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","The Insolvency Service","London","40","35","39280","36170"
"In post","2023","Declared disabled","The Insolvency Service","Outside London","160","150","34610","31620"
"In post","2023","Declared disabled","The National Archives","London","35","35","33150","29840"
"In post","2023","Declared disabled","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Transport Scotland","Outside London","50","50","43960","42860"
"In post","2023","Declared disabled","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","London","35","35","50770","44380"
"In post","2023","Declared disabled","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Health Security Agency","London","90","85","48820","42410"
"In post","2023","Declared disabled","UK Health Security Agency","Outside London","165","160","43230","38200"
"In post","2023","Declared disabled","UK Health Security Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Hydrographic Office","Outside London","70","65","37830","34370"
"In post","2023","Declared disabled","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","Outside London","605","535","33670","31560"
"In post","2023","Declared disabled","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","London","50","45","45570","40190"
"In post","2023","Declared disabled","Valuation Office Agency","Outside London","255","235","33200","29610"
"In post","2023","Declared disabled","Vehicle Certification Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Outside London","360","335","41490","39690"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","Outside London","65","60","35800","31940"
"In post","2023","Declared non-disabled","Active Travel England","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","London","80","75","47310","45460"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Outside London","325","300","33870","32110"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","London","65","65","37790","32720"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Outside London","2215","2110","31610","29080"
"In post","2023","Declared non-disabled","Attorney General's Office","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","London","105","105","50320","53030"
"In post","2023","Declared non-disabled","Building Digital UK","Outside London","60","60","43490","48010"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","London","2385","2335","54250","56430"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Outside London","1445","1385","39540","34320"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","80","80","43800","38050"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","London","55","55","30700","30130"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","460","440","35140","30820"
"In post","2023","Declared non-disabled","Charity Commission","London","45","45","46450","41690"
"In post","2023","Declared non-disabled","Charity Commission","Outside London","205","200","35490","30170"
"In post","2023","Declared non-disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Outside London","810","765","33240","28070"
"In post","2023","Declared non-disabled","Competition and Markets Authority","London","660","640","62240","58070"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Outside London","100","95","56260","55130"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Outside London","175","160","30000","25830"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","London","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Outside London","275","265","40490","40330"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Outside London","2160","2035","39850","33120"
"In post","2023","Declared non-disabled","Crown Prosecution Service","London","1240","1175","46000","40800"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Outside London","3745","3470","41250","35000"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Outside London","245","240","29730","28710"
"In post","2023","Declared non-disabled","Defence Equipment and Support","London","120","115","30630","27170"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Outside London","7265","6990","40280","38790"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Overseas","35","35","56600","58020"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Outside London","2530","2420","45300","49260"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","3495","3415","53050","55120"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","875","855","44730","38690"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","1120","1100","50990","53030"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","145","145","42930","36560"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","London","1310","1245","54010","55020"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","Outside London","2990","2875","45490","43250"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","1800","1750","46610","40720"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","2665","2565","42150","37710"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for International Trade","London","1435","1415","49570","44300"
"In post","2023","Declared non-disabled","Department for International Trade","Outside London","350","340","44090","41790"
"In post","2023","Declared non-disabled","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","1490","1455","51970","54630"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","835","805","42960","37660"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","London","1990","1935","53960","55740"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","Outside London","520","505","46680","39820"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","London","6545","6050","36110","32520"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Outside London","54640","48695","28820","28120"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Unknown","235","225","34550","28120"
"In post","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","London","580","550","54760","54690"
"In post","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Outside London","390","370","47990","50830"
"In post","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Disclosure Scotland","Outside London","160","150","32540","25300"
"In post","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","Outside London","4435","3960","27800","22500"
"In post","2023","Declared non-disabled","Driver and Vehicle Standards Agency","London","220","210","33260","31450"
"In post","2023","Declared non-disabled","Driver and Vehicle Standards Agency","Outside London","2925","2735","30790","27490"
"In post","2023","Declared non-disabled","Education Scotland","Outside London","155","150","62440","70540"
"In post","2023","Declared non-disabled","Education and Skills Funding Agency","London","90","90","50330","46580"
"In post","2023","Declared non-disabled","Education and Skills Funding Agency","Outside London","465","445","43050","38210"
"In post","2023","Declared non-disabled","Estyn","Outside London","110","100","60010","75850"
"In post","2023","Declared non-disabled","FCDO Services","London","130","125","50860","47230"
"In post","2023","Declared non-disabled","FCDO Services","Outside London","605","580","42150","38920"
"In post","2023","Declared non-disabled","FCDO Services","Overseas","100","100","42290","41140"
"In post","2023","Declared non-disabled","Food Standards Agency","London","125","125","44820","41160"
"In post","2023","Declared non-disabled","Food Standards Agency","Outside London","845","815","38080","32050"
"In post","2023","Declared non-disabled","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Food Standards Scotland","Outside London","135","135","38690","34730"
"In post","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","2015","1975","52500","50150"
"In post","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","290","275","38350","34780"
"In post","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","1235","1230","51780","50850"
"In post","2023","Declared non-disabled","Forestry and Land Scotland","Outside London","985","950","34790","32220"
"In post","2023","Declared non-disabled","Government Actuary's Department","London","145","140","72130","67430"
"In post","2023","Declared non-disabled","Government Actuary's Department","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Government Commercial Organisation","London","435","430","79850","68780"
"In post","2023","Declared non-disabled","Government Commercial Organisation","Outside London","590","585","70620","66270"
"In post","2023","Declared non-disabled","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Government Internal Audit Agency","London","125","120","52040","53070"
"In post","2023","Declared non-disabled","Government Internal Audit Agency","Outside London","215","200","49340","47050"
"In post","2023","Declared non-disabled","Government Internal Audit Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Government Legal Department","London","1790","1670","55500","52790"
"In post","2023","Declared non-disabled","Government Legal Department","Outside London","180","165","54870","52790"
"In post","2023","Declared non-disabled","Government Property Agency","London","75","75","52520","56150"
