"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Cabinet Office","SEO/HEO","SEO","Male","85","[c]","40770","40600"
"Leaver Dept.","2023","Chancellor's other departments","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Chancellor's other departments","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","SEO/HEO","HEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","SEO/HEO","HEO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Charity Commission","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SEO/HEO","HEO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SEO/HEO","HEO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Competition and Markets Authority","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Female","30","[c]","22190","22180"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","EO","EO","Female","50","[c]","26360","25660"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","EO","EO","Male","35","[c]","26350","25610"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Female","85","[c]","53980","53380"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Male","80","[c]","53960","53600"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Female","95","[c]","33020","33570"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Male","85","[c]","32840","33570"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Female","85","[c]","41390","40220"
"Leaver Dept.","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Male","80","[c]","40380","40050"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","EO","EO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","EO","EO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","30","[c]","53440","53030"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","35","[c]","53980","53030"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","65","[c]","35850","35620"
"Leaver Dept.","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","60","[c]","36100","35620"
"Leaver Dept.","2023","Department for Education","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","EO","EO","Female","35","[c]","27870","26940"
"Leaver Dept.","2023","Department for Education","EO","EO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","G6/G7","G6","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","G6/G7","G7","Female","65","[c]","54080","54430"
"Leaver Dept.","2023","Department for Education","G6/G7","G7","Male","45","[c]","54610","54770"
"Leaver Dept.","2023","Department for Education","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","SEO/HEO","HEO","Female","85","[c]","32780","32300"
"Leaver Dept.","2023","Department for Education","SEO/HEO","HEO","Male","45","[c]","32510","31320"
"Leaver Dept.","2023","Department for Education","SEO/HEO","SEO","Female","115","[c]","40640","41440"
"Leaver Dept.","2023","Department for Education","SEO/HEO","SEO","Male","70","[c]","40440","39090"
"Leaver Dept.","2023","Department for Education","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Education","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Female","50","[c]","22020","22150"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","EO","EO","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","EO","EO","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Female","100","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Male","80","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Female","80","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Male","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","EO","EO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","G6/G7","G7","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","G6/G7","G7","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","SEO/HEO","HEO","Female","35","[c]","32700","32060"
"Leaver Dept.","2023","Department for International Trade","SEO/HEO","HEO","Male","30","[c]","32570","32120"
"Leaver Dept.","2023","Department for International Trade","SEO/HEO","SEO","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for International Trade","SEO/HEO","SEO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","EO","EO","Female","35","[c]","27610","27850"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","EO","EO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Female","55","[c]","54520","53870"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Male","45","[c]","54020","54630"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Female","95","[c]","33340","33210"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Male","65","[c]","32920","33210"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Female","50","[c]","40240","40660"
"Leaver Dept.","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Male","30","[c]","40490","39880"
"Leaver Dept.","2023","Department for Transport","AA/AO","AA","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","AA/AO","AO","Female","65","[c]","22500","22500"
"Leaver Dept.","2023","Department for Transport","AA/AO","AO","Male","45","[c]","22490","22500"
"Leaver Dept.","2023","Department for Transport","EO","EO","Female","50","[c]","27750","27190"
"Leaver Dept.","2023","Department for Transport","EO","EO","Male","70","[c]","28050","26960"
"Leaver Dept.","2023","Department for Transport","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","G6/G7","G7","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","G6/G7","G7","Male","35","[c]","54940","54760"
"Leaver Dept.","2023","Department for Transport","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Transport","SEO/HEO","HEO","Female","90","[c]","33240","32240"
"Leaver Dept.","2023","Department for Transport","SEO/HEO","HEO","Male","80","[c]","33490","33350"
"Leaver Dept.","2023","Department for Transport","SEO/HEO","SEO","Female","50","[c]","41730","41970"
"Leaver Dept.","2023","Department for Transport","SEO/HEO","SEO","Male","55","[c]","41770","42050"
"Leaver Dept.","2023","Department for Work and Pensions","AA/AO","AO","Female","350","[c]","21710","21690"
"Leaver Dept.","2023","Department for Work and Pensions","AA/AO","AO","Male","225","[c]","21750","21690"
"Leaver Dept.","2023","Department for Work and Pensions","EO","EO","Female","955","[c]","28720","28120"
"Leaver Dept.","2023","Department for Work and Pensions","EO","EO","Male","605","[c]","28770","28120"
"Leaver Dept.","2023","Department for Work and Pensions","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Work and Pensions","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Work and Pensions","G6/G7","G7","Female","50","[c]","53730","53190"
"Leaver Dept.","2023","Department for Work and Pensions","G6/G7","G7","Male","40","[c]","54370","54610"
"Leaver Dept.","2023","Department for Work and Pensions","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Work and Pensions","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Department for Work and Pensions","SEO/HEO","HEO","Female","195","[c]","34630","34170"
"Leaver Dept.","2023","Department for Work and Pensions","SEO/HEO","HEO","Male","115","[c]","34800","34170"
"Leaver Dept.","2023","Department for Work and Pensions","SEO/HEO","SEO","Female","85","[c]","39210","38470"
"Leaver Dept.","2023","Department for Work and Pensions","SEO/HEO","SEO","Male","65","[c]","39890","38470"
"Leaver Dept.","2023","Department of Health and Social Care","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","AA/AO","AO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","EO","EO","Female","60","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","EO","EO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","G6/G7","G6","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","G6/G7","G6","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","G6/G7","G7","Female","75","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","G6/G7","G7","Male","60","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","SCS level","SCS level","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","SEO/HEO","HEO","Female","120","[c]","32010","32640"
"Leaver Dept.","2023","Department of Health and Social Care","SEO/HEO","HEO","Male","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","SEO/HEO","SEO","Female","85","[c]","[c]","[c]"
"Leaver Dept.","2023","Department of Health and Social Care","SEO/HEO","SEO","Male","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Estyn","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Estyn","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Estyn","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Estyn","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SEO/HEO","HEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SEO/HEO","HEO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SEO/HEO","SEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Food Standards Agency","SEO/HEO","SEO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","EO","EO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","EO","EO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Male","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","AA/AO","AO","Female","360","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","AA/AO","AO","Male","250","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","EO","EO","Female","140","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","EO","EO","Male","145","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","G6/G7","G7","Female","45","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","G6/G7","G7","Male","45","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SEO/HEO","HEO","Female","115","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SEO/HEO","HEO","Male","110","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SEO/HEO","SEO","Female","75","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Revenue and Customs","SEO/HEO","SEO","Male","80","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","EO","EO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","G6/G7","G7","Female","35","[c]","54290","54090"
"Leaver Dept.","2023","HM Treasury","G6/G7","G7","Male","40","[c]","55290","54090"
"Leaver Dept.","2023","HM Treasury","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","SEO/HEO","HEO","Female","50","[c]","33410","33420"
"Leaver Dept.","2023","HM Treasury","SEO/HEO","HEO","Male","35","[c]","34250","33630"
"Leaver Dept.","2023","HM Treasury","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","HM Treasury","SEO/HEO","SEO","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","AA/AO","AO","Female","85","[c]","23180","22400"
"Leaver Dept.","2023","Home Office","AA/AO","AO","Male","70","[c]","23080","22400"
"Leaver Dept.","2023","Home Office","EO","EO","Female","185","[c]","27580","26750"
"Leaver Dept.","2023","Home Office","EO","EO","Male","160","[c]","27330","26750"
"Leaver Dept.","2023","Home Office","G6/G7","G6","Female","30","[c]","71040","70840"
"Leaver Dept.","2023","Home Office","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","G6/G7","G7","Female","75","[c]","58820","59290"
"Leaver Dept.","2023","Home Office","G6/G7","G7","Male","55","[c]","58680","59290"
"Leaver Dept.","2023","Home Office","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","SEO/HEO","HEO","Female","165","[c]","34420","35070"
"Leaver Dept.","2023","Home Office","SEO/HEO","HEO","Male","120","[c]","35130","36180"
"Leaver Dept.","2023","Home Office","SEO/HEO","SEO","Female","120","[c]","42170","42790"
"Leaver Dept.","2023","Home Office","SEO/HEO","SEO","Male","80","[c]","42530","43210"
"Leaver Dept.","2023","Home Office","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Home Office","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","AA/AO","AA","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","AA/AO","AA","Male","30","[c]","23590","23710"
"Leaver Dept.","2023","Ministry of Defence","AA/AO","AO","Female","75","[c]","22290","22220"
"Leaver Dept.","2023","Ministry of Defence","AA/AO","AO","Male","40","[c]","23780","22220"
"Leaver Dept.","2023","Ministry of Defence","EO","EO","Female","55","[c]","27860","27140"
"Leaver Dept.","2023","Ministry of Defence","EO","EO","Male","35","[c]","28190","27370"
"Leaver Dept.","2023","Ministry of Defence","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","G6/G7","G7","Female","45","[c]","51700","52800"
"Leaver Dept.","2023","Ministry of Defence","G6/G7","G7","Male","45","[c]","54750","54890"
"Leaver Dept.","2023","Ministry of Defence","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","SEO/HEO","HEO","Female","75","[c]","34540","34300"
"Leaver Dept.","2023","Ministry of Defence","SEO/HEO","HEO","Male","75","[c]","35070","33990"
"Leaver Dept.","2023","Ministry of Defence","SEO/HEO","SEO","Female","80","[c]","43210","42700"
"Leaver Dept.","2023","Ministry of Defence","SEO/HEO","SEO","Male","100","[c]","43020","42630"
"Leaver Dept.","2023","Ministry of Defence","Unknown","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Defence","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Justice","AA/AO","AA","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Justice","AA/AO","AA","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Ministry of Justice","AA/AO","AO","Female","345","[c]","22270","21780"
"Leaver Dept.","2023","Ministry of Justice","AA/AO","AO","Male","290","[c]","22420","21780"
"Leaver Dept.","2023","Ministry of Justice","EO","EO","Female","150","[c]","27200","26170"
"Leaver Dept.","2023","Ministry of Justice","EO","EO","Male","115","[c]","27260","26900"
"Leaver Dept.","2023","Ministry of Justice","G6/G7","G6","Female","20","[c]","[c]","[c]"
