"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","G6/G7","35","30","63830","65230"
"In post","2023","Asian","Analysis","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs","SEO/HEO","65","65","40910","39790"
"In post","2023","Asian","Analysis","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice","SEO/HEO","45","45","39550","39000"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","SEO/HEO","55","55","35450","34560"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","G6/G7","70","70","66290","66020"
"In post","2023","Asian","Commercial","Cabinet Office","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport","SEO/HEO","20","15","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","EO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education","EO","5","5","[c]","[c]"
