"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Female","280","265","42200","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Male","765","745","45380","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","80","80","43270","35970"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","130","125","41310","35700"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Female","55","55","50740","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Male","75","75","50760","56300"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Female","330","310","45930","43860"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Male","245","240","47910","46600"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Female","105","100","46660","41550"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Male","155","150","50210","55370"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","105","100","47290","49700"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","150","150","48570","49700"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Female","155","150","51270","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Male","205","200","49030","55190"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","300","275","45700","40660"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","315","310","45240","39150"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","75","70","50920","51680"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","90","85","47750","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Female","30","30","28450","26960"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","Female","65","60","71910","72940"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","Male","115","115","72460","67430"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Female","25","25","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Male","35","35","42670","39120"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","Female","10","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","325","305","49360","45170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","450","445","48910","45050"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","Female","75","75","43160","38160"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","Male","110","110","46050","39490"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Male","35","35","46590","40840"
"In post","2023","Analysis","Home Office","Home Office","Female","285","270","44350","43000"
"In post","2023","Analysis","Home Office","Home Office","Male","295","290","46750","43420"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","30","30","39830","32740"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","50","50","35140","28220"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","140","135","42250","40140"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","185","180","42880","40350"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","350","340","47030","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","340","335","46240","43650"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","90","80","42730","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","85","80","42660","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","55","55","44760","38070"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","110","110","48950","46250"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","Male","40","40","54760","53410"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","35","35","31070","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","UK Export Finance","Female","5","5","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Female","1090","1025","39100","37760"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Male","825","805","40160","37760"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Female","35","35","44880","41500"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Male","30","30","61260","52660"
"In post","2023","Analysis","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","50","45","32160","30320"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Female","130","125","49840","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Male","80","75","52360","51290"
"In post","2023","Commercial","Central Civil Service Fast Stream","Cabinet Office","Female","50","50","30390","30130"
"In post","2023","Commercial","Central Civil Service Fast Stream","Cabinet Office","Male","45","45","30510","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Cabinet Office","Female","190","180","36590","33200"
"In post","2023","Commercial","Crown Commercial Service","Cabinet Office","Male","150","150","38590","40000"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Ministry of Defence","Female","490","455","40310","42620"
"In post","2023","Commercial","Defence Equipment and Support","Ministry of Defence","Male","435","425","43870","42620"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Female","45","45","33550","30650"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Male","40","40","31210","30650"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Female","145","140","42100","39090"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Male","125","125","44130","40530"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","90","85","36290","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","60","60","36980","37300"
"In post","2023","Commercial","Department for International Trade","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Department for International Trade","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Department for Transport","Female","70","65","48240","43750"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Department for Transport","Male","80","80","51930","52760"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","60","60","41020","38120"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","30","30","46340","42120"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Female","95","80","33190","31510"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Male","90","85","34610","31660"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Female","30","30","36970","35450"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Female","45","45","47220","40750"
"In post","2023","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Male","35","35","50610","49670"
"In post","2023","Commercial","Food Standards Agency","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","40","35","40060","40700"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","30","30","44700","44620"
"In post","2023","Commercial","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Female","700","685","71100","66270"
"In post","2023","Commercial","Government Commercial Organisation","Cabinet Office","Male","790","790","77370","68720"
"In post","2023","Commercial","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","70","65","38190","41780"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","70","70","39840","35030"
"In post","2023","Commercial","HM Treasury (excl. agencies)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Treasury (excl. agencies)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Female","30","30","36530","29150"
"In post","2023","Commercial","Health and Safety Executive","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Home Office","Home Office","Female","60","55","40640","39190"
"In post","2023","Commercial","Home Office","Home Office","Male","65","65","40940","40380"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Department for Transport","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Department for Transport","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Female","95","85","42500","40420"
"In post","2023","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Male","70","70","45960","47960"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","600","575","37190","35490"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","405","395","39360","35800"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","150","145","36180","37680"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","130","130","35620","35410"
"In post","2023","Commercial","National Crime Agency","National Crime Agency","Female","20","20","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","National Crime Agency","Male","10","10","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Scottish Government","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Scottish Prison Service","Scottish Government","Female","40","35","33450","28490"
"In post","2023","Commercial","Scottish Prison Service","Scottish Government","Male","45","45","35430","28490"
"In post","2023","Commercial","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Submarine Delivery Agency","Ministry of Defence","Female","80","75","39430","35230"
"In post","2023","Commercial","Submarine Delivery Agency","Ministry of Defence","Male","85","85","46360","43400"
"In post","2023","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2023","Commercial","The National Archives","The National Archives","Female","15","15","[c]","[c]"
"In post","2023","Commercial","The National Archives","The National Archives","Male","20","20","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","UK Export Finance","Female","85","85","49400","45380"
"In post","2023","Commercial","UK Export Finance","UK Export Finance","Male","140","140","56540","52080"
"In post","2023","Commercial","UK Health Security Agency","Department of Health and Social Care","Female","60","60","41380","37060"
"In post","2023","Commercial","UK Health Security Agency","Department of Health and Social Care","Male","55","55","58270","55660"
"In post","2023","Commercial","UK Hydrographic Office","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Hydrographic Office","Ministry of Defence","Male","5","5","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","UK Statistics Authority","Female","20","20","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Valuation Office Agency","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Valuation Office Agency","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Active Travel England","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Active Travel England","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Department for Digital, Culture, Media and Sport","Male","5","5","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Female","145","140","52740","55790"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Male","95","95","53030","43170"
"In post","2023","Communications","Central Civil Service Fast Stream","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2023","Communications","Central Civil Service Fast Stream","Cabinet Office","Male","[c]","[c]","[c]","[c]"
