"Status","Year","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","32555","31385","33220","29270"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","670","670","55610","52950"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","35","35","40540","33990"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","London","4090","3990","47320","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","3025","2940","39340","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","15","15","35810","37680"
"In post","2023","National Crime Agency","National Crime Agency","London","1565","1535","47150","43310"
"In post","2023","National Crime Agency","National Crime Agency","Outside London","3765","3655","40500","38640"
"In post","2023","National Crime Agency","National Crime Agency","Overseas","125","125","48040","47380"
"In post","2023","National Crime Agency","National Crime Agency","Unknown","105","100","47180","47380"
"In post","2023","National Infrastructure Commission","HM Treasury","London","50","45","55040","53410"
"In post","2023","National Infrastructure Commission","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","Scottish Government","Outside London","455","430","38070","34730"
"In post","2023","National Savings and Investments","Chancellor's other departments","London","150","145","54760","49550"
"In post","2023","National Savings and Investments","Chancellor's other departments","Outside London","60","60","46390","44590"
"In post","2023","Northern Ireland Office","Northern Ireland Office","London","90","90","55070","55720"
"In post","2023","Northern Ireland Office","Northern Ireland Office","Outside London","75","75","38230","37680"
"In post","2023","Office for Budget Responsibility","HM Treasury","London","45","45","52070","54810"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","315","310","55080","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","1720","1660","51750","52750"
"In post","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","865","855","50280","46250"
"In post","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","690","680","39850","35000"
"In post","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","345","335","44700","40220"
"In post","2023","Office of Rail and Road","Office of Rail and Road","London","210","200","57490","57700"
"In post","2023","Office of Rail and Road","Office of Rail and Road","Outside London","160","155","52550","53410"
"In post","2023","Office of the Public Guardian","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2023","Office of the Public Guardian","Ministry of Justice","Outside London","1640","1520","24600","21780"
"In post","2023","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Scottish Government","Outside London","45","40","39790","33520"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","45","45","50640","43650"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","80","80","52820","52360"
"In post","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","20","20","53270","50160"
"In post","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","25","25","43780","37680"
"In post","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","30","25","61320","60050"
"In post","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","855","780","45990","43740"
"In post","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","40","40","42100","39000"
"In post","2023","Registers of Scotland","Scottish Government","Outside London","1185","1140","35760","32510"
"In post","2023","Revenue Scotland","Scottish Government","Outside London","85","85","43190","38330"
"In post","2023","Royal Fleet Auxiliary","Ministry of Defence","Unknown","1695","1695","41950","40010"
"In post","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","2815","2600","26990","22150"
"In post","2023","Scottish Courts and Tribunals Service","Scottish Government","Outside London","1960","1790","30450","25060"
"In post","2023","Scottish Fiscal Commission","Scottish Government","Outside London","25","25","50710","49860"
"In post","2023","Scottish Forestry","Scottish Government","Outside London","220","210","38240","38210"
"In post","2023","Scottish Government (excl. agencies)","Scottish Government","London","15","15","53820","46390"
"In post","2023","Scottish Government (excl. agencies)","Scottish Government","Outside London","9140","8765","47020","42860"
"In post","2023","Scottish Government (excl. agencies)","Scottish Government","Overseas","20","20","76250","76030"
"In post","2023","Scottish Housing Regulator","Scottish Government","Outside London","50","50","55540","51110"
"In post","2023","Scottish Prison Service","Scottish Government","Outside London","4540","4260","35040","37060"
"In post","2023","Scottish Public Pensions Agency","Scottish Government","Outside London","370","345","32070","27740"
"In post","2023","Serious Fraud Office","Attorney General's Departments","London","460","450","48650","42500"
"In post","2023","Social Security Scotland","Scottish Government","Outside London","4025","3855","31460","29100"
"In post","2023","Standards and Testing Agency","Department for Education","London","40","40","49030","46600"
"In post","2023","Standards and Testing Agency","Department for Education","Outside London","90","85","40590","37590"
"In post","2023","Student Awards Agency for Scotland","Scottish Government","Outside London","265","255","33190","29450"
"In post","2023","Submarine Delivery Agency","Ministry of Defence","Outside London","2065","2010","43210","41200"
"In post","2023","Submarine Delivery Agency","Ministry of Defence","Overseas","25","25","52350","43590"
"In post","2023","Teaching Regulation Agency","Department for Education","Outside London","85","80","32490","30330"
"In post","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","340","320","41850","38030"
"In post","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","1310","1240","33410","31620"
"In post","2023","The National Archives","The National Archives","London","585","560","37430","34940"
"In post","2023","The National Archives","The National Archives","Outside London","5","5","[c]","[c]"
"In post","2023","Transport Scotland","Scottish Government","Outside London","530","515","48720","49860"
"In post","2023","UK Debt Management Office","HM Treasury","London","115","115","62440","57000"
"In post","2023","UK Export Finance","UK Export Finance","London","495","490","54840","50330"
"In post","2023","UK Export Finance","UK Export Finance","Outside London","25","25","54830","52180"
"In post","2023","UK Health Security Agency","Department of Health and Social Care","London","2220","2115","49140","41280"
"In post","2023","UK Health Security Agency","Department of Health and Social Care","Outside London","3195","3015","44100","38170"
"In post","2023","UK Health Security Agency","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","UK Hydrographic Office","Ministry of Defence","Outside London","940","895","37510","34370"
"In post","2023","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","155","155","49470","41540"
"In post","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","110","110","45920","50490"
"In post","2023","UK Statistics Authority","UK Statistics Authority","London","320","310","48460","42190"
"In post","2023","UK Statistics Authority","UK Statistics Authority","Outside London","5815","5200","34750","31560"
"In post","2023","UK Supreme Court","UK Supreme Court","London","55","55","38100","33450"
"In post","2023","Valuation Office Agency","HM Revenue and Customs","London","660","630","42860","37950"
"In post","2023","Valuation Office Agency","HM Revenue and Customs","Outside London","3325","3110","34290","29570"
"In post","2023","Vehicle Certification Agency","Department for Transport","Outside London","200","190","35110","34620"
"In post","2023","Vehicle Certification Agency","Department for Transport","Overseas","10","10","69120","68310"
"In post","2023","Vehicle Certification Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","165","160","43210","40260"
"In post","2023","Water Services Regulation Authority","Water Services Regulation Authority","London","80","75","65200","63460"
"In post","2023","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","185","180","52840","48000"
"In post","2023","Welsh Government (excl. agencies)","Welsh Government","London","10","10","56210","49760"
"In post","2023","Welsh Government (excl. agencies)","Welsh Government","Outside London","5945","5615","43660","39690"
"In post","2023","Welsh Government (excl. agencies)","Welsh Government","Overseas","15","15","59350","63900"
"In post","2023","Welsh Revenue Authority","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Revenue Authority","Welsh Government","Outside London","80","80","46800","43660"
"In post","2023","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","85","80","35870","31620"
"Leaver CS","2023","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","20","[c]","47290","48040"
"Leaver CS","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","65","[c]","36680","32110"
"Leaver CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","50","[c]","31480","25920"
"Leaver CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","235","[c]","29890","25920"
"Leaver CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Office","Attorney General's Departments","London","5","[c]","[c]","[c]"
"Leaver CS","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","35","[c]","40400","35620"
"Leaver CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","515","[c]","51250","54700"
"Leaver CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","240","[c]","35890","33300"
"Leaver CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","[c]","37690","32510"
"Leaver CS","2023","Central Civil Service Fast Stream","Cabinet Office","London","80","[c]","30830","30130"
"Leaver CS","2023","Central Civil Service Fast Stream","Cabinet Office","Outside London","15","[c]","30410","30130"
"Leaver CS","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","15","[c]","29490","29250"
"Leaver CS","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","55","[c]","33140","29750"
"Leaver CS","2023","Charity Commission","Charity Commission","London","10","[c]","39570","38800"
"Leaver CS","2023","Charity Commission","Charity Commission","Outside London","40","[c]","31290","29160"
"Leaver CS","2023","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","100","[c]","32520","25610"
"Leaver CS","2023","Competition and Markets Authority","Competition and Markets Authority","London","115","[c]","55200","53530"
"Leaver CS","2023","Competition and Markets Authority","Competition and Markets Authority","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2023","Crown Commercial Service","Cabinet Office","London","10","[c]","[c]","[c]"
"Leaver CS","2023","Crown Commercial Service","Cabinet Office","Outside London","70","[c]","38630","35290"
"Leaver CS","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","120","[c]","34390","24490"
"Leaver CS","2023","Crown Prosecution Service","Attorney General's Departments","London","120","[c]","37730","28540"
"Leaver CS","2023","Crown Prosecution Service","Attorney General's Departments","Outside London","350","[c]","38910","32980"
"Leaver CS","2023","Defence Electronics and Components Agency","Ministry of Defence","Outside London","30","[c]","32060","30060"
"Leaver CS","2023","Defence Equipment and Support","Ministry of Defence","London","15","[c]","29490","28690"
"Leaver CS","2023","Defence Equipment and Support","Ministry of Defence","Outside London","910","[c]","38000","33990"
"Leaver CS","2023","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","360","[c]","37090","38070"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","515","[c]","48260","41360"
