"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","The National Archives","The National Archives","590","560","37440","34940"
"In post","2023","Transport Scotland","Scottish Government","530","515","48720","49860"
"In post","2023","UK Debt Management Office","HM Treasury","115","115","62440","57000"
"In post","2023","UK Export Finance","UK Export Finance","520","515","54840","51510"
"In post","2023","UK Health Security Agency","Department of Health and Social Care","5420","5130","46190","40880"
"In post","2023","UK Hydrographic Office","Ministry of Defence","940","900","37560","34370"
"In post","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","265","265","47980","43650"
"In post","2023","UK Statistics Authority","UK Statistics Authority","6130","5510","35460","31560"
"In post","2023","UK Supreme Court","UK Supreme Court","55","55","38100","33450"
"In post","2023","Valuation Office Agency","HM Revenue and Customs","3985","3740","35710","32260"
"In post","2023","Vehicle Certification Agency","Department for Transport","215","200","36920","34970"
"In post","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","165","160","43210","40260"
"In post","2023","Water Services Regulation Authority","Water Services Regulation Authority","265","255","56510","50260"
"In post","2023","Welsh Government (excl. agencies)","Welsh Government","5970","5640","43720","39690"
"In post","2023","Welsh Revenue Authority","Welsh Government","80","80","46880","43660"
"In post","2023","Wilton Park","Foreign, Commonwealth and Development Office","85","80","35870","31620"
"Leaver CS","2023","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","85","[c]","39180","34500"
"Leaver CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","290","[c]","30140","25920"
"Leaver CS","2023","Attorney General's Office","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","35","[c]","40400","35620"
"Leaver CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","770","[c]","46260","40600"
"Leaver CS","2023","Central Civil Service Fast Stream","Cabinet Office","115","[c]","30570","30130"
"Leaver CS","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","55","[c]","33140","29750"
"Leaver CS","2023","Charity Commission","Charity Commission","50","[c]","33010","30170"
"Leaver CS","2023","Companies House","Department for Business, Energy and Industrial Strategy","100","[c]","32520","25610"
"Leaver CS","2023","Competition and Markets Authority","Competition and Markets Authority","120","[c]","54530","53530"
"Leaver CS","2023","Criminal Injuries Compensation Authority","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2023","Crown Commercial Service","Cabinet Office","75","[c]","40220","38330"
"Leaver CS","2023","Crown Office and Procurator Fiscal Service","Scottish Government","120","[c]","34390","24490"
"Leaver CS","2023","Crown Prosecution Service","Attorney General's Departments","470","[c]","38610","30560"
"Leaver CS","2023","Defence Electronics and Components Agency","Ministry of Defence","30","[c]","32060","30060"
"Leaver CS","2023","Defence Equipment and Support","Ministry of Defence","930","[c]","37860","33990"
"Leaver CS","2023","Defence Science and Technology Laboratory","Ministry of Defence","360","[c]","37090","38070"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","575","[c]","47380","40830"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","205","[c]","45810","42120"
"Leaver CS","2023","Department for Education (excl. agencies)","Department for Education","445","[c]","42490","37910"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","555","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Department for International Trade","260","[c]","41500","38160"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","315","[c]","42340","37270"
"Leaver CS","2023","Department for Transport (excl. agencies)","Department for Transport","260","[c]","48410","43750"
"Leaver CS","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","8205","[c]","27750","27570"
"Leaver CS","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","505","[c]","[c]","[c]"
"Leaver CS","2023","Disclosure Scotland","Scottish Government","20","[c]","31970","29450"
"Leaver CS","2023","Driver and Vehicle Licensing Agency","Department for Transport","600","[c]","24670","22500"
"Leaver CS","2023","Driver and Vehicle Standards Agency","Department for Transport","580","[c]","28700","27190"
"Leaver CS","2023","Education Scotland","Scottish Government","20","[c]","60950","70920"
"Leaver CS","2023","Education and Skills Funding Agency","Department for Education","70","[c]","45710","39550"
"Leaver CS","2023","Estyn","Estyn","15","[c]","46230","30610"
"Leaver CS","2023","FCDO Services","Foreign, Commonwealth and Development Office","80","[c]","37160","33470"
"Leaver CS","2023","Food Standards Agency","Food Standards Agency","95","[c]","37200","31260"
"Leaver CS","2023","Food Standards Scotland","Scottish Government","25","[c]","37560","34730"
"Leaver CS","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","345","[c]","[c]","[c]"
"Leaver CS","2023","Forestry and Land Scotland","Scottish Government","115","[c]","33430","29560"
"Leaver CS","2023","Government Actuary's Department","Chancellor's other departments","35","[c]","57610","41850"
"Leaver CS","2023","Government Commercial Organisation","Cabinet Office","150","[c]","76560","68040"
"Leaver CS","2023","Government Internal Audit Agency","HM Treasury","45","[c]","47340","44590"
"Leaver CS","2023","Government Legal Department","Attorney General's Departments","255","[c]","52930","52290"
"Leaver CS","2023","Government Property Agency","Cabinet Office","30","[c]","45070","38580"
"Leaver CS","2023","HM Courts and Tribunals Service","Ministry of Justice","2010","[c]","25480","21780"
"Leaver CS","2023","HM Land Registry","HM Land Registry","495","[c]","34270","31680"
"Leaver CS","2023","HM Prison and Probation Service","Ministry of Justice","7280","[c]","36670","30410"
"Leaver CS","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4325","[c]","[c]","[c]"
"Leaver CS","2023","HM Treasury (excl. agencies)","HM Treasury","285","[c]","43070","37900"
"Leaver CS","2023","Health and Safety Executive","Department for Work and Pensions","220","[c]","42130","40510"
"Leaver CS","2023","Home Office","Home Office","2520","[c]","32670","26750"
"Leaver CS","2023","Institute for Apprenticeships and Technical Education","Department for Education","20","[c]","48060","42230"
"Leaver CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","90","[c]","36990","30640"
"Leaver CS","2023","Legal Aid Agency","Ministry of Justice","70","[c]","29820","21780"
"Leaver CS","2023","Maritime and Coastguard Agency","Department for Transport","190","[c]","33950","27450"
"Leaver CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","205","[c]","50180","41480"
"Leaver CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","165","[c]","35850","35230"
"Leaver CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","3415","[c]","33820","29570"
"Leaver CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","555","[c]","44110","41510"
"Leaver CS","2023","National Crime Agency","National Crime Agency","370","[c]","42290","38980"
"Leaver CS","2023","National Infrastructure Commission","HM Treasury","10","[c]","[c]","[c]"
"Leaver CS","2023","National Records of Scotland","Scottish Government","45","[c]","33060","29450"
"Leaver CS","2023","National Savings and Investments","Chancellor's other departments","30","[c]","48770","44000"
"Leaver CS","2023","Northern Ireland Office","Northern Ireland Office","10","[c]","[c]","[c]"
"Leaver CS","2023","Office for Budget Responsibility","HM Treasury","5","[c]","[c]","[c]"
"Leaver CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","235","[c]","54560","52750"
"Leaver CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","260","[c]","44840","38900"
"Leaver CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","25","[c]","51300","39140"
