"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","EO","15","15","29990","30490"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","HEO","45","45","38060","39330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SEO","20","20","46460","45370"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","AO","35","30","21230","21260"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","EO","255","235","25560","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","G6","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","G7","10","10","54870","53230"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","HEO","355","320","33210","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","SEO","90","80","42050","41330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","EO","35","35","31590","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","HEO","15","15","35580","35520"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","AO","765","715","22610","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","EO","605","580","26730","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","G6","25","25","62010","61820"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","G7","65","65","51040","49400"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","HEO","335","325","31210","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","SEO","210","200","38650","37300"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","HEO","10","10","30690","30320"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","SEO","10","10","38830","37500"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","AO","160","150","24590","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","EO","150","140","28590","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","G6","10","10","65040","65560"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","G7","45","40","53300","54330"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","HEO","125","120","33440","33830"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","SEO","80","75","40340","40260"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","EO","25","25","25920","25920"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","G6","25","20","62510","61270"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","G7","70","70","52220","50990"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","HEO","10","10","30330","30320"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","SEO","180","165","40350","38200"
"In post","2023","Attorney General's Office","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","HEO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","HEO","10","10","36300","35330"
"In post","2023","Building Digital UK","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","HEO","20","20","33570","31880"
"In post","2023","Building Digital UK","Project Delivery","London","EO","10","10","27950","27230"
"In post","2023","Building Digital UK","Project Delivery","London","G6","10","10","65360","66650"
"In post","2023","Building Digital UK","Project Delivery","London","G7","35","35","54180","53030"
"In post","2023","Building Digital UK","Project Delivery","London","HEO","15","15","35130","35040"
"In post","2023","Building Digital UK","Project Delivery","London","SCS level","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Outside London","G7","25","25","51650","52760"
"In post","2023","Building Digital UK","Project Delivery","Outside London","HEO","10","10","32630","31880"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","EO","10","10","29360","29190"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","G6","10","10","69580","69730"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","G7","30","25","57200","56430"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","HEO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","SCS level","20","20","112500","106940"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","SEO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","G7","20","20","52860","51290"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","HEO","10","10","33000","33020"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","SEO","15","15","38810","38460"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","G6","20","20","67700","66530"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","G7","45","40","57550","56430"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","HEO","25","25","37090","35650"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","SEO","30","30","42300","41870"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","G7","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","EO","25","20","28710","28370"
