"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Operational Delivery","AA/AO","85","75","20780","20750"
"In post","2023","16-19","Department for Transport","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","AA/AO","35","35","21820","21690"
"In post","2023","16-19","Department for Work and Pensions","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Other","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","AA/AO","125","120","22700","22520"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Operational Research","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Property","AA/AO","10","10","22960","22520"
"In post","2023","16-19","HM Revenue and Customs","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","AA/AO","20","20","23120","22520"
"In post","2023","16-19","HM Treasury","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","AA/AO","105","95","23050","22400"
"In post","2023","16-19","Home Office","Operational Delivery","EO","25","25","26810","25750"
"In post","2023","16-19","Home Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Finance","AA/AO","15","15","19690","19460"
"In post","2023","16-19","Ministry of Defence","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Delivery","AA/AO","35","35","20060","19890"
"In post","2023","16-19","Ministry of Defence","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Other","AA/AO","15","15","20510","19460"
"In post","2023","16-19","Ministry of Defence","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Ministry of Defence","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","AA/AO","90","90","19480","18780"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Science and Engineering","Unknown","15","15","18580","18280"
"In post","2023","16-19","Ministry of Defence","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","AA/AO","310","305","26160","25480"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Operational Delivery","Unknown","35","30","20180","19090"
"In post","2023","16-19","Ministry of Justice","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Operational Delivery","AA/AO","20","20","23880","23700"
"In post","2023","16-19","Scottish Government","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","AA/AO","50","50","23060","22460"
"In post","2023","16-19","The National Archives","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","EO","10","10","24840","24840"
"In post","2023","16-19","UK Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","AA/AO","10","10","20820","21200"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Communications","SEO/HEO","20","20","36000","33310"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","EO","20","20","27120","26620"
"In post","2023","20-29","Attorney General's Departments","Counter Fraud","SEO/HEO","15","15","37480","39790"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","20","20","36870","36000"
"In post","2023","20-29","Attorney General's Departments","Finance","AA/AO","15","15","21480","20980"
"In post","2023","20-29","Attorney General's Departments","Finance","EO","15","15","27300","26900"
"In post","2023","20-29","Attorney General's Departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","EO","20","20","27450","27280"
"In post","2023","20-29","Attorney General's Departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Human Resources","SEO/HEO","20","20","34230","32660"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Legal","EO","170","170","29320","28200"
"In post","2023","20-29","Attorney General's Departments","Legal","G6/G7","175","175","51570","52020"
"In post","2023","20-29","Attorney General's Departments","Legal","SEO/HEO","115","115","41920","40800"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","AA/AO","540","530","23030","22870"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","EO","360","355","27660","27760"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Operational Delivery","SEO/HEO","80","80","33530","32630"
"In post","2023","20-29","Attorney General's Departments","Other","EO","10","10","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","EO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Policy","SEO/HEO","15","15","36490","38860"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Project Delivery","SEO/HEO","10","10","34830","32660"
"In post","2023","20-29","Attorney General's Departments","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Commercial","EO","15","15","26590","26410"
"In post","2023","20-29","Cabinet Office","Commercial","G6/G7","80","80","63050","65500"
"In post","2023","20-29","Cabinet Office","Commercial","SEO/HEO","150","150","32350","31640"
"In post","2023","20-29","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Communications","SEO/HEO","40","40","36360","35650"
"In post","2023","20-29","Cabinet Office","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","EO","15","15","27260","28050"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","G6/G7","80","80","56240","56430"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Digital, Data and Technology","SEO/HEO","215","215","33630","32960"
"In post","2023","20-29","Cabinet Office","Economics","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Economics","SEO/HEO","10","10","35530","35440"
"In post","2023","20-29","Cabinet Office","Finance","EO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Finance","SEO/HEO","95","95","32360","32640"
"In post","2023","20-29","Cabinet Office","Human Resources","AA/AO","35","35","21820","21720"
"In post","2023","20-29","Cabinet Office","Human Resources","EO","45","45","26230","25170"
"In post","2023","20-29","Cabinet Office","Human Resources","G6/G7","15","15","54770","56110"
"In post","2023","20-29","Cabinet Office","Human Resources","SEO/HEO","60","60","34300","33520"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","EO","10","10","25320","26030"
"In post","2023","20-29","Cabinet Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Policy","G6/G7","45","45","57120","56430"
"In post","2023","20-29","Cabinet Office","Policy","SEO/HEO","80","80","38830","40600"
"In post","2023","20-29","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Project Delivery","SEO/HEO","240","240","30950","30130"
"In post","2023","20-29","Cabinet Office","Property","EO","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Property","SEO/HEO","45","45","31610","30130"
"In post","2023","20-29","Cabinet Office","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Science and Engineering","SEO/HEO","95","95","30290","30130"
"In post","2023","20-29","Cabinet Office","Security","AA/AO","10","10","22090","21830"
"In post","2023","20-29","Cabinet Office","Security","EO","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Security","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Security","SEO/HEO","20","20","36340","35650"
"In post","2023","20-29","Cabinet Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Statistics","SEO/HEO","105","105","31320","30130"
"In post","2023","20-29","Cabinet Office","Unknown","AA/AO","80","75","23140","21720"
"In post","2023","20-29","Cabinet Office","Unknown","EO","185","185","27050","28050"
"In post","2023","20-29","Cabinet Office","Unknown","G6/G7","130","130","57150","56430"
"In post","2023","20-29","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","Unknown","SEO/HEO","970","970","32210","30130"
"In post","2023","20-29","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Other","EO","15","15","30150","30090"
"In post","2023","20-29","Chancellor's other departments","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Other","SEO/HEO","30","30","38800","37690"
"In post","2023","20-29","Chancellor's other departments","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Operational Delivery","AA/AO","10","10","21500","21100"
