"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","South East (England)","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","Wales","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","East of England","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","East Midlands (England)","35","35","25880","27650"
"In post","2023","16-19","Declared non-disabled","No function","East of England","30","30","26220","24070"
"In post","2023","16-19","Declared non-disabled","No function","London","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","North East (England)","30","30","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","North West (England)","45","45","24460","23230"
"In post","2023","16-19","Declared non-disabled","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","Scotland","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","South East (England)","35","35","25300","23230"
"In post","2023","16-19","Declared non-disabled","No function","South West (England)","35","35","24310","23230"
"In post","2023","16-19","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","Wales","75","70","21170","21780"
"In post","2023","16-19","Declared non-disabled","No function","West Midlands (England)","35","35","23620","23230"
"In post","2023","16-19","Declared non-disabled","No function","Yorkshire and The Humber","40","40","24680","23230"
"In post","2023","16-19","Declared non-disabled","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","South West (England)","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Scotland","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Wales","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","North East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","South West (England)","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","South West (England)","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","No function","East Midlands (England)","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","No function","East of England","30","25","23420","22400"
"In post","2023","16-19","Unknown","No function","London","50","45","27660","26400"
"In post","2023","16-19","Unknown","No function","North East (England)","25","20","[c]","[c]"
"In post","2023","16-19","Unknown","No function","North West (England)","55","50","23470","22400"
"In post","2023","16-19","Unknown","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","No function","Scotland","30","30","22500","22520"
