"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AA/AO","AO","225","225","23490","22520"
"In post","2023","20-29","Counter Fraud","EO","EO","755","745","29050","28120"
"In post","2023","20-29","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO/HEO","HEO","205","205","35460","34400"
"In post","2023","20-29","Counter Fraud","SEO/HEO","SEO","25","25","41250","40700"
"In post","2023","20-29","Digital, Data and Technology","AA/AO","AA","10","10","20890","20570"
"In post","2023","20-29","Digital, Data and Technology","AA/AO","AO","150","150","23220","22500"
"In post","2023","20-29","Digital, Data and Technology","EO","EO","895","880","28020","27890"
"In post","2023","20-29","Digital, Data and Technology","G6/G7","G6","30","30","68260","67060"
"In post","2023","20-29","Digital, Data and Technology","G6/G7","G7","370","365","55020","55120"
"In post","2023","20-29","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","SEO/HEO","HEO","1235","1230","34060","34170"
"In post","2023","20-29","Digital, Data and Technology","SEO/HEO","SEO","805","805","41510","41480"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Unknown","20","20","30060","26420"
"In post","2023","20-29","Economics","AA/AO","AO","60","60","22920","22480"
"In post","2023","20-29","Economics","EO","EO","130","130","28020","28720"
"In post","2023","20-29","Economics","G6/G7","G6","10","10","67590","66750"
"In post","2023","20-29","Economics","G6/G7","G7","295","295","56760","55740"
"In post","2023","20-29","Economics","SEO/HEO","HEO","555","555","35180","35010"
"In post","2023","20-29","Economics","SEO/HEO","SEO","185","185","42840","43540"
"In post","2023","20-29","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AA/AO","AO","285","275","23250","22520"
"In post","2023","20-29","Finance","EO","EO","355","350","27700","27140"
"In post","2023","20-29","Finance","G6/G7","G6","15","15","66280","65820"
"In post","2023","20-29","Finance","G6/G7","G7","125","125","54940","55250"
"In post","2023","20-29","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SEO/HEO","HEO","435","430","33880","33990"
"In post","2023","20-29","Finance","SEO/HEO","SEO","200","200","41290","41360"
"In post","2023","20-29","Finance","Unknown","Unknown","15","15","32140","31920"
"In post","2023","20-29","Geography","AA/AO","AO","25","25","21690","21690"
"In post","2023","20-29","Geography","EO","EO","55","55","27610","27610"
"In post","2023","20-29","Geography","SEO/HEO","HEO","20","20","34370","34370"
"In post","2023","20-29","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","AA/AO","AA","15","15","20350","20060"
"In post","2023","20-29","Human Resources","AA/AO","AO","275","265","22700","22220"
"In post","2023","20-29","Human Resources","EO","EO","420","415","27430","27140"
"In post","2023","20-29","Human Resources","G6/G7","G6","15","15","65620","66700"
"In post","2023","20-29","Human Resources","G6/G7","G7","140","140","54790","55120"
"In post","2023","20-29","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","SEO/HEO","HEO","490","490","33120","32690"
"In post","2023","20-29","Human Resources","SEO/HEO","SEO","170","170","41290","41120"
"In post","2023","20-29","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","EO","EO","270","270","28420","28480"
"In post","2023","20-29","Intelligence Analysis","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","SEO/HEO","HEO","170","170","36240","36520"
"In post","2023","20-29","Intelligence Analysis","SEO/HEO","SEO","45","45","44050","45540"
"In post","2023","20-29","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","EO","EO","10","10","28440","27610"
"In post","2023","20-29","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","SEO/HEO","HEO","35","35","34630","34300"
"In post","2023","20-29","Internal Audit","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","20-29","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","International Trade","EO","EO","60","60","28490","29280"
"In post","2023","20-29","International Trade","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","20-29","International Trade","G6/G7","G7","115","115","55470","55370"
"In post","2023","20-29","International Trade","SEO/HEO","HEO","205","205","34720","35010"
"In post","2023","20-29","International Trade","SEO/HEO","SEO","210","210","41170","41550"
"In post","2023","20-29","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","AA/AO","AO","55","55","23330","22220"
"In post","2023","20-29","Knowledge and Information Management","EO","EO","95","95","27970","27980"
"In post","2023","20-29","Knowledge and Information Management","G6/G7","G7","15","15","53730","55150"
"In post","2023","20-29","Knowledge and Information Management","SEO/HEO","HEO","100","100","34340","34000"
"In post","2023","20-29","Knowledge and Information Management","SEO/HEO","SEO","20","20","42110","41850"
"In post","2023","20-29","Knowledge and Information Management","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Legal","AA/AO","AO","25","25","23340","22520"
"In post","2023","20-29","Legal","EO","EO","420","415","29310","28130"
"In post","2023","20-29","Legal","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","G6/G7","G7","325","325","52480","52360"
"In post","2023","20-29","Legal","SEO/HEO","HEO","195","195","37220","35000"
"In post","2023","20-29","Legal","SEO/HEO","SEO","140","140","39740","38760"
"In post","2023","20-29","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","AA/AO","AO","25","25","23720","23230"
"In post","2023","20-29","Medicine","EO","EO","50","45","30400","29180"
"In post","2023","20-29","Medicine","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","20-29","Medicine","SEO/HEO","HEO","35","35","34890","35570"
"In post","2023","20-29","Medicine","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Operational Delivery","AA/AO","AA","1805","1730","22530","23230"
"In post","2023","20-29","Operational Delivery","AA/AO","AO","19590","19100","25160","22520"
"In post","2023","20-29","Operational Delivery","EO","EO","11515","11365","28630","28120"
"In post","2023","20-29","Operational Delivery","G6/G7","G6","35","35","68360","66290"
"In post","2023","20-29","Operational Delivery","G6/G7","G7","255","255","54660","54710"
"In post","2023","20-29","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","SEO/HEO","HEO","2950","2930","33780","33710"
"In post","2023","20-29","Operational Delivery","SEO/HEO","SEO","865","860","41250","41180"
"In post","2023","20-29","Operational Delivery","Unknown","Unknown","4510","4405","25700","24570"
"In post","2023","20-29","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Research","AA/AO","AO","35","35","22490","22520"
"In post","2023","20-29","Operational Research","EO","EO","15","15","27880","26940"
"In post","2023","20-29","Operational Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Research","G6/G7","G7","35","35","56090","56870"
"In post","2023","20-29","Operational Research","SEO/HEO","HEO","180","180","33620","34170"
"In post","2023","20-29","Operational Research","SEO/HEO","SEO","100","100","41810","42140"
"In post","2023","20-29","Other","AA/AO","AA","145","145","20270","19770"
"In post","2023","20-29","Other","AA/AO","AO","600","580","22440","21690"
"In post","2023","20-29","Other","EO","EO","440","435","28530","28120"
"In post","2023","20-29","Other","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Other","G6/G7","G7","40","40","55770","55610"
"In post","2023","20-29","Other","SEO/HEO","HEO","380","380","33270","32940"
"In post","2023","20-29","Other","SEO/HEO","SEO","125","125","41070","39890"
"In post","2023","20-29","Other","Unknown","Unknown","375","375","32320","33320"
"In post","2023","20-29","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Planning","EO","EO","5","5","[c]","[c]"
"In post","2023","20-29","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Planning","SEO/HEO","HEO","10","10","33640","34420"
"In post","2023","20-29","Planning","SEO/HEO","SEO","10","10","41950","40800"
"In post","2023","20-29","Planning Inspectors","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Planning Inspectors","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Planning Inspectors","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Policy","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","20-29","Policy","AA/AO","AO","120","120","24780","25540"
"In post","2023","20-29","Policy","EO","EO","865","860","28420","28510"
"In post","2023","20-29","Policy","G6/G7","G6","110","110","66150","66000"
"In post","2023","20-29","Policy","G6/G7","G7","1890","1885","55300","55020"
"In post","2023","20-29","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Policy","SEO/HEO","HEO","3210","3200","34610","34310"
"In post","2023","20-29","Policy","SEO/HEO","SEO","2145","2140","41570","41360"
"In post","2023","20-29","Policy","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","AA/AO","AO","140","140","23310","23390"
"In post","2023","20-29","Project Delivery","EO","EO","390","385","27560","27140"
"In post","2023","20-29","Project Delivery","G6/G7","G6","20","20","67610","66750"
"In post","2023","20-29","Project Delivery","G6/G7","G7","250","250","54820","55110"
"In post","2023","20-29","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","SEO/HEO","HEO","1115","1110","33270","33370"
"In post","2023","20-29","Project Delivery","SEO/HEO","SEO","535","535","41060","41200"
"In post","2023","20-29","Project Delivery","Unknown","Unknown","85","85","29220","31920"
"In post","2023","20-29","Property","AA/AO","AA","50","50","19750","19770"
"In post","2023","20-29","Property","AA/AO","AO","110","105","22900","22520"
"In post","2023","20-29","Property","EO","EO","260","255","27660","26890"
"In post","2023","20-29","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","G6/G7","G7","20","20","53160","54330"
"In post","2023","20-29","Property","SEO/HEO","HEO","285","285","32410","32330"
"In post","2023","20-29","Property","SEO/HEO","SEO","105","105","42940","43650"
"In post","2023","20-29","Property","Unknown","Unknown","15","15","25210","23800"
"In post","2023","20-29","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Psychology","AA/AO","AO","30","25","24880","24070"
"In post","2023","20-29","Psychology","EO","EO","180","180","28880","28480"
"In post","2023","20-29","Psychology","SEO/HEO","HEO","180","180","31720","30940"
"In post","2023","20-29","Psychology","SEO/HEO","SEO","10","10","41320","41260"
"In post","2023","20-29","Science and Engineering","AA/AO","AA","50","50","19240","19280"
"In post","2023","20-29","Science and Engineering","AA/AO","AO","385","385","23950","24010"
"In post","2023","20-29","Science and Engineering","EO","EO","520","520","26960","27060"
"In post","2023","20-29","Science and Engineering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Science and Engineering","G6/G7","G7","55","55","51380","49260"
"In post","2023","20-29","Science and Engineering","SEO/HEO","HEO","1095","1090","31400","30650"
"In post","2023","20-29","Science and Engineering","SEO/HEO","SEO","455","455","40770","39890"
"In post","2023","20-29","Science and Engineering","Unknown","Unknown","275","275","31050","28850"
"In post","2023","20-29","Security","AA/AO","AA","190","190","23670","22130"
"In post","2023","20-29","Security","AA/AO","AO","515","515","28850","27480"
"In post","2023","20-29","Security","EO","EO","155","155","29470","28120"
"In post","2023","20-29","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","G6/G7","G7","30","30","55860","55850"
"In post","2023","20-29","Security","SEO/HEO","HEO","135","135","35450","35250"
"In post","2023","20-29","Security","SEO/HEO","SEO","65","65","43090","42750"
"In post","2023","20-29","Security","Unknown","Unknown","10","10","29480","31920"
"In post","2023","20-29","Social Research","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","20-29","Social Research","EO","EO","10","10","27630","27520"
"In post","2023","20-29","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Social Research","G6/G7","G7","50","50","56740","55760"
"In post","2023","20-29","Social Research","SEO/HEO","HEO","325","320","33930","32800"
"In post","2023","20-29","Social Research","SEO/HEO","SEO","220","215","41640","41630"
"In post","2023","20-29","Statistics","AA/AO","AA","40","40","23290","23500"
"In post","2023","20-29","Statistics","AA/AO","AO","20","20","24120","23560"
"In post","2023","20-29","Statistics","EO","EO","120","120","28650","28310"
"In post","2023","20-29","Statistics","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Statistics","G6/G7","G7","100","100","56320","55370"
"In post","2023","20-29","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Statistics","SEO/HEO","HEO","470","465","33690","33880"
"In post","2023","20-29","Statistics","SEO/HEO","SEO","275","270","42090","42140"
"In post","2023","20-29","Tax","AA/AO","AO","690","660","22570","22520"
"In post","2023","20-29","Tax","EO","EO","1095","1085","28230","27890"
"In post","2023","20-29","Tax","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","20-29","Tax","G6/G7","G7","160","160","58940","57970"
"In post","2023","20-29","Tax","SEO/HEO","HEO","875","870","35470","34700"
"In post","2023","20-29","Tax","SEO/HEO","SEO","65","65","42450","42140"
"In post","2023","20-29","Unknown","AA/AO","AA","715","690","23230","23340"
"In post","2023","20-29","Unknown","AA/AO","AO","780","770","24540","24750"
"In post","2023","20-29","Unknown","EO","EO","1620","1605","29210","29100"
"In post","2023","20-29","Unknown","G6/G7","G6","55","55","68480","67890"
"In post","2023","20-29","Unknown","G6/G7","G7","550","545","56050","54870"
"In post","2023","20-29","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SEO/HEO","HEO","2290","2280","33790","34190"
"In post","2023","20-29","Unknown","SEO/HEO","SEO","720","720","42720","41950"
"In post","2023","20-29","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Veterinarian","EO","EO","10","10","[c]","[c]"
"In post","2023","20-29","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Veterinarian","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","30-39","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","AA/AO","AO","55","50","23360","22500"
"In post","2023","30-39","Commercial","EO","EO","175","165","27650","27140"
"In post","2023","30-39","Commercial","G6/G7","G6","115","110","72860","70780"
"In post","2023","30-39","Commercial","G6/G7","G7","395","390","59750","56200"
"In post","2023","30-39","Commercial","SCS level","SCS level","15","15","105610","105310"
"In post","2023","30-39","Commercial","SEO/HEO","HEO","415","400","33590","33830"
"In post","2023","30-39","Commercial","SEO/HEO","SEO","565","550","41680","41260"
"In post","2023","30-39","Commercial","Unknown","Unknown","50","50","40210","42440"
"In post","2023","30-39","Communications","AA/AO","AO","25","25","22590","22490"
"In post","2023","30-39","Communications","EO","EO","95","90","28170","27470"
"In post","2023","30-39","Communications","G6/G7","G6","85","85","67950","67420"
"In post","2023","30-39","Communications","G6/G7","G7","295","290","56230","56080"
"In post","2023","30-39","Communications","SCS level","SCS level","15","15","83360","76550"
"In post","2023","30-39","Communications","SEO/HEO","HEO","290","275","34910","34520"
"In post","2023","30-39","Communications","SEO/HEO","SEO","385","375","42900","42750"
"In post","2023","30-39","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Corporate Finance","EO","EO","5","5","[c]","[c]"
"In post","2023","30-39","Corporate Finance","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","30-39","Corporate Finance","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","30-39","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Corporate Finance","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","30-39","Corporate Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AA/AO","AO","220","195","23140","21690"
"In post","2023","30-39","Counter Fraud","EO","EO","950","910","28800","28120"
"In post","2023","30-39","Counter Fraud","G6/G7","G6","10","10","70620","69280"
"In post","2023","30-39","Counter Fraud","G6/G7","G7","40","40","58130","57970"
"In post","2023","30-39","Counter Fraud","SEO/HEO","HEO","425","415","35450","34700"
"In post","2023","30-39","Counter Fraud","SEO/HEO","SEO","80","80","41870","41650"
"In post","2023","30-39","Digital, Data and Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","30-39","Digital, Data and Technology","AA/AO","AO","120","115","22930","22500"
"In post","2023","30-39","Digital, Data and Technology","EO","EO","680","665","28520","28120"
"In post","2023","30-39","Digital, Data and Technology","G6/G7","G6","365","360","69160","67780"
"In post","2023","30-39","Digital, Data and Technology","G6/G7","G7","1485","1460","56000","55780"
"In post","2023","30-39","Digital, Data and Technology","SCS level","SCS level","45","45","87620","84570"
"In post","2023","30-39","Digital, Data and Technology","SEO/HEO","HEO","1355","1330","34460","34260"
"In post","2023","30-39","Digital, Data and Technology","SEO/HEO","SEO","1570","1545","41970","41780"
"In post","2023","30-39","Digital, Data and Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Economics","EO","EO","15","15","28050","28250"
"In post","2023","30-39","Economics","G6/G7","G6","125","120","69430","68020"
"In post","2023","30-39","Economics","G6/G7","G7","240","230","57640","56510"
"In post","2023","30-39","Economics","SCS level","SCS level","35","30","80260","77200"
"In post","2023","30-39","Economics","SEO/HEO","HEO","50","50","36240","35010"
"In post","2023","30-39","Economics","SEO/HEO","SEO","40","40","44770","43650"
"In post","2023","30-39","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","30-39","Finance","AA/AO","AO","160","150","23300","22520"
"In post","2023","30-39","Finance","EO","EO","300","285","28050","27470"
"In post","2023","30-39","Finance","G6/G7","G6","190","185","68870","69320"
"In post","2023","30-39","Finance","G6/G7","G7","450","440","56030","55720"
"In post","2023","30-39","Finance","SCS level","SCS level","45","45","83200","79290"
"In post","2023","30-39","Finance","SEO/HEO","HEO","450","435","34400","34170"
"In post","2023","30-39","Finance","SEO/HEO","SEO","530","515","42620","41800"
"In post","2023","30-39","Finance","Unknown","Unknown","15","15","47360","48790"
"In post","2023","30-39","Geography","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","30-39","Geography","EO","EO","35","35","28590","27610"
"In post","2023","30-39","Geography","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Geography","SEO/HEO","HEO","65","65","35020","34370"
"In post","2023","30-39","Geography","SEO/HEO","SEO","20","20","43030","43890"
"In post","2023","30-39","Human Resources","AA/AO","AA","10","10","20740","20290"
"In post","2023","30-39","Human Resources","AA/AO","AO","215","195","23010","22220"
"In post","2023","30-39","Human Resources","EO","EO","495","470","27790","27470"
"In post","2023","30-39","Human Resources","G6/G7","G6","160","155","67090","66720"
"In post","2023","30-39","Human Resources","G6/G7","G7","365","355","54980","55150"
"In post","2023","30-39","Human Resources","SCS level","SCS level","30","30","81970","80000"
"In post","2023","30-39","Human Resources","SEO/HEO","HEO","800","770","35160","34170"
"In post","2023","30-39","Human Resources","SEO/HEO","SEO","610","590","41790","41200"
"In post","2023","30-39","Human Resources","Unknown","Unknown","25","25","34800","34190"
"In post","2023","30-39","Inspector of Education and Training","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Inspector of Education and Training","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","30-39","Inspector of Education and Training","G6/G7","G7","50","50","74570","77470"
"In post","2023","30-39","Inspector of Education and Training","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","30-39","Inspector of Education and Training","SEO/HEO","SEO","85","85","51240","52750"
"In post","2023","30-39","Intelligence Analysis","AA/AO","AO","10","10","24160","24070"
"In post","2023","30-39","Intelligence Analysis","EO","EO","370","355","28080","27890"
