"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","SEO/HEO","35","35","36320","37590"
"In post","2023","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","36710","37300"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","AA/AO","330","270","22480","21690"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","EO","725","650","29760","28120"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","SEO/HEO","135","130","38210","39150"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","AA/AO","140","120","23310","22520"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","EO","100","90","29990","28130"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","G6/G7","55","55","63810","63990"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","SEO/HEO","190","180","39650","39790"
"In post","2023","Declared disabled","Asian","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Home Office","AA/AO","85","75","24850","26400"
"In post","2023","Declared disabled","Asian","Home Office","EO","145","130","29150","29890"
"In post","2023","Declared disabled","Asian","Home Office","G6/G7","30","30","64520","62020"
"In post","2023","Declared disabled","Asian","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Home Office","SEO/HEO","110","105","38620","37720"
"In post","2023","Declared disabled","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","SEO/HEO","50","45","38600","37940"
"In post","2023","Declared disabled","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Justice","AA/AO","275","245","24500","21780"
"In post","2023","Declared disabled","Asian","Ministry of Justice","EO","65","65","28400","28480"
"In post","2023","Declared disabled","Asian","Ministry of Justice","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Justice","SEO/HEO","125","120","40600","38910"
"In post","2023","Declared disabled","Asian","Ministry of Justice","Unknown","160","150","30860","29050"
"In post","2023","Declared disabled","Asian","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","G6/G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","SEO/HEO","30","30","37380","36940"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Work and Pensions","AA/AO","140","120","23550","23850"
"In post","2023","Declared disabled","Black","Department for Work and Pensions","EO","445","405","30890","32520"
"In post","2023","Declared disabled","Black","Department for Work and Pensions","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Work and Pensions","SEO/HEO","65","65","39190","39150"
"In post","2023","Declared disabled","Black","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Department of Health and Social Care","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Foreign, Commonwealth and Development Office","EO","5","5","[c]","[c]"
