"Status","Year","Age","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Wales","West Wales and The Valleys","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Wales","West Wales and The Valleys","Unknown","35","30","20510","19000"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","West Midlands","Heterosexual / straight","30","30","22780","22490"
"In post","2023","16-19","West Midlands (England)","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","West Midlands","Unknown","25","20","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","Heterosexual / straight","45","45","23600","22520"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","Unknown","35","35","24230","22520"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","1365","1340","28850","28120"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","210","205","27580","27770"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","100","95","28570","27890"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","635","620","27320","27890"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","645","630","26580","25880"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","70","70","25150","23640"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","40","35","26100","25910"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","210","200","24880","23390"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","Heterosexual / straight","230","230","27950","28300"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","LGBO","30","30","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","Unknown","65","65","25970","24330"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","455","450","30530","30880"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","LGBO","55","55","29830","28120"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","Undeclared","35","35","30700","30880"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","Unknown","135","135","29270","28120"
"In post","2023","20-29","East of England","East Anglia","Heterosexual / straight","1065","1040","28400","28480"
"In post","2023","20-29","East of England","East Anglia","LGBO","125","120","27380","28120"
"In post","2023","20-29","East of England","East Anglia","Undeclared","90","85","27900","28120"
"In post","2023","20-29","East of England","East Anglia","Unknown","400","390","27350","26840"
"In post","2023","20-29","East of England","Essex","Heterosexual / straight","395","385","28120","25920"
"In post","2023","20-29","East of England","Essex","LGBO","45","45","27560","26380"
"In post","2023","20-29","East of England","Essex","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","East of England","Essex","Unknown","175","170","26320","25750"
"In post","2023","20-29","London","Inner London - East","Heterosexual / straight","1980","1965","36590","34110"
"In post","2023","20-29","London","Inner London - East","LGBO","230","225","37330","34900"
"In post","2023","20-29","London","Inner London - East","Undeclared","175","175","38440","35650"
"In post","2023","20-29","London","Inner London - East","Unknown","830","825","35400","32960"
"In post","2023","20-29","London","Inner London - West","Heterosexual / straight","8875","8845","40500","38020"
"In post","2023","20-29","London","Inner London - West","LGBO","1470","1465","41900","40260"
"In post","2023","20-29","London","Inner London - West","Undeclared","1190","1185","40450","38020"
"In post","2023","20-29","London","Inner London - West","Unknown","4230","4210","38740","35760"
"In post","2023","20-29","London","Outer London - East and North East","Heterosexual / straight","385","380","31110","32520"
"In post","2023","20-29","London","Outer London - East and North East","LGBO","35","35","30410","31800"
"In post","2023","20-29","London","Outer London - East and North East","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","London","Outer London - East and North East","Unknown","165","165","31320","32110"
"In post","2023","20-29","London","Outer London - South","Heterosexual / straight","755","750","35420","32520"
"In post","2023","20-29","London","Outer London - South","LGBO","80","80","35920","32540"
"In post","2023","20-29","London","Outer London - South","Undeclared","50","50","35940","32540"
"In post","2023","20-29","London","Outer London - South","Unknown","765","755","33310","29890"
"In post","2023","20-29","London","Outer London - West and North West","Heterosexual / straight","785","775","32260","32520"
"In post","2023","20-29","London","Outer London - West and North West","LGBO","75","75","31400","29890"
"In post","2023","20-29","London","Outer London - West and North West","Undeclared","70","70","31480","30340"
"In post","2023","20-29","London","Outer London - West and North West","Unknown","515","510","30390","29750"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","1945","1910","28390","27890"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","LGBO","295","295","27290","26900"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","Undeclared","115","110","29070","27650"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","Unknown","840","815","27750","26500"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","Heterosexual / straight","1050","1025","27940","28120"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","LGBO","140","135","28150","28120"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","Undeclared","65","60","28280","26020"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","Unknown","425","410","26890","26890"
"In post","2023","20-29","North West (England)","Cheshire","Heterosexual / straight","410","405","29690","30360"
"In post","2023","20-29","North West (England)","Cheshire","LGBO","80","75","29220","28880"
"In post","2023","20-29","North West (England)","Cheshire","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","North West (England)","Cheshire","Unknown","120","115","28080","28880"
"In post","2023","20-29","North West (England)","Cumbria","Heterosexual / straight","155","150","25040","22150"
"In post","2023","20-29","North West (England)","Cumbria","LGBO","30","30","25920","22150"
"In post","2023","20-29","North West (England)","Cumbria","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","North West (England)","Cumbria","Unknown","65","60","24650","22150"
"In post","2023","20-29","North West (England)","Greater Manchester","Heterosexual / straight","2390","2370","30450","28120"
"In post","2023","20-29","North West (England)","Greater Manchester","LGBO","405","400","30240","28120"
"In post","2023","20-29","North West (England)","Greater Manchester","Undeclared","160","160","30010","29600"
"In post","2023","20-29","North West (England)","Greater Manchester","Unknown","1155","1145","29000","27890"
"In post","2023","20-29","North West (England)","Lancashire","Heterosexual / straight","1200","1175","26710","28120"
"In post","2023","20-29","North West (England)","Lancashire","LGBO","125","120","27120","28120"
"In post","2023","20-29","North West (England)","Lancashire","Undeclared","65","65","27010","28120"
"In post","2023","20-29","North West (England)","Lancashire","Unknown","365","360","26720","27770"
"In post","2023","20-29","North West (England)","Merseyside","Heterosexual / straight","1880","1850","27580","25880"
"In post","2023","20-29","North West (England)","Merseyside","LGBO","225","220","27370","25880"
"In post","2023","20-29","North West (England)","Merseyside","Undeclared","120","120","27070","25850"
"In post","2023","20-29","North West (England)","Merseyside","Unknown","1440","1410","25330","22520"
"In post","2023","20-29","Northern Ireland","Northern Ireland","Heterosexual / straight","290","285","27410","25880"
"In post","2023","20-29","Northern Ireland","Northern Ireland","LGBO","35","35","27120","26390"
"In post","2023","20-29","Northern Ireland","Northern Ireland","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Northern Ireland","Unknown","260","255","25500","22520"
"In post","2023","20-29","Overseas","Overseas","Heterosexual / straight","215","215","37810","34070"
"In post","2023","20-29","Overseas","Overseas","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Overseas","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","Overseas","Unknown","90","90","41260","38600"
"In post","2023","20-29","Scotland","Eastern Scotland","Heterosexual / straight","1625","1600","31320","29100"
"In post","2023","20-29","Scotland","Eastern Scotland","LGBO","295","290","31230","29100"
"In post","2023","20-29","Scotland","Eastern Scotland","Undeclared","110","110","32170","31180"
"In post","2023","20-29","Scotland","Eastern Scotland","Unknown","1280","1260","29320","28490"
"In post","2023","20-29","Scotland","Highlands and Islands","Heterosexual / straight","125","120","26640","26220"
"In post","2023","20-29","Scotland","Highlands and Islands","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Scotland","Highlands and Islands","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Scotland","Highlands and Islands","Unknown","55","55","27290","26220"
"In post","2023","20-29","Scotland","North Eastern Scotland","Heterosexual / straight","115","110","29820","29100"
"In post","2023","20-29","Scotland","North Eastern Scotland","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Scotland","North Eastern Scotland","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Scotland","North Eastern Scotland","Unknown","85","85","29970","29270"
"In post","2023","20-29","Scotland","Southern Scotland","Heterosexual / straight","410","400","28340","25880"
"In post","2023","20-29","Scotland","Southern Scotland","LGBO","40","40","25620","23440"
"In post","2023","20-29","Scotland","Southern Scotland","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Scotland","Southern Scotland","Unknown","355","350","26750","25060"
"In post","2023","20-29","Scotland","West Central Scotland","Heterosexual / straight","1645","1625","29520","28120"
"In post","2023","20-29","Scotland","West Central Scotland","LGBO","290","285","28140","25880"
"In post","2023","20-29","Scotland","West Central Scotland","Undeclared","105","105","28040","25500"
"In post","2023","20-29","Scotland","West Central Scotland","Unknown","1230","1200","27380","25750"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","860","850","30100","29470"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","LGBO","120","120","29350","29400"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","60","55","29660","28810"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","260","260","28720","28410"
"In post","2023","20-29","South East (England)","Hampshire and Isle of Wight","Heterosexual / straight","1365","1345","30420","30650"
"In post","2023","20-29","South East (England)","Hampshire and Isle of Wight","LGBO","180","180","29570","30400"
"In post","2023","20-29","South East (England)","Hampshire and Isle of Wight","Undeclared","100","100","30860","31060"
"In post","2023","20-29","South East (England)","Hampshire and Isle of Wight","Unknown","485","480","28370","27080"
"In post","2023","20-29","South East (England)","Kent","Heterosexual / straight","765","750","28220","25880"
"In post","2023","20-29","South East (England)","Kent","LGBO","105","105","28130","28480"
"In post","2023","20-29","South East (England)","Kent","Undeclared","50","45","29260","29990"
"In post","2023","20-29","South East (England)","Kent","Unknown","510","505","25860","25750"
"In post","2023","20-29","South East (England)","Surrey, East and West Sussex","Heterosexual / straight","775","760","29240","28480"
"In post","2023","20-29","South East (England)","Surrey, East and West Sussex","LGBO","130","130","28310","28120"
"In post","2023","20-29","South East (England)","Surrey, East and West Sussex","Undeclared","80","80","29840","29080"
"In post","2023","20-29","South East (England)","Surrey, East and West Sussex","Unknown","230","225","28530","26880"
"In post","2023","20-29","South West (England)","Cornwall and Isles of Scilly","Heterosexual / straight","95","90","26300","24430"
"In post","2023","20-29","South West (England)","Cornwall and Isles of Scilly","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","South West (England)","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","South West (England)","Cornwall and Isles of Scilly","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","South West (England)","Devon","Heterosexual / straight","700","690","28200","28100"
"In post","2023","20-29","South West (England)","Devon","LGBO","110","110","26380","26410"
"In post","2023","20-29","South West (England)","Devon","Undeclared","90","90","27750","26650"
"In post","2023","20-29","South West (England)","Devon","Unknown","220","215","27070","25920"
"In post","2023","20-29","South West (England)","Dorset and Somerset","Heterosexual / straight","355","350","28280","28080"
"In post","2023","20-29","South West (England)","Dorset and Somerset","LGBO","60","60","27500","27610"
"In post","2023","20-29","South West (England)","Dorset and Somerset","Undeclared","30","30","[c]","[c]"
"In post","2023","20-29","South West (England)","Dorset and Somerset","Unknown","175","170","26980","27610"
"In post","2023","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","3630","3595","30760","30650"
"In post","2023","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","395","395","30470","29710"
"In post","2023","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","295","290","30190","29590"
"In post","2023","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1075","1065","28920","27540"
"In post","2023","20-29","Unknown","Unknown","Heterosexual / straight","90","90","30640","28120"
"In post","2023","20-29","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","Unknown","440","440","31700","31710"
"In post","2023","20-29","Wales","East Wales","Heterosexual / straight","1995","1965","29660","28130"
"In post","2023","20-29","Wales","East Wales","LGBO","315","315","29250","27890"
"In post","2023","20-29","Wales","East Wales","Undeclared","160","155","29770","28120"
"In post","2023","20-29","Wales","East Wales","Unknown","890","875","28380","27140"
"In post","2023","20-29","Wales","West Wales and The Valleys","Heterosexual / straight","1360","1310","25790","24570"
"In post","2023","20-29","Wales","West Wales and The Valleys","LGBO","160","155","25000","22500"
"In post","2023","20-29","Wales","West Wales and The Valleys","Undeclared","70","65","25360","22500"
"In post","2023","20-29","Wales","West Wales and The Valleys","Unknown","445","430","25210","23390"
"In post","2023","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","335","330","27430","28120"
"In post","2023","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","LGBO","45","40","27020","25300"
"In post","2023","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Undeclared","20","20","[c]","[c]"
