"Status","Year","Disability","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","580","555","43780","39350"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","120","120","46680","43540"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","80","80","46000","41170"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Heterosexual / straight","65","65","32260","32960"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Unknown","225","220","30050","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","85","75","31900","27260"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","35","35","60940","61040"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","35","30","24910","25830"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Heterosexual / straight","55","55","42690","40620"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","120","115","39210","33120"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","730","675","41750","35000"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","LGBO","75","75","40560","31180"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Undeclared","45","40","41850","38940"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Unknown","95","80","44150","39780"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","895","855","38330","35020"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","LGBO","55","55","35240","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Undeclared","140","135","40030","39660"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Unknown","40","40","31940","31920"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","565","540","41860","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","75","70","38020","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","180","175","45890","49260"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","420","415","49920","50250"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","95","90","45860","41360"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","60","55","48390","47410"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Heterosexual / straight","115","110","50150","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","LGBO","50","50","43380","36250"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","545","515","44390","38560"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","LGBO","100","95","44250","41440"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","Undeclared","60","60","42400","38950"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","670","650","42540","37820"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","120","115","43300","37360"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","70","65","41380","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","Heterosexual / straight","180","175","46880","41550"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","LGBO","50","50","46700","41550"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Heterosexual / straight","295","285","45520","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","LGBO","85","85","44700","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","165","160","48670","45180"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","LGBO","45","45","48630","47420"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","12825","11220","28750","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","1285","1205","28880","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","1795","1555","27840","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","1130","935","27400","28120"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","135","130","47680","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","35","35","46860","41950"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","35","35","47880","42630"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","435","370","26070","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","35","35","26040","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","205","165","24310","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","295","270","30530","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","105","90","29900","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","50","50","42940","38210"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","65","60","39000","33280"
"In post","2023","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Food Standards Agency","Heterosexual / straight","95","90","40560","38100"
"In post","2023","Declared disabled","Food Standards Agency","Food Standards Agency","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Food Standards Agency","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Food Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","380","375","47200","40710"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","55","55","47910","44450"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","105","105","48250","42450"
"In post","2023","Declared disabled","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Scottish Government","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","Scottish Government","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Cabinet Office","Heterosexual / straight","90","90","77320","70930"
"In post","2023","Declared disabled","Government Commercial Organisation","Cabinet Office","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Cabinet Office","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","Cabinet Office","Unknown","50","50","66700","65500"
"In post","2023","Declared disabled","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","45","40","45410","42700"
"In post","2023","Declared disabled","Government Internal Audit Agency","HM Treasury","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Attorney General's Departments","Heterosexual / straight","150","140","53890","52790"
"In post","2023","Declared disabled","Government Legal Department","Attorney General's Departments","LGBO","35","35","53240","52790"
"In post","2023","Declared disabled","Government Legal Department","Attorney General's Departments","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Cabinet Office","Heterosexual / straight","45","45","51590","51020"
"In post","2023","Declared disabled","Government Property Agency","Cabinet Office","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Property Agency","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","1935","1725","26820","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","LGBO","200","190","26080","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","285","260","26240","21780"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Unknown","30","25","24390","21780"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","HM Land Registry","Heterosexual / straight","485","430","31440","28080"
"In post","2023","Declared disabled","HM Land Registry","HM Land Registry","LGBO","45","45","29600","28080"
"In post","2023","Declared disabled","HM Land Registry","HM Land Registry","Undeclared","80","65","32220","28080"
"In post","2023","Declared disabled","HM Land Registry","HM Land Registry","Unknown","80","70","28450","28080"
"In post","2023","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","6785","6325","32230","30440"
"In post","2023","Declared disabled","HM Prison and Probation Service","Ministry of Justice","LGBO","905","880","31680","30810"
"In post","2023","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Undeclared","680","630","33550","32790"
"In post","2023","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Unknown","195","175","31470","31080"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","4685","4265","35540","34400"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","615","590","34860","34400"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","495","445","35230","34370"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","580","500","31060","27890"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","145","140","48290","53550"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","LGBO","35","35","43640","37390"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","270","250","41140","37710"
"In post","2023","Declared disabled","Health and Safety Executive","Department for Work and Pensions","LGBO","30","30","36090","32820"
"In post","2023","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Undeclared","50","45","40740","41220"
"In post","2023","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Home Office","Heterosexual / straight","2450","2260","33860","29890"
"In post","2023","Declared disabled","Home Office","Home Office","LGBO","260","250","35700","30170"
"In post","2023","Declared disabled","Home Office","Home Office","Undeclared","380","350","34060","30170"
"In post","2023","Declared disabled","Home Office","Home Office","Unknown","130","125","32110","26400"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","65","60","37600","31800"
"In post","2023","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Legal Aid Agency","Ministry of Justice","Heterosexual / straight","140","130","28570","25830"
"In post","2023","Declared disabled","Legal Aid Agency","Ministry of Justice","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Legal Aid Agency","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","45","40","35280","31660"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Department for Transport","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","175","170","36240","35230"
"In post","2023","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","LGBO","30","30","31700","30930"
"In post","2023","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Undeclared","30","30","36650","37420"
"In post","2023","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Heterosexual / straight","2775","2670","33660","30080"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","LGBO","145","140","35320","33830"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Undeclared","410","390","35430","33990"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","165","160","36540","33830"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Heterosexual / straight","610","595","42110","37680"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","LGBO","125","120","43590","39080"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Undeclared","80","80","45250","38600"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","National Crime Agency","Heterosexual / straight","220","210","41360","39560"
