"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","Defence Equipment and Support","AA/AO","80","80","18940","18780"
"In post","2023","16-19","No function","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","AA/AO","30","30","21810","21690"
"In post","2023","16-19","No function","Department for Work and Pensions (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Driver and Vehicle Licensing Agency","AA/AO","75","65","20560","19000"
"In post","2023","16-19","No function","Driver and Vehicle Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Courts and Tribunals Service","AA/AO","25","25","22110","21780"
"In post","2023","16-19","No function","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Prison and Probation Service","AA/AO","270","270","26710","28880"
"In post","2023","16-19","No function","HM Prison and Probation Service","Unknown","35","30","20180","19090"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","AA/AO","95","95","22750","22520"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","AA/AO","105","95","23050","22400"
"In post","2023","16-19","No function","Home Office","EO","25","25","26640","25750"
"In post","2023","16-19","No function","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","AA/AO","20","20","22120","22220"
"In post","2023","16-19","No function","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of the Public Guardian","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","No function","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Prison Service","AA/AO","10","10","24830","24710"
"In post","2023","16-19","No function","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Health Security Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AA/AO","10","10","20780","21200"
"In post","2023","16-19","No function","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Equipment and Support","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Submarine Delivery Agency","Unknown","20","20","18750","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","FCDO Services","Unknown","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Prison Service","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Valuation Office Agency","AA/AO","15","15","22820","22520"
"In post","2023","16-19","Property","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office (excl. agencies)","EO","10","10","25160","24470"
"In post","2023","16-19","Security","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","AA/AO","15","15","21150","19430"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Royal Fleet Auxiliary","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Scottish Government (excl. agencies)","AA/AO","15","15","22760","22760"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Security Scotland","AA/AO","15","15","22720","22180"
"In post","2023","16-19","Unknown","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government (excl. agencies)","AA/AO","10","10","22670","22150"
"In post","2023","20-29","Analysis","Active Travel England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Building Digital UK","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Central Civil Service Fast Stream","SEO/HEO","100","100","31030","30130"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","15","15","21470","22150"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","35","35","25950","25920"
"In post","2023","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","30","30","30670","30350"
"In post","2023","20-29","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Companies House","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","G6/G7","15","15","55550","55130"
"In post","2023","20-29","Analysis","Competition and Markets Authority","SEO/HEO","20","20","34590","34110"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","AA/AO","15","15","23500","24010"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","EO","20","20","25950","26310"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","G6/G7","15","15","47790","49260"
"In post","2023","20-29","Analysis","Defence Science and Technology Laboratory","SEO/HEO","245","245","33190","30650"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","30","28080","28720"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","90","90","36430","34670"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","25","25","56120","56760"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","35","35","40000","39620"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","EO","20","20","28490","26940"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","G6/G7","30","30","55100","55020"
"In post","2023","20-29","Analysis","Department for Education (excl. agencies)","SEO/HEO","130","130","40620","43250"
"In post","2023","20-29","Analysis","Department for International Trade","EO","20","20","29320","29280"
"In post","2023","20-29","Analysis","Department for International Trade","G6/G7","45","45","56230","55370"
"In post","2023","20-29","Analysis","Department for International Trade","SEO/HEO","65","65","36440","35010"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","40","40","55710","54630"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","60","60","35180","34310"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","EO","20","20","30520","30720"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","G6/G7","55","55","55650","55740"
"In post","2023","20-29","Analysis","Department for Transport (excl. agencies)","SEO/HEO","85","85","36320","35760"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","EO","30","25","28800","28210"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","G6/G7","20","20","56100","58370"
"In post","2023","20-29","Analysis","Department for Work and Pensions (excl. agencies)","SEO/HEO","160","155","37710","38470"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","15","15","54380","54670"
"In post","2023","20-29","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","35","35","34940","34190"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","SEO/HEO","15","15","36570","33990"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Government Actuary's Department","EO","15","15","30090","30090"
"In post","2023","20-29","Analysis","Government Actuary's Department","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Government Actuary's Department","SEO/HEO","25","25","39010","37690"
"In post","2023","20-29","Analysis","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Courts and Tribunals Service","SEO/HEO","15","15","39320","39850"
"In post","2023","20-29","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs (excl. agencies)","EO","15","15","28460","27890"
"In post","2023","20-29","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","35","35","60550","61530"
"In post","2023","20-29","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","250","250","39780","39450"
"In post","2023","20-29","Analysis","HM Treasury (excl. agencies)","AA/AO","10","10","23210","23210"
"In post","2023","20-29","Analysis","HM Treasury (excl. agencies)","EO","15","15","24680","24790"
"In post","2023","20-29","Analysis","HM Treasury (excl. agencies)","G6/G7","20","20","54990","54090"
"In post","2023","20-29","Analysis","HM Treasury (excl. agencies)","SEO/HEO","60","60","35110","34120"
"In post","2023","20-29","Analysis","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Health and Safety Executive","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","AA/AO","25","25","23180","23500"
"In post","2023","20-29","Analysis","Home Office","EO","25","25","30090","29890"
"In post","2023","20-29","Analysis","Home Office","G6/G7","40","40","61280","61260"
"In post","2023","20-29","Analysis","Home Office","SEO/HEO","180","180","39420","37920"
"In post","2023","20-29","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intellectual Property Office","EO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intellectual Property Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Medicines and Healthcare Products Regulatory Agency","EO","20","20","27940","27840"
"In post","2023","20-29","Analysis","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence (excl. agencies)","EO","25","25","29410","29140"
